STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
1001,BEAS AT U/S MANALI,HIMACHAL PRADESH,2,12,5.93846,7,9.8,8.7,6.64,8.99,7.83154,50,116,89.4615,0.1,0.8,0.16923,0.21,1.21,0.47677,13,70,26.3846,34,280,103.231
1002,BEAS AT D/S KULU,HIMACHAL PRADESH,3,14,8.52308,8.1,9.7,8.61538,7.12,8.21,7.75923,64,156,105.231,0.1,8.7,0.93077,0.131,1.71,0.60923,26,180,88,220,920,416.923
1003,BEAS AT D/S AUT,HIMACHAL PRADESH,3,15,8.79167,8,10,8.86154,6.85,8.19,7.59385,47,148,92.8462,0.1,0.4,0.16154,0.093,1.721,0.52462,22,79,51.7692,130,350,203.846
1004,BEAS AT U/S PANDON DAM,HIMACHAL PRADESH,5.5,16,12.7727,7.9,10.2,8.8,7.35,8.3,7.91636,58,177,106.545,0.1,0.3,0.17273,0.123,0.946,0.55118,26,49,39.0909,110,280,190
1005,BEAS AT EXIT OF TUNNEL DEHAL POWER HOUSE,HIMACHAL PRADESH,6,20,12.1154,7.7,12.4,10.2,7.52,8.31,7.86769,65,156,100.692,0.1,0.2,0.1,0.247,1.25,0.73362,22,49,30.6154,70,220,137.615
1550,BEAS AT U/S MANDI,HIMACHAL PRADESH,8.9,20,15.2615,7.4,10.7,8.98462,7.44,8.39,8.05154,73,182,131.923,0.1,0.3,0.18462,0.245,1.694,0.81377,26,70,43.2308,110,350,216.923
1006,BEAS AT D/S MANDI,HIMACHAL PRADESH,9.1,22,16.3154,7.1,10.4,8.77692,6.46,8.5,7.80154,107,276,180.692,0.1,0.8,0.4,0.304,3.35,1.45008,46,240,134.923,220,1600,596.923
2604,BEAS AT D/S JAISINGHPUR,HIMACHAL PRADESH,8.6,29.5,18.4308,6.6,9.4,8.31538,7.82,78.69,13.6415,144,369,282,0.2,3,0.98462,0.05,0.83,0.50308,NA,NA,NA,NA,NA,NA
1007,BEAS AT D/S ALAMPUR,HIMACHAL PRADESH,9,26,17.9615,6.5,9.6,8.3,7.25,8.95,8.27154,140,350,278.615,0.2,1.6,0.71538,0.07,0.81,0.50769,NA,NA,NA,NA,NA,NA
1008,BEAS AT D/S DEHRAGOPIPUR,HIMACHAL PRADESH,12,25,18.0385,6.7,9.6,8.15385,7.39,8.86,8.30538,141,368,257.308,0.4,4,0.99231,0.11,1.8,0.64846,NA,NA,NA,NA,NA,NA
1009,BEAS AT D/S PONG DAM,HIMACHAL PRADESH,5.2,25,18.0923,3.8,9.7,7.25846,0.7,8.84,7.59846,158,230,188,0.4,1.2,0.61538,0.09,1.03,0.47615,NA,NA,NA,NA,NA,NA
2601,BEAS AT D/S MANALI,HIMACHAL PRADESH,2,12,6.65385,6.6,9.7,8.55385,7.05,8.69,7.74231,53,123,82.9231,0.1,0.8,0.22308,0.04,1.452,0.54608,17,110,44.5385,70,350,187.462
2602,BEAS AT U/S KULLU,HIMACHAL PRADESH,3,13,7.97692,6.1,9.8,8.53846,7.4,8.43,7.83231,49,163,96.7692,0.1,0.2,0.16154,0.131,1.56,0.64485,33,170,73.6923,140,920,310.769
2603,BEAS AT D/S PANDOH DAM,HIMACHAL PRADESH,6.1,26,14.2308,7.3,9.9,8.75385,7.64,8.32,7.92462,65,155,109.308,0.1,0.2,0.12308,0.225,1.487,0.87969,23,70,40.8462,110,280,184.615
1693,BEAS AT TALWARA H/W,PUNJAB,12,25,18.6667,7.4,7.8,7.6,7,7.5,7.175,273,286,279.5,0.3,0.6,0.45,1.1,1.6,1.325,11,90,60.3333,50,500,215
1694,BEAS AT U/S PATHANKOT,PUNJAB,13,25,19,6.8,7.8,7.275,7.1,7.6,7.25,258,302,274.25,0.7,0.8,0.75,0.9,1.8,1.35,100,130,112.5,500,500,500
1695,BEAS AT D/S PATHANKOT,PUNJAB,11,25,18.6667,6.4,7.6,6.975,6.9,7.6,7.25,308,513,411.25,1,1.4,1.225,1.4,2.5,1.875,120,170,142.5,500,700,575
1010,"BEAS AT MIRTHAL BRIDGE, GURDASPUR",PUNJAB,13,25,19.3333,6.7,7.4,7.05,7.1,7.5,7.275,252,326,285.75,0.6,1,0.8,1.4,2.9,2.125,110,130,122.5,500,700,550
1294,BEAS AT 1KM.D/S OF EFFL. DIS. PT AT MUKERIAN,PUNJAB,13,25,19.3333,6.8,7.2,7.025,7,7.6,7.25,275,338,304.25,1.1,1.2,1.175,1.8,3,2.45,300,800,600,900,1300,1100
1011,BEAS AT G.T.RD UNDER BDG. NR KAPURTHALA,PUNJAB,9,25,18,7.2,7.5,7.325,7,7.4,7.275,268,342,296,0.4,1.2,0.775,1,3.5,2.425,120,700,412.5,500,1200,875
1696,BEAS AT U/S GOINDWAL,PUNJAB,10,25,18.3333,6.6,7.4,7.125,7,7.6,7.225,280,331,300.5,0.5,1,0.65,1.8,3.4,2.8,130,600,360,600,1100,850
