STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
1037,BRAHMANI AT U/S PANPOSH,ORISSA,23,33,27.33,5,8.7,7.41,7,8.3,7.85,107,206,148.58,1,6.3,2.07,0.09,0.5,0.3,1300,9200,3191.67,2100,16000,6075
1038,BRAHMANI AT D/S PANPOSH,ORISSA,22,32,27,5.2,9.2,6.74,6.8,8.3,7.65,170,363,277.92,2.4,5.6,4.01,0.2,9.4,5.17,7900,54000,23983.3,17000,92000,42333.3
1302,BRAHMANI AT ROURKELA D/S,ORISSA,24,33,27.92,5.2,8.6,7.11,7.2,8.1,7.68,171,338,235.83,2,4.4,3.18,0.45,6.37,2.99,2200,54000,16800,3900,92000,33025
2414,ROURKELA FDS AT BIRITOLA,ORISSA,23,35,28.5,6.9,9.1,8.12,7.4,8.2,7.89,113,335,192.25,1.2,3,2.25,0.38,3.11,1.51,790,7900,3957.5,2400,13000,7341.67
1039,BRAHMANI AT BONAIGARH,ORISSA,23,36,28.67,7.1,11.5,8.18,7,8.4,7.8,131,226,180.67,0.8,2,1.29,0.23,2.09,1.11,45,5400,1398.75,130,9200,2840.83
1040,BRAHMANI AT RENGALI,ORISSA,24,36,29.83,0.3,9.9,7.51,6.8,8.3,7.71,99,180,136.5,1,2.6,1.33,0.06,2.01,0.47,20,2400,962.5,78,9200,2505.67
1041,BRAHMANI AT SAMAL,ORISSA,24,35,29.25,6.6,8.7,7.68,7.2,8.4,7.79,112,196,140.17,1.1,2.2,1.51,0.06,1.01,0.48,45,5400,1310.42,170,9200,2784.17
1303,BRAHMANI AT TALCHER U/S,ORISSA,20,36,28.08,7,8.7,7.69,7.2,8.5,8.08,123,204,153.08,0.9,2.8,1.72,0.01,0.87,0.35,330,3500,1341.67,790,9200,2924.17
2415,"TALCHER FU/S (INTAKE WELL OF MCL, TALCHER)",ORISSA,19,37,28.25,6.9,8.6,7.73,6.8,8.4,7.84,111,198,139.67,0.9,2,1.43,0.11,1.63,0.45,170,2400,587.5,460,5400,1240
2416,TALCHER FD/S,ORISSA,20,35,28.42,6.7,8.8,7.58,6.4,8.4,7.81,116,208,170.58,1.2,2.3,1.83,0.01,9.67,1.01,700,11000,4250,1700,22000,7700
