STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
1198,CAUVERY AT NAPOKULU BDG (D/S),KARNATAKA,22,28,24.75,5.9,8.1,6.88,6.6,8.2,7.4,38,80,58.58,1,2,1.08,0,0.07,0.05,36,1600,1230.5,230,1600,1335.83
1195,CAUVERY AT KUSHAL NAGAR U/S (NEAR BAICHANAHALLI),KARNATAKA,24,29,25.67,6,8.1,7.13,7.1,8.6,7.69,55,170,105.42,1,2,1.08,0.07,0.2,0.12,260,1600,1302.5,1400,3500,1791.67
33,"CAUVERY AT KRS DAM, BALAMURIKSHETRA",KARNATAKA,25,28,26.08,6.3,8,7.1,7.5,8.7,8.13,100,285,217.17,1,2,1.17,0.15,0.49,0.28,170,1600,1258.33,1100,1600,1525
1386,CAUVERY AT D/S OF KAREKUARA,KARNATAKA,24,29,26.33,6.1,8.6,7.2,7.8,8.7,8.29,112,319,255.83,1,2,1.17,0.16,0.5,0.32,61,1600,1216.67,330,1600,1302.5
1171,"CAUVERY AT SRIRANGA PATTANNA, D/S OF ROAD BDG",KARNATAKA,24,32,26.67,5.1,7.1,6.08,7.4,8.2,7.86,152,376,305.67,2,4,2.67,0.2,0.53,0.4,1600,4300,2150,1600,22000,6200
34,CAUVERY AT SATHYAGALAM BRIDGE,KARNATAKA,25,28,26.75,4.8,8.5,6.67,7.1,8.6,7.88,44,462,303.83,1,4,1.83,0.17,0.53,0.4,400,1600,1320,1600,8400,2258.33
2773,CAUVERY AT BANNUR BRIDGE,KARNATAKA,26,30,27.42,5.7,14.1,11.76,7.3,8.7,7.94,270,426,364.58,1,3,1.92,0.33,0.6,0.46,270,1600,1281.67,1100,1700,1550
2774,CAUVERY AT RANGANATHITTU,KARNATAKA,23,30,25.67,5.5,6.9,6.47,7.4,8.6,8,138,326,268.92,1,4,2,0.18,0.51,0.33,1600,3300,1791.67,1600,16000,4466.67
50,CAUVERY AT METTUR,TAMILNADU,27,33,30.25,4.7,8.6,6.24,7.5,8.56,7.9,328,1479,476.58,0.25,2.85,1.12,0.07,0.29,0.17,110,170,135.83,210,330,275
1322,CAUVERY AT 1KM. D/S OF BHAVANI RIVER CONFL.,TAMILNADU,24,32,27.83,2.6,7.1,5.36,7.6,8.32,7.88,346,550,430.83,0.14,2.15,1.1,0.04,0.6,0.2,130,210,155.83,260,400,311.67
51,CAUVERY AT PALLIPPALAYAM,TAMILNADU,25,31,26.92,1.7,7.9,5.6,7.3,8.27,7.79,325,597,479.08,0.87,2.64,1.49,0.04,0.49,0.18,110,270,173.33,260,400,329.17
1320,CAUVERY AT ERODE NEAR CHIRAPALAYAM,TAMILNADU,24,33,29,1.3,7.6,4.88,7.3,8.3,7.85,5,1361,527,0.28,15.3,3.53,0.03,0.8,0.19,130,11000,1341.67,270,22000,2554.17
1323,CAUVERY AT VELORE NEAR KATTIPALAYAM,TAMILNADU,24,30,26.08,5.4,8.8,7.12,7.6,8.43,7.97,364,730,518.5,0.14,3.2,1.31,0.06,0.75,0.23,110,220,134.17,220,340,276.67
3015,"CAUVERY AT PUGALUR, KARUR",TAMILNADU,26,37,30,5,8.6,6.77,7.32,8.3,7.89,448,946,672.17,0.15,3.81,1.2,0.03,0.31,0.19,110,220,161.67,270,390,311.67
1324,CAUVERY AT MOHANUR NEAR PATTAIPALAYAM,TAMILNADU,24,29,25.92,2.8,9.2,5.88,7.4,8.36,7.87,385,798,548.33,0.35,6.48,1.77,0.02,1.17,0.27,110,260,152.5,220,390,318.33
1451,CAUVERY AT THIRUMUKKUDAL-CONFL. PT.OF R. AMRAVAT,TAMILNADU,27,34,29.67,4.9,8.7,7.06,7.7,8.4,8.11,456,831,637.17,0.31,1.98,0.72,0.04,0.4,0.23,110,170,139.17,260,340,284.17
31,CAUVERY AT MUSIRI,TAMILNADU,26,30,28.42,4.8,9,6.99,7.7,8.44,7.99,455,747,651.67,0.31,2.21,1.12,0.09,1.14,0.25,70,170,139.17,170,330,279.17
3016,"CAUVERY AT PETTAIVAITHALAI, TRICHY",TAMILNADU,26,30,28.5,4.1,8.4,6.78,7.26,8.4,7.92,515,981,684.42,0.24,3.11,1.19,0.07,0.51,0.21,110,170,140,220,340,285.83
1202,CAUVERY AT TIRUCHIRAPPALLI U/S,TAMILNADU,26,30,28.25,5.9,7.8,7.08,7.35,8.5,7.93,378,694,589.33,0.02,2.71,1.09,0.05,0.7,0.21,70,170,121.67,170,320,270.83
1325,CAUVERY AT TIRUCHIRAPPALLI D/S,TAMILNADU,26,30,28,3.6,7.6,5.62,7,8.6,7.74,436,1041,819.83,0.26,10.64,2.12,0.02,0.98,0.23,110,330,179.17,260,700,375.83
1203,"CAUVERY AT TRICHY,GRAND ANAICUT",TAMILNADU,26,30,28,2.9,7.6,5.52,7,8.17,7.75,406,1032,807.42,0.77,8.97,1.85,0.06,0.95,0.25,70,260,150.83,170,470,315.83
1206,CAUVERY AT THANJAVUR,TAMIL NADU,20,31,26.5,4.7,8.2,6.93,7.76,8.41,8.17,358,1098,766.67,0.18,2.1,0.98,0.04,0.32,0.19,110,170,128.33,210,330,265
3018,"CAUVERY AT MAYILADUTHURAI, NAGAPATTINAM",TAMILNADU,24,24,24,2.5,8.8,6.16,7.5,8.67,7.96,352,1686,722,0.1,1.9,0.82,0.03,0.94,0.27,110,270,142,170,390,246
3012,"CAUVERY AT KOMARAPALAYAM, NAMAKA",TAMILNADU,25,32,27.82,3.1,7.5,5.25,7.5,8.33,7.79,338,574,479.73,0.1,9.32,2.47,0.08,0.58,0.21,110,330,161.82,220,490,321.82
3013,"CAUVERY AT URRACHIKOTTAI, ERODE",TAMILNADU,27,29,28,4.1,8.3,6.48,6.91,8.47,7.77,163,424,339.75,0.19,1.98,0.94,0.03,0.31,0.16,110,170,130,210,330,279.17
3014,"CAUVERY AT VAIRAPALAYAM, NAMAKAL",TAMILNADU,25,30,27.75,3.4,7,5.24,7.4,8.32,7.88,303,510,417.17,0.3,3.54,1.63,0.04,0.94,0.24,110,220,172.5,210,470,323.33
3017,"CAUVERY AT KUMBAKONAM, THANJAVUR",TAMILNADU,22,32,27.78,5.8,8.4,6.72,7.46,8.4,7.96,403,674,571.22,0.49,2.5,1.2,0.06,0.27,0.18,80,140,118.89,170,330,252.22
1326,CAUVERY AT COLEROON,TAMILNADU,28,32,30.92,5.6,8.5,7.03,7.3,8.9,8.17,521,41100,8300.25,0.11,1.66,0.79,0.05,0.67,0.21,2,210,73.33,2,340,148.17
1327,CAUVERY AT PITCHAVARAM,TAMILNADU,27,33,30.88,1.3,7.7,4.9,7.3,9.1,8.34,524,6580,2121.5,0.53,21.9,3.57,0.04,1.25,0.31,2,1300,212.17,2,2200,378.83
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
