STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
1307,CHUNT KOL * (MAULANA AZAD BRIDGE),JAMMU & KASHMIR,6,20,14,1.5,4.4,2.6,7.1,7.5,7.3,192,401,252.82,1,5,3.25,0.29,0.7,0.43,NA,NA,NA,NA,NA,NA
1306,"GAWKADAL, SRG *(SHERGHARI, SRG)",JAMMU & KASHMIR,6,19,12.73,3.9,6.6,5.1,7.2,7.9,7.44,122,442,217.73,1,3,2.13,0.36,1.57,0.69,NA,NA,NA,NA,NA,NA
1304,JHELAM AT ANANTNAG D/S,JAMMU & KASHMIR,8,14,10.27,5.8,9.2,6.86,7.4,7.9,7.56,184,294,215.55,1,4,2.17,0.3,2.35,0.89,NA,NA,NA,NA,NA,NA
3274,JHELUM AT AWANTIPORA,JAMMU & KASHMIR,7,14,10.64,5.5,9.7,6.98,7.2,7.8,7.46,144,234,183.91,1,3,1.67,0.4,2.9,0.91,NA,NA,NA,NA,NA,NA
3275,JHELUM AT PAMPORE,JAMMU & KASHMIR,7,14,10.09,5.6,8.4,6.64,7.2,7.8,7.49,141,235,182.36,1,2,1.83,0.5,2.18,1.03,NA,NA,NA,NA,NA,NA
2755,"BANGANGA (BATHING GHAT),KATRA",JAMMU & KASHMIR,10,26,19.63,6.2,8.5,7.48,7.42,8.2,7.71,280,543,386.75,2,4,2.8,0.01,0.75,0.26,NA,NA,NA,NA,NA,NA
2756,BANGANGA (IN FRONT OF PONY SHED NEAR REASI BDG) KATRA,JAMMU & KASHMIR,11,28,20.25,5.4,9,6.63,7.8,8.12,7.96,320,655,449.25,2,4.8,3.9,0.01,0.68,0.34,NA,NA,NA,NA,NA,NA
2752,"BASANTER AT SAMBA (BELOW NH-1A BDG), BASANTAR US (R.H.S)",JAMMU & KASHMIR,13,27,20.5,7.3,9.3,8.65,7.75,8.89,8.25,263,290,279.5,2.1,3.6,3.13,0.02,0.36,0.12,NA,NA,NA,NA,NA,NA
2753,BASANTER AT SAMBA (AT CHAK MANGA GUJJAR BASANTAR) D/S(R.H.S.),JAMMU & KASHMIR,13,27,19.5,5.2,7.8,6.95,6.84,7.8,7.46,263,320,294.25,2.2,8,5.4,0.02,0.59,0.26,NA,NA,NA,NA,NA,NA
2748,CHENAB AT L.H.S.(BELOW BRIDGE CHENAB),JAMMU & KASHMIR,9,18,13.25,7.2,9.8,8.13,7.15,7.75,7.34,116,255,194.5,1,2.1,1.3,0.01,0.36,0.17,NA,NA,NA,NA,NA,NA
2749,CHENAB AT BLIND CURVE SHAMSHAN GHAT,JAMMU & KASHMIR,9,18,13.25,7.4,9.2,8.45,7.05,7.8,7.3,117,251,191.75,1,1.3,1.13,0.02,0.51,0.26,NA,NA,NA,NA,NA,NA
2750,CHENAB AT CHADRA GAON VIEW POINT,JAMMU & KASHMIR,9,18,13.25,7.4,9,8.4,7.05,7.75,7.3,118,254,190.25,1,1,1,0.01,0.41,0.14,NA,NA,NA,NA,NA,NA
2751,CHENAB AT JAL PATAN MANDIR AFTER MEETING WITH MAIN DRAIN OF AKHNOOR,JAMMU & KASHMIR,9,19,13.5,6.3,10,8.28,7.25,8.91,7.83,116,266,196.75,1.3,8,3.8,0.01,0.87,0.32,NA,NA,NA,NA,NA,NA
2754,DEVAK UDHAMPUR(NEAR SHIV MANDIRD/S)L.H.S.,JAMMU & KASHMIR,14,31,22.5,1.8,6.5,4.95,6.4,7.35,7.1,396,606,485,NA,NA,NA,0.01,0.52,0.2,NA,NA,NA,NA,NA,NA
2757,DEVAK AT UTTERBEHNI,JAMMU & KASHMIR,14,25,20.25,4.8,6.7,5.8,6.93,7.85,7.4,257,400,336.75,1,6.3,2.98,0.01,0.83,0.28,NA,NA,NA,NA,NA,NA
3278,LIDDER NALLAH AT LARIPORA,JAMMU & KASHMIR,6,10,7.83,7.8,8.7,8.2,7.2,7.8,7.53,91.8,116,102.6,0.73,1,0.91,0.25,1.15,0.66,NA,NA,NA,NA,NA,NA
3279,LIDDER NALLAH AT CLUB PARK,JAMMU & KASHMIR,7,11,8.5,6.9,8.7,7.97,7.3,7.6,7.43,90.3,120,106.77,1,1.29,1.1,0.56,1.15,0.79,NA,NA,NA,NA,NA,NA
3280,LIDDER NALLAH AT BUS ADDA,JAMMU & KASHMIR,7.5,11,8.77,7.1,7.2,7.17,7.2,7.8,7.47,101.8,121,109.27,1.58,4.6,3.06,0.46,0.98,0.73,NA,NA,NA,NA,NA,NA
3281,"LIDDER NALLAH AT YANEER, D/S OF PHALGUM",JAMMU & KASHMIR,7,11,8.5,7.1,8,7.43,7.3,7.6,7.47,74.4,90,81.47,0.58,1,0.86,0.68,0.99,0.85,NA,NA,NA,NA,NA,NA
3283,SINDH AT SONAMARG U/S,JAMMU & KASHMIR,2,9,5,8.2,8.6,8.37,7.8,8.2,7.97,147,166,157.33,0.9,1,0.97,0.09,0.76,0.35,NA,NA,NA,NA,NA,NA
3284,SINDH AT SONAMARG D/S,JAMMU & KASHMIR,2,9,5.17,6.7,9,7.53,7.8,8.1,8,159,186,168.33,1,1.7,1.23,0.04,0.98,0.38,NA,NA,NA,NA,NA,NA
3285,SINDH AT WAIL BRIDGE,JAMMU & KASHMIR,5,11,7.5,8,9.4,8.47,7.5,8,7.67,116,155.8,139.27,0.8,1.7,1.17,0,0.19,0.12,NA,NA,NA,NA,NA,NA
1412,"TAWI AT JAMMU U/S, (TAWI BRIDGE )",JAMMU & KASHMIR,26,26,26,6.5,6.5,6.5,8.5,8.5,8.5,283,283,283,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
