STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
1331,DAMODAR AT DISHERGARH VILL.(NR.BIHAR-WEST BENGAL BORDER),WEST BENGAL,19,35,26.54,6.2,10.5,8.37,6.72,8.4,7.51,160,276,219.92,1.2,5.6,3.35,0.19,0.52,0.33,200,90000,8000,400,200000,15483.3
1332,DAMODAR AT D/S OF IISCO AFTER 3RD OUTFALL AT DHENNA,WEST BENGAL,20,35,27.13,6.5,11.1,8.31,7.14,8.36,7.7,173,337,247.17,0.4,3.2,1.91,0.18,0.51,0.32,200,2100,708.33,400,22000,4658.33
1333,DAMODAR AT NARAINPUR AFTER CONFL. OF NUNIA NALLAH,WEST BENGAL,20,34.5,26.75,5.5,10.2,7.85,7.02,8.17,7.68,199,452,292,1.75,6.25,3.17,0.23,0.62,0.36,200,14000,2083.33,700,90000,13150
1334,DAMODAR NEAR MUJHER MANA VILLAGE AFTER CONF. OF TAMLA NALLAH,WEST BENGAL,19,35.5,29.38,5,8.8,6.88,7.12,8.7,7.86,286,741,466,3.2,8.04,4.82,0.45,3.69,2.16,400,90000,16825,1700,200000,68808.3
1335,"DAMODAR AT HOOGHLY, DURGACHAK, NEAR PATHIKALI",WEST BENGAL,24,32,28.63,5.3,8.2,6.71,6.43,7.77,7.31,1717,17910,8395.83,1.05,6.55,2.98,0,0.84,0.35,40000,300000,103333,65000,5000000,646667
2527,DAMODAR AT WATER INTAKE POINT FOR BURDWAN TOWN,WEST BENGAL,23,34.5,29,5.8,11.2,8.87,7.35,8.55,7.91,212,352,278.33,1.7,6.7,3.28,0.24,0.48,0.33,200,35000,4941.67,400,200000,31941.7
1336,BARAKAR AT ASANSOL (WATER INTAKE POINT),WEST BENGAL,19,35,27.08,6.4,10.5,8.05,7.24,8.24,7.76,159,279,210,1.2,4.6,2.78,0.14,0.63,0.33,200,90000,11083.3,600,200000,25441.7
2509,"D/S OF RUPNARAYAN AT KOLAGHAT, NEAR KOLAGHAT RAIL BRIDGE NO.3",WEST BENGAL,20,32,27.71,4.4,9.1,6.61,7.11,7.84,7.56,163.3,3270,913.61,0.9,5.1,2.35,0.02,0.65,0.32,8000,100000,31333.3,13000,500000,105583
1337,RUPNARAYAN B/C TO RIVER GANGA NEAR GEONKHALI,WEST BENGAL,20,32,27.92,5.6,7.9,6.49,6.33,7.98,7.43,303,10430,2518.33,0.4,2.3,1.26,0,0.76,0.37,2000,30000,14750,4000,200000,52250
2541,WATER INTAKE PT FOR BANKURA TOWN ON RIVER DWARAKESHWAR,WEST BENGAL,20.5,35,28.67,4.1,11.6,7.77,7.13,8.38,7.85,185,677,310.75,0.5,4.5,1.68,0.08,0.33,0.2,4,35000,3491.27,8,200000,21725.7
2531,U/S OF TARAPITH ON RIVER DWARKA AT SADHAK BAMDEB GHAT,WEST BENGAL,16,35,28.33,1,10.3,6.53,7.15,8.72,7.67,173,917,400.33,3.25,10.75,5.96,0.2,1.06,0.62,400,90000,30341.7,700,200000,64966.7
2532,"D/S OF TARAPITH ON RIVER DWARKA, SATIGHAT",WEST BENGAL,16,35.5,28.42,6.3,14.8,9.08,7.24,8.85,7.84,142,904,416.08,1.55,19.5,7.01,0.22,0.97,0.6,200,90000,14550,700,200000,54383.3
2508,"D/S OF SILABATI AT GHATAL,",WEST BENGAL,20,33,28.29,5.1,8.6,6.88,7.02,7.93,7.5,121.2,279,180.87,0.9,3.4,2.12,0,0.6,0.23,2000,30000,11750,4000,50000,25083.3
2514,"JALANGI, D/S OF KRISHNA NAGAR",WEST BENGAL,21,34,28.38,3.4,11,7.06,7.07,8.4,7.7,211,551,391.58,1.55,7.25,3.31,0,0.78,0.41,1700,100000,34225,2300,200000,62941.7
1764,CHURNI D/S OF SANTIPUR TOWN,WEST BENGAL,22,34,28.75,2.7,6.8,4.69,7.22,8.1,7.66,226,653,468.5,1.4,11.7,4,0,1.28,0.64,8000,300000,74166.7,13000,500000,114833
2518,"CHURNI, MAJHADIA",WEST BENGAL,22,33,28.67,0.5,5.8,2.97,6.87,8.4,7.55,210,650,493.25,2.1,10,5.73,0,1.13,0.6,14000,2000000,513083,22000,3000000,695167
2517,"MATHA BHANGA, GOBINDAPUR",WEST BENGAL,22,33,28.54,0.3,4.6,2.34,6.83,8.3,7.58,207,651,494.42,1.9,19.83,7.57,0,0.99,0.49,27000,5000000,1068917,34000,9000000,1744500
2534,WATER INTAKE POINT FOR SURI TOWN ON RIVER MAYURAKSHI,WEST BENGAL,15,32.5,27.46,5.5,9.6,7.48,7.27,8.6,7.82,135,199,154,0.7,4.6,2.28,0.08,0.25,0.17,200,7000,1175,400,14000,3083.33
2507,"D/S OF KANSI AT MIDNAPORE, NEAR NEW HANUMAN MANDIR, GANDHIGHAT",WEST BENGAL,22,37.5,29.75,7.4,11,8.77,6.89,7.93,7.47,124,272,200.05,1.25,4.3,2.55,0,0.37,0.08,2000,50000,19166.7,4000,100000,66333.3
1946,MAHANANDA AT SILIGURI,WEST BENGAL,21,30,26.17,6,7.9,6.83,6.82,8.06,7.3,131,211,165.55,0.5,5.2,2.98,0.1,1.26,0.42,4000,100000,21416.7,11000,200000,75916.7
2525,"MAHANANDA D/S, RAMGHAT",WEST BENGAL,17,29,23.75,4.9,9.5,7.12,6.94,8.67,7.66,89,349,158.76,0.6,5.65,3.39,0.01,1.62,0.47,4000,900000,173750,8000,2000000,494000
2572,"MAHANANDA AT THAKURGANJ, KISHANGANJ ROAD BRIDGE",BIHAR,16,29,23.55,6.5,7.9,7.42,7.6,7.9,7.75,260,377,300.55,2.1,2.8,2.55,NA,NA,NA,500,1400,970,1700,3000,2280
2549,U/S OF VINDYADHARI RIVER AT HAROA BRIDGE,WEST BENGAL,19,32,27.25,0.6,2.2,1.35,7.35,8.33,7.67,972,7310,3351.67,3.33,11.78,7.07,0.04,3.06,1.06,11000,300000,73166.7,17000,2000000,222833
2550,D/S OF VINDYADHARI RIVER AT MALANCHA BURNING GHAT,WEST BENGAL,20,32,27.38,0.6,3.9,1.67,7.21,8.08,7.58,2050,29500,9812.75,1.95,10.13,5.47,0.13,2.33,0.82,4000,100000,44666.7,7000,200000,83000
2396,JUMAR AT KANKE DAM,JHARKHAND,19,32,27.21,5.2,8.9,7.48,6,8,6.98,311,646,407.5,1.2,5.2,3.84,NA,NA,NA,90,250,156.67,640,1500,984.17
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
