STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
1312,"GODAVARI AT JAYAKWADI DAM, AURNAGABAD",MAHARASHTRA,20,38,27.67,5.6,7.6,6.71,8,9.2,8.48,432.7,1278,590.2,2.8,5.8,4,0,1.28,0.33,2,2,2,60,110,77.5
2177,GODAVARI RIVER NEAR SOMESHWAR TEMPLE.,MAHARASHTRA,21,28,24.27,5.1,7,5.83,7.01,8.1,7.58,181,502.7,285.23,3,6,5.13,0.12,25.01,5.98,11,50,21.33,27,110,60.58
2182,GODAVARI RIVER AT SAIKHEDA.,MAHARASHTRA,22,26,24.25,4.7,10.3,9.73,6.94,7.88,7.38,180,724.6,317.61,3,14,4.92,0,15.68,5.34,11,33,17.5,27,90,47.25
2179,"GODAVARI RIVER AT HANUMAN GHAT, NASHIK CITY.",MAHARASHTRA,21,26,24.09,2.4,6.4,5.08,6.51,7.95,7.32,191,690,438.7,4,18,6.89,0.02,18.3,5.41,21,170,46,60,500,149.17
2183,GODAVARI RIVER AT NANDUR- MADMESHWAR DAM.,MAHARASHTRA,20,27,24.5,1.5,6.58,5.66,6.92,8.66,7.46,209.7,490,312.25,3,20,5.5,0,15.05,5.14,9,26,15,25,110,47.25
2181,"GODAVARI RIVER AT KAPILA- GODAVARI CONFL. PT, TAPOVAN.",MAHARASHTRA,23,28,24.64,1.1,6.3,4.13,7,8.08,7.36,243,786.4,523.22,4,40,12,0.09,37.08,13.71,11,220,62,50,500,157.5
2180,GODAVARI NEAR TAPOVAN.,MAHARASHTRA,22,27,24.36,2.3,6.8,4.7,6.87,8.14,7.49,115.4,604,425.9,4,28,8.88,0.09,21.73,7.09,22,350,67.25,100,900,201.67
1096,GODAVARI AT PANCHAVATI AT RAMKUND,MAHARASHTRA,21,25,24.27,3.2,6.3,5.14,6.79,8.14,7.43,231,757.5,407.3,4,10,6.13,0,16.44,5.39,21,110,38.58,40,350,134.17
1211,GODAVARI AT NASIK D/S,MAHARASHTRA,21,26,24.36,3,6.4,5.31,6.89,7.98,7.4,201,712.9,406.58,2.01,12,6.46,0,18.08,6.31,13,140,33.75,27,500,116.42
1095,"GODAVARI AT U/S OF GANGAPUR DAM,NASIK",MAHARASHTRA,22,28,26.09,3,6.9,6.24,7.05,8.25,7.57,142.5,271,191.5,3,4,3.13,0.04,5.95,1.81,8,21,11.75,11,60,31.83
2160,"GODAVARI U/S OF AURANGABAD RESERVOIR, KAIGAON TOKKA NEAR KAIGAON BRIDGE.",MAHARASHTRA,20,37,27.17,5.3,7.1,6.63,7.8,9,8.18,436.8,1418,762.48,0.35,5.2,3.75,0,0.89,0.23,2,4,2.17,60,110,83.33
2158,GODAVARI RIVER AT U/S OF PAITHAN AT PAITHAN INTAKE PUMP HOUSE AT JAYAKWADI .,MAHARASHTRA,20,38,27.82,5.7,7.5,6.8,8.1,9.1,8.52,415.8,588,518.15,3,5,3.6,0,0.99,0.25,2,4,2.18,70,90,80.91
2159,GODAVARI RIVER AT D/S OF PAITHAN AT PATHEGAON BDG,MAHARASHTRA,20,38,27.82,3.4,7.1,6.12,7.8,9.3,8.58,464.3,1940,960.21,2.8,8.4,4.48,0,3.8,0.78,2,4,2.36,60,130,90.91
2161,"GODAVARI AT JALNA INTAKE WATER PUMP HOUSE, SHAHABAD",MAHARASHTRA,27,35,28.58,4.9,7.5,6.62,7.4,8.5,8.12,544,2985,1027.08,2.8,8.3,4.12,0,2.85,0.55,2,2,2,40,130,81.67
12,GODAVARI AT DHALEGAON,MAHARASHTRA,18,32,25.7,5.8,7.6,6.7,7.2,8.5,7.96,360,986,597.15,3.2,12.4,4.87,0,4.1,1.45,2,2,2,70,110,86
1210,GODAVARI AT NANDED,MAHARASHTRA,28,30,29.58,4.5,7.2,6.36,7.8,8.6,8.13,360,945.8,565.28,2.4,6.6,4.26,0,3.3,0.87,2,2,2,50,140,86.67
1209,GODAVARI AT RAHER,MAHARASHTRA,27,30,29.42,4.6,7.3,6.21,7.7,8.5,8.13,357.5,880,581.13,2.8,8,4.38,0,2.5,0.78,2,4,2.33,60,170,99.17
2157,GODAVARI RIVER AT LATUR WATER INTAKE NEAR PUMP HOUSE AT DHAMEGAON.,MAHARASHTRA,22,30,26.67,6.5,7.4,6.99,7.8,8.8,8.22,308.3,1603,547.31,2.8,4.2,3.38,0,0.83,0.25,2,4,2.17,60,170,83.33
