STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
1854,"INDRAVATI A/C DANTEWADA RIVER, NELSONNAR, DANTEWADA.",CHHATTISGARH,19,27,23.25,7.4,7.7,7.6,7.4,7.8,7.6,NA,NA,NA,0.8,1.6,1.18,NA,NA,NA,NA,NA,NA,4,12,6.5
1856,SHANKNI A/C DANKANI RIVER DANTEWADA.,CHHATTISGARH,20,28,23.75,7.2,7.7,7.5,7.5,7.6,7.55,NA,NA,NA,1,1.8,1.33,NA,NA,NA,NA,NA,NA,4,14,8
2673,"MANJRA RIVER AT D/S OF LATUR, NEAR LATUR- NANDED BRIDGE AT BHATKHEDA, LATUR.",MAHARASHTRA,22,30,26.5,5.8,7.5,6.78,8.3,8.6,8.38,275.4,916,515.07,3,6.5,4.07,0,1.6,0.41,2,2,2,60,80,66.67
2374,MANJEERA AT GOWDICHARLA B/C WITH NAKKAVAGU,ANDHRA PRADESH,27,29,28.46,6.1,7.4,6.75,6.93,8.5,7.89,322,550,426.42,1,3.2,1.8,0.5,2,0.99,6,80,37.18,105,330,190.91
2375,MANJEERA AT GOWDICHARLA A/C WITH NAKKAVAGU,ANDHRA PRADESH,27,29,28.2,5.4,7,6.08,7.2,8.6,7.87,394,743,524.5,1.8,4.6,2.76,1,5,2.26,8,100,48.5,105,390,225.6
1781,"MANJEERA - NEAR GANAPATHI SUGARS , MEDAK DIST",ANDHRA PRADESH,26,29,27.36,6,7.6,6.79,7.95,8.8,8.24,297,471,397.64,1,2.1,1.55,0.4,1,0.85,5,72,34,60,320,218.64
1157,MANJERA AT RAIPALLU,ANDHRA PRADESH,26,30,28.27,6,7.5,6.85,7.5,8.71,8.23,288,409,350.55,1,1.3,1.11,0.4,1.5,0.78,3,55,34.44,48,210,121.18
1891,MANJRA AT D/S IN INTAKE POINT TO BIDAR CITY,KARNATAKA,26,36,28.73,5.3,8.2,7.23,7.6,8.37,7.98,NA,NA,NA,1,3.5,2.33,0.24,1.63,0.67,170,1600,797.5,500,1600,1450
1215,MANER AT WARANGAL U/S,ANDHRA PRADESH,25,33,28.38,0,8.5,5.19,7.2,8.36,7.91,286,1288,567.5,1.4,27,15.4,0.1,6.33,3.18,300,900,566.67,900,1600,1366.67
1158,MANER AT SOMNAPALLI,ANDHRA PRADESH,25,30,28.29,0,8,4.16,7.61,8.4,8.12,362,598,467.57,1,25,7.79,0,2.6,0.6,40,90,77.5,300,500,412.5
