STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
1194,KRISHNA AT MAHABALESHWAR DHOM DAM NEAR KOINA DAM,MAHARASHTRA,21,26,23.11,5.6,6.1,5.87,6.42,8.15,7.73,82,220,140.12,2.5,5.8,4.2,0.14,0.36,0.22,20,35,27.08,110,275,215.83
1153,KRISHNA AT RAJAPUR WEIR,MAHARASHTRA,23,31,27.17,4.9,7.48,6.62,6.89,8.08,7.53,77,978.7,497.18,1.8,6.2,3.11,0,2.66,1.05,4,12,7.18,110,240,161.82
36,"KRISHNA AT KRISHNA BRIDGE, KARAD",MAHARASHTRA,21,25,23.21,4.86,5.6,5.26,6.54,8.22,7.74,118,442,205.38,5.4,8.8,6.79,0.16,0.38,0.25,200,275,245.83,1600,1800,1783.33
1906,KRISHNA D/S OF ISLAMPUR,MAHARASHTRA,21,25,22.75,5.3,7.33,6.67,6.98,8.45,7.83,179,1722,455.88,2.4,24,4.87,0.46,17.2,2.62,4,12,5.75,130,220,154.17
37,KRISHNA AT SANGLI,MAHARASHTRA,20,25,22.92,4.9,7.38,6.53,7.01,8.63,7.81,182,1925,773.86,2.2,6,3.15,0.26,11.9,2.34,2,12,5.75,110,220,149.17
1310,KRISHNA AT KURUNDWAD IN KOLHAPUR,MAHARASHTRA,23,32,27.17,5.71,7.3,6.57,6.92,8.31,7.57,78,1286,556.13,2,5.4,3.58,0.45,3.98,1.56,4,9,6.83,130,220,162.5
2187,KRISHNA AT KSHETRA MAHULI.,MAHARASHTRA,20,23,21.65,3.9,5.8,4.87,7.13,8.17,7.86,322,840,435.18,4.8,9.6,7.27,0.16,0.38,0.25,120,350,218.33,900,1800,1558.33
2188,"KRISHNA AT KRISHNA-VENNA SANGAM, MAHULI",MAHARASHTRA,20,23,21.12,4.2,5.5,4.99,7.37,8.24,7.97,292,648,407.81,3.64,9.5,6.87,0.18,0.42,0.28,195,350,237.08,1600,1800,1716.67
2190,KRISHNA RIVER AT WAI.,MAHARASHTRA,20,30,23.17,4.2,5.2,4.53,7.14,8.22,7.85,160,524,323.77,5.48,10.5,8.05,0.18,0.72,0.3,110,275,178.33,900,1800,1441.67
1182,KRISHNA AT U/S OF UGARKHURD BARRAGE,KARNATAKA,21,31,25.64,4.5,8.4,6.55,7.63,9.07,8.51,200,1230,689.09,0.9,4.5,2.07,0,9.86,3.9,50,900,571.82,80,1600,1274.55
1889,KRISHNA - ANKALI BRIDGE ALONG CHIKKODI KAGWAD ROAD,KARNATAKA,22,31,24.82,4.7,8.1,6.76,7.95,9.26,8.52,290,1000,668.18,1,3.9,1.88,0.88,11,6.02,34,900,619.46,300,1600,1418.18
1181,KRISHNA AT D/S OF NARAYANPURA DAM,KARNATAKA,23,29.5,27.86,4.6,6.8,5.47,7.5,8.8,8.16,390,490,440,1,2.2,1.5,0,18.66,2.22,23,900,229.36,50,1600,565.46
1170,KRISHNA AT D/S OF DEVASAGAR BDG.,KARNATAKA,26,33,29.67,6.4,7.4,7.02,7.7,9.6,8.32,NA,NA,NA,1,3,2.13,0.27,0.99,0.51,220,900,606.67,500,1700,1250
1028,KRISHNA AT TINTINI BRIDGE,KARNATAKA,27,36,30,7,7.2,7.11,8,8.55,8.22,NA,NA,NA,1,2.8,1.34,0.15,1.05,0.58,50,220,118.33,90,500,306.67
2781,KRISHNA AT D/S OF ALAMATTI DAM,KARNATAKA,24,29,27.77,4.8,6.8,5.65,7.5,9.27,8.19,390,530,460,1,2.8,1.7,0,1.27,0.58,30,900,354.55,70,1600,860
1784,"KRISHNA AT THANGADI , MAHABOOBNAGAR",ANDHRA PRADESH,26,31,28.45,0,10.5,6.75,7.06,8.39,7.99,354,1080,766.46,0,24,8.78,0,4,0.63,80,170,101.67,100,900,341.43
1175,"KRISHNA A/C TUNGABHADRA, SANGAMESHWARAM",ANDHRA PRADESH,23,34,27.64,6,6.8,6.3,7.6,8.1,7.92,280,410,372.27,2,2.8,2.36,1,4.8,2.35,100,210,138.4,940,1230,1086
