STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
1851,MAHANADI AT SIHAWA,CHHATTISGARH,22,34,28,7.8,9.4,8.42,7.5,7.74,7.61,126,302,191.6,0.6,3.2,1.33,0.4,5.4,2,NA,NA,NA,11,350,82.2
1264,MAHANADI AT RUDRI U/S AT DHAMTORI RESERVOIR,CHHATTISGARH,23,33,27.6,7.6,8.6,8.06,7.32,7.85,7.56,190,497,258.6,1,3.5,2.03,1.3,4.9,2.56,NA,NA,NA,14,900,218.4
1099,MAHANADI AT U/S OF RAJIM,CHHATTISGARH,20,38,29.73,7.5,8.6,7.9,7.38,7.76,7.54,166.5,390,268.77,1.6,3.8,2.15,1.1,5.1,2.31,NA,NA,NA,26,900,148.47
1852,"MAHANADI AT ARRANG, RAIPUR",CHHATTISGARH,21,32,27.6,7.2,8.4,7.86,7.78,7.84,7.81,235,434,289,1.6,3.8,2.45,1.1,5.15,2.61,NA,NA,NA,11,500,136.2
1100,MAHANADI AT KHARAD,CHHATTISGARH,19.5,33,27.21,6,7.5,6.74,7.5,7.5,7.5,196,477,270,NA,NA,NA,0.06,1.6,1.31,NA,NA,NA,14,120,51.71
1282,MAHANADI AT SHEORINARAYAN,CHHATTISGARH,20,30,26.5,5.6,6.5,6.1,7.5,7.5,7.5,312,470,366,NA,NA,NA,1.24,2.36,1.74,NA,NA,NA,20,28,23.33
1467,MAHANADI A/C WITH RIVER MAND,CHHATTISGARH,20,32,27.67,6.3,7.8,7.09,7.5,7.5,7.5,203,333,237.33,NA,NA,NA,0.05,1.7,1.17,NA,NA,NA,15,126,41.11
1101,MAHANADI AT INTERSTATE BOUNDRY,CHHATTISGARH,22,30,26,6.9,7.4,7.18,7.4,7.6,7.5,31,311,267.17,1,1,1,1.17,1.29,1.22,NA,NA,NA,39,460,166.42
1281,MAHANADI AT HIRAKUD RSVR,ORISSA,20,33,26.92,6.2,8.3,7.29,7.3,8.3,7.92,134,220,179.33,1,1.8,1.33,0.05,2,0.74,130,1500,677.5,310,2400,1242.5
1270,MAHANADI AT SAMBALPUR U/S,ORISSA,20,34,26.92,7.1,9.7,7.75,7.7,8.3,7.98,137,206,179.5,1.1,2.4,1.64,0.07,1.84,0.54,330,16000,2325.83,700,16000,3608.33
1271,MAHANADI AT SAMBALPUR D/S,ORISSA,21,35,27.25,4,8.9,6.86,7.4,8.4,8.02,151,250,195.58,1.7,4.9,2.81,0.08,3.91,0.94,1300,200000,45775,3500,200000,64041.7
2405,SAMBHALPUR FDS AT HUMA,ORISSA,22,32,27.5,6.1,8.9,7.31,6.9,8.4,7.95,144,212,185.17,1,3,1.8,0.04,2.92,0.72,580,17000,8856.67,840,35000,15395
1272,MAHANADI D/S (A/C R. SONG SONEPUR U/S),ORISSA,22,36,28.92,7.1,9.6,8.03,0.2,8.3,7.27,136,237,185.75,0.9,2.3,1.47,0.12,2.12,0.57,130,2200,833.33,170,3500,1749.17
1274,MAHANADI A/C WITH R.TEL (SONEPUR D/S),ORISSA,22,36,29,5.5,9.6,7.7,7.6,8.4,8.14,187,252,209.42,1.4,2.6,1.95,0.07,1.22,0.45,140,2400,1157.5,270,5400,2588.33
1275,MAHANADI AT TIKARPADA,ORISSA,22,32,27.58,7.3,9.6,8.27,6.9,8.4,7.77,127,206,181.25,1,1.8,1.4,0.04,1.49,0.42,170,2800,1149.17,460,5400,2393.33
1276,MAHANADI AT NARSINGHPUR,ORISSA,22,34,28.25,6.3,9.4,7.99,7.7,8.4,8.14,145,285,198.75,0.5,1.9,1.28,0.1,1.52,0.41,490,4600,1875.83,1100,9400,3566.67
1277,MAHANADI AT CUTTACK U/S,ORISSA,23,40,28.83,7,10.3,8.23,7.4,8.3,8.08,141,281,188.92,1,2,1.5,0.05,1.11,0.32,140,9200,2004.17,470,11000,3255.83
1278,MAHANADI AT CUTTACK D/S,ORISSA,24,39,29.67,6.8,9.1,7.7,6.8,8.4,8.03,142,246,188.58,1.6,3.9,2.54,0.02,0.95,0.38,13000,92000,32583.3,24000,200000,55416.7
2409,CUTTACK FDS (SERUA) AT SANKHATRASA,ORISSA,21,38,28.5,5.9,11.9,7.88,7,8.4,8.02,148,243,195.92,1.4,3.6,2.54,0.05,1.12,0.42,7900,92000,21558.3,11000,200000,41333.3
2406,MUNDALI(WATER INTAKE POINT OF BHUBANESWAR CITY,ORISSA,21,35,27.25,6.6,8.9,7.86,7.4,8.4,8.07,153,221,180.92,0.4,2.4,1.41,0.1,0.84,0.34,130,5400,1965,330,9200,3629.17
2404,POWER CHANNEL D/S NEAR BURLA,ORISSA,20,31,26.5,5.6,8.5,7.1,7.5,8.4,8.04,122,219,174.08,1.2,2,1.7,0.04,1.68,0.45,80,1300,324.17,170,2800,888.33
2407,PARADEEP U/S (BEFORE INDL ACTIVITY AT PARADEEP),ORISSA,22,35,29.5,6.3,8.9,7.71,7.3,8.4,7.97,155,18660,6571.58,0.8,2.6,1.54,0.36,1.75,0.81,330,13000,3222.5,2100,22000,6216.67
1639,MAHANADI AT PARADEEPD/S,ORISSA,22,37,29,5.7,8.5,7.33,7.6,8.4,8.05,617,39030,18179.3,0.7,3.7,2.2,0.05,2.13,0.86,790,7000,2407.5,790,11000,4282.5
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
