STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
1232,MAHI D/S CONF WITH R. CHAP (UNDER SAGWARA-SARHI RD. BDG.),RAJASTHAN,23,32,26.71,4.41,6.7,5.24,7.43,8.61,8.03,280,900,556.67,0.47,2.67,1.47,0.14,1.14,0.69,3,7,3.75,4,20,10.17
1864,MAHI AT MUJPUR,GUJARAT,26,26,26,7.8,7.8,7.8,8.45,8.45,8.45,1276,1276,1276,1.8,1.8,1.8,0.16,0.16,0.16,21,21,21,40,40,40
4,MAHI AT SEVALIA,GUJARAT,25,28,26.75,6.8,20,8.8,7.9,8.6,8.24,192,472,358.5,0.3,6,2.33,0,0.14,0.08,1,4,2.08,4,20,11.67
1233,MAHI AT BADNAWAR,MADHYA PRADESH,24,24,24,8,8,8,7.6,7.6,7.6,400,400,400,1.6,1.6,1.6,0.89,0.89,0.89,1,1,1,210,210,210
2102,"RIVER SHIVNA AT RAMGHAT, MANDSAUR",MADHYA PRADESH,26,30,27.57,6.7,7.8,7.33,7.3,8.2,7.74,410,843,563.44,1.6,3.2,2.31,0,2.4,1.07,NA,NA,NA,NA,NA,NA
2103,"RIVER JAMMER AT DHOLOWAD, RATLAM",MADHYA PRADESH,24,32,27.4,7,7.8,7.46,7,8.5,7.89,264,440,363.18,1,1.8,1.32,0,1.01,0.71,NA,NA,NA,NA,NA,NA
2104,RIVER MALEI AT JAORA,MADHYA PRADESH,25,28,26.64,6,7.6,7.29,7.2,8.4,7.83,180,1100,455.82,1,4.2,2.14,0.14,1.42,0.84,NA,NA,NA,NA,NA,NA
2105,RIVER CHILLAR AT SHAJAPUR,MADHYA PRADESH,23,32,26.7,6.8,7.8,7.34,7.4,8.2,7.81,223,551,436.91,1,3,2,0.14,1.92,1.26,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
