STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
1448,NAGAVALLI AT THOTAPALLI REGULATOR,ANDHRA PRADESH,25,28,26.64,5.8,6.2,5.98,7.3,7.9,7.63,264,707,429.27,1,1.6,1.13,0.43,1.83,1.1,3,3,3,3,1100,362.46
2352,"RIVER VAMSHADHARA, KALINGAPATNAM,VIZIANAGARAM",ANDHRA PRADESH,25,29,27,5.7,6.2,5.95,7.6,7.9,7.79,224,459,308,1,2,1.13,0.19,2.69,1.47,3,3,3,4,1100,342.55
3080,"U/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM",ANDHRA PRADESH,18,20,19.83,4.1,7.5,5.83,7.11,7.61,7.39,414,589,504.75,0.4,0.8,0.58,0,1.58,0.73,2,6,4,1100,2100,1516.67
3081,"D/S OF KARAKAVAGU AT PALONCHA,  KHAMMAM",ANDHRA PRADESH,20,27,23.5,4.4,7.1,6.12,7.07,7.68,7.46,306,667,464.83,0.5,0.6,0.53,0.25,0.7,0.34,2,6,4.33,1200,2100,1458.33
1444,KALI AT D/S WEST COAST PAPER MILL,KARNATAKA,27,29,28,5.3,7.3,6.43,6.7,7.3,7.13,157,213,182.5,1.4,3,2.3,0,1.8,0.62,45,550,208.75,170,900,397.5
2780,"KALI AT U/S OF WCPM, DANDELI",KARNATAKA,24,28,26.5,6.8,7.7,7.13,6.8,7.6,7.35,113,159,135,1.2,2.6,1.88,0,1.4,0.72,225,900,418.75,130,1800,995
1894,KUMARADHARA - U/S OF UPPINAGADY TOWN BEFORE CONFLUENCE WITH RIVER NETHRAVATHI,KARNATAKA,29,35,31.5,6.2,7,6.73,6.9,7.4,7.15,43,273,103.25,1,1,1,NA,NA,NA,2,26,11,2,220,70
1892,NETRAVATHI U/S OF DHARMASTALA AT WATER SUPPLY INTAKE POINT,KARNATAKA,28,34,30.25,6.4,7,6.78,6.8,7.4,7.1,42,251,105.75,1,1,1,NA,NA,NA,2,34,12.75,2,510,136.75
2423,"BUDHABALANGA, D/S OF BARIPADA TOWN",ORISSA,18,25,22.33,7.4,9.6,7.82,7.5,8.4,7.9,129,287,212.58,0.8,1.8,1.45,0.01,1.48,0.35,2100,35000,7741.67,5800,54000,15083.3
2424,BUDHABALANGA AT BALASORE D/S,ORISSA,16,25,22.25,7.2,9.7,7.69,7.2,8.5,8.06,190,685,312.17,1.3,2.8,1.97,0.03,2.01,0.75,3100,35000,12675,8400,92000,32016.7
2425,"RIVER KERANDI(INTAKE WELL OF NALCO REFINARY, HAL, SUNABEDA)",ORISSA,18,31,23.5,6.4,7.2,6.88,6.7,8.2,7.62,13.9,167,98.66,1,2.4,1.63,0.27,5,1.39,460,11000,3065.83,940,17000,5395
2422,"NAGAVALLI AT PENTA U/S, JAYKAYPUR TOWN",ORISSA,20,36,27.17,6.9,8.1,7.33,7.4,8.4,8.03,151,318,230.08,1.1,2.6,1.63,0.06,1.48,0.69,490,7000,2345.83,790,11000,4348.33
1642,NAGAVALLI AT JAYKAYPUR D/S,ORISSA,20,35,26.08,6,7.3,6.81,7.5,8.4,8.13,181,414,263.5,1.6,3.9,2.58,0.11,3.8,1.16,460,7900,2428.33,1300,11000,5141.67
1643,NAGAVALLI AT RAYAGADA D/S,ORISSA,19,33,25.25,5.9,7.7,7.15,7.5,8.6,8.1,160,659,271.83,1.4,16,3.14,0.08,3.62,1.46,130,7900,2195.83,230,13000,4585.83
