STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
2267,"CREEK AT DANDO MOLLO,VELSAO, MAMUGAO",GOA,27,35,30.22,4.8,8.8,6.5,6,8.74,6.74,4.96,612,124.69,1.2,2.3,1.62,0.2,48.52,10.17,10,13000,4442,95,28000,9886.67
2081,AMLAKHADI CREEK AT PUNGAM.,GUJARAT,28,33,30.5,0,5.91,1.99,7.32,8.3,7.74,1380,5860,3164.58,3.5,72.1,32.31,0.12,12.88,3.44,140,9000,2592.5,140,90000,15173.3
1316,BASSEIN CREEK AT BASSIN IN THANE,MAHARASHTRA,22,30,25.42,4.2,7.2,5.38,7.5,8,7.8,204,63170,36176,2.2,17.5,9.08,0.2,4.63,1.65,8,550,275.25,25,900,565.42
1318,MAHIM CREEK AT MAHIM BAY,MAHARASHTRA,28,29,28.7,1.3,6,4.5,7.1,7.7,7.48,3273,57310,40025.3,4,25,12.12,0.1,6.2,2.44,225,1600,735,550,1600,1215
1317,THANE CREEK AT ELEPHANTA ISLAND,MAHARASHTRA,28,29,28.75,3.4,6,5.08,7.5,8.2,7.73,20640,64300,50655.8,4,25,10.08,0.1,2.67,1.67,350,900,766.67,550,1600,1337.5
2793,"THANE CREEK AT KALWA ROAD BRIDGE, KALWA, THANE",MAHARASHTRA,21,32,28.25,1.1,5.7,3.43,7.1,7.9,7.41,1172,40540,16482.9,3.2,130,21.61,0.2,3.79,1.91,110,1600,525,250,1800,827.08
2791,"ULHAS CREEK AT RETI BUNDER, D/S OF KALYAN- BHIWANDI BDG",MAHARASHTRA,25,30,27.73,3.1,7.3,4.53,6.7,7.7,7.17,105,18130,5798.36,2.4,70,18.55,0.36,5.4,1.92,17,1600,478.55,50,1600,723.64
2792,"ULAHS CREEK AT MUMBRA RETI BUNDER, VILLAGE MUMBRA, THANE",MAHARASHTRA,20,32,28.08,2.8,7,4.65,7.1,7.9,7.52,197,41090,21734.8,2.4,32,11.48,0.2,4.89,2.39,25,900,324.17,70,1600,653.75
2794,"ULHAS CREEK AT KOSHLET RETI BUNDER, KOLSHET, THANE",MAHARASHTRA,20,32,28.5,3.5,7.3,5.4,5,7.9,7.37,164,34500,17271.6,2.2,23,9.5,0.2,4.4,2.23,7,550,188.08,25,900,428.75
2795,"ULHAS CREEK AT GAIMUKH AT NAGLA BUNDER ON GHOD BUNDER ROAD, NAGLA, THANE",MAHARASHTRA,20,32,28.42,3.1,7.1,4.88,7.4,7.8,7.59,234,43000,24135.6,3.2,25,10.08,0.2,4.86,2.03,80,550,178.33,130,900,437.92
2796,"ULHAS CREEK AT VERSOVA BRIDGE, VERSOVA, VASAI, THANE",MAHARASHTRA,22,30,25.5,3.8,7.5,5.24,7.2,8.1,7.71,275,59370,30131.9,2.2,25,9.48,0.2,5.19,1.94,25,900,448.33,50,1600,802.5
2184,VASHI CREEK AT AIROLI BRIDGE.,MAHARASHTRA,24,30,26.64,3.2,7.2,4.78,7.2,8.2,7.55,1080,58080,30980.2,2.4,18,8.49,0.4,5.04,1.85,13,900,313,25,1800,581.82
2185,VASHI CREEK AT VASHII BRIDGE.,MAHARASHTRA,22,35,28.33,3.4,7.4,5.13,6.8,7.9,7.42,2589,64150,37849.3,2.8,20,9.18,0.86,3.26,1.74,110,550,235.42,225,900,483.33
2797,"BHAYANDER CREEK AT D/S OF RAILWAY BRIDGE, JASAL PARK CHOUPATHY, NAVGHAR, BHAYANDER, THANE",MAHARASHTRA,22,30,25.33,4.2,7.5,5.5,7.2,8.1,7.78,245,66140,33200.8,2.2,19,8.88,0.2,4.86,2.02,25,900,666.67,70,1600,879.17
2798,"KHAREKURAN MURBE CREEK, KHAREKURAN, PALGHAR, THANE",MAHARASHTRA,27,29,27.58,1.9,6.4,4.22,7,7.9,7.6,2301,66470,48643.4,3.8,31,12.18,0.21,2.5,1.81,80,1600,387.5,250,1600,554.17
2799,"DANDI CREEK, DANDI, PALGHAR, THANE",MAHARASHTRA,27,29,27.64,3.2,6.6,4.49,7.1,8,7.6,31070,65470,55022.7,4.8,18,10.04,0.18,2.72,1.92,130,1600,571.82,250,1600,804.55
2800,"SARAWALI CREEK, SARAWALI, PALGHAR, THANE",MAHARASHTRA,27,29,27.58,2.2,7.5,4.88,7.2,8.5,7.88,330.8,56800,10203.7,2.2,20,8.68,0.21,6.93,3.49,40,1800,336.67,130,1800,498.33
2801,"SAVTA CREEK, SAVTA, DAHANU, THANE",MAHARASHTRA,27,29,27.75,3,7.4,5.44,7.6,8.4,8.01,156,66140,36781.8,2.2,20,8.25,0.2,2.62,1.17,25,900,299.17,80,1600,563.75
2802,DAHANU CREEK AT DAHANU FORT,MAHARASHTRA,27,29,27.83,3.7,7.2,5.5,7.6,8.5,8.03,149.6,66260,36643.8,2.2,24,8.74,0.1,2.75,1.14,70,900,395,130,1600,756.67
2803,"PANVEL CREEK AT KOPRA BRIDGE, KOPRA, PANVEL, RAIGAD",MAHARASHTRA,25,30,29.18,1.8,7.4,4.87,4.9,8,6.9,159.6,60420,19209.8,2,24,9.7,0.2,3.4,1.4,50,350,157.73,110,550,321.36
2804,KARAMBAVANE CREEK AT CHIPLUN.,MAHARASHTRA,15,36,23.25,5.6,7.19,6.55,6.73,7.84,7.32,64,17130,3484.4,1.8,4.2,2.75,0.43,4.21,1.55,2,6,4,110,140,122.5
2165,SEA WATER AT GATEWAY OF INDIA.,MAHARASHTRA,28,29,28.73,3.2,6.2,4.61,7.5,8.1,7.69,23070,64150,52860,4,18,10.72,0.9,2.82,1.76,550,1600,1186.36,900,1600,1409.09
2166,SEA WATER AT CHARNI ROAD CHOUPATHY.,MAHARASHTRA,8,29,27,3.6,6,4.72,7.4,8,7.66,25140,64310,51690,4,19,10.68,0.9,2.68,1.83,550,1600,958.33,900,1600,1483.33
2167,SEA WATER AT WORLI SEA FACE.,MAHARASHTRA,28,29,28.75,4,6,4.86,7.5,8.1,7.71,20590,64660,50894.2,4,21,10.42,0.1,2.88,1.62,350,1600,1000,550,1600,1454.17
2169,SEA WATER AT VERSOVA.,MAHARASHTRA,21,28,25.5,2,5.9,4.41,7.5,8.2,7.79,349,64590,50604.9,4,29,11.64,0.1,2.88,1.67,250,900,595.83,550,1600,1045.83
2805,"ARNALA SEA, ARNALA, VASAI, THANE",MAHARASHTRA,22,30,25.33,3.5,6.9,5.18,7.7,8.4,7.94,283,67000,46329.5,3.2,20,9.5,0.1,4.16,1.6,17,900,587.25,45,1600,984.58
2806,"UTTAN SEA, UTTAN, BHAYANDER, THANE",MAHARASHTRA,22,30,25.42,3.7,7.5,5.52,7.6,8.4,7.98,203,66250,46166.4,2,22,10.11,0.1,4.01,1.63,35,1600,560.42,70,1600,779.17
2807,"NAVAPURA SEA, NAVAPUR, PALGHAR, THANE",MAHARASHTRA,27,29,27.58,1.5,6.6,4.13,7,8.1,7.71,31550,70190,55801.7,5.2,28,12.07,0.24,3.21,2.07,25,1600,567.92,350,1600,895.83
2808,SEA WATER AT NARIMAN POINT,MAHARASHTRA,8,30,26.91,3.5,5.8,4.78,7.4,8,7.6,39010,64660,54593.6,3.6,24,10.87,0.86,2.54,1.7,250,1600,695.46,900,1600,1090.91
2809,"SEA WATER AT MALABAR HILL, WALKESHWAR, MUMBAI",MAHARASHTRA,28,29,28.82,2.8,5.8,4.55,7.2,8,7.67,31200,62250,52354.5,3.4,24,10.55,0.89,2.61,1.78,350,900,722.73,900,1600,1090.91
2810,"SEA WATER AT HAJI ALI, WORLI, MUMBAI",MAHARASHTRA,28,29,28.82,3.2,5.6,4.56,7.4,8,7.75,38640,64030,54210,4.2,18,9.63,0.89,2.72,1.72,275,1800,1084.09,900,1800,1527.27
2811,"SEA WATER AT SHIVAJI PARK, DADAR, MUMBAI",MAHARASHTRA,28,30,28.91,3.4,6,4.78,7.5,8.1,7.72,38200,64030,54160,4.2,21,10.55,0.95,2.44,1.77,550,1600,804.55,900,1600,1218.18
2812,"SEA WATER AT JUHU BEACH, JUHUGAON, SANTACRUZ, MUMBAI",MAHARASHTRA,24,28,25.67,3.6,6.4,4.77,7.5,8.1,7.79,28420,64570,54037.5,4,28,11.09,0.1,3.23,1.83,55,1600,783.75,900,1600,1133.33
2813,"SEA WATER AT GANAPATHIPULE, RATNAGIRI.",MAHARASHTRA,24,30,26.58,3,7.48,6.25,7.26,8.56,7.95,3735,50220,31535.5,2.4,8.4,4.05,0.46,4.46,3.06,2,9,4.08,90,170,124.17
2814,"SEA WATER AT BHAGWATI BUNDER, RATNAGIRI NEAR ULTRA TECH CEMENT JETTY AT MIRKARWADA.",MAHARASHTRA,25,30,28.09,2.7,7.38,5.97,7.11,8.61,8.03,2296,48670,24728.2,2.6,5.4,3.95,0.72,4.65,2.9,2,6,4,90,140,124.55
2815,MADVI SEA  WATER  AT RATNAGIRI NEAR JODHALE MARUTI TEMPLE AT MADVIGAON.,MAHARASHTRA,24,30,27.42,3.6,7.06,5.85,6.95,8.8,8.06,2724,49920,26033,2,9.8,4.2,0.49,4.56,3.02,4,9,4.42,110,220,132.5
2439,PURI,ORISSA,21,31,26.42,5.8,11.4,7.05,7.8,8.3,8.03,28050,58400,40106.7,0.2,3,1.28,0.52,1.1,0.77,20,2400,398.58,20,3500,725.25
2440,PARADEEP,ORISSA,22,34,28.25,5.7,8.4,7.07,7.7,8.4,7.93,28110,57120,41071.7,0.3,2.8,1.18,0.48,2.47,1.05,20,230,115.25,45,490,312.92
2441,GOPALPUR,ORISSA,24,32,27.58,5.4,8.8,6.98,7.5,8.3,7.93,29980,57570,41660,0.7,3.8,1.59,0.15,1.91,0.94,20,490,91.75,45,790,187
2354,"SAMARLA KOTA CANAL, KAKINADA,EAST GODAVARI",ANDHRA PRADESH,21,28,24.55,5.4,6,5.85,6.6,7.8,7.37,283,425,338.18,1,1.2,1.13,0.24,0.79,0.52,3,3,3,20,2400,716.91
2355,"TULJE BAGH CANAL, TEKRI DRAIN,KAKINADA,EAST GODAVARI,",ANDHRA PRADESH,21,28,26,5.6,6.2,5.98,7,7.9,7.37,391,33200,4849.55,1.2,2,1.31,0.4,2.97,1.77,3,4,3.09,11,2400,793.82
3051,"BUDAMERU CANAL NR BDG AT NH-5, KEESARAPALLY,  KRISHNA",ANDHRA PRADESH,18,28,23.38,0.8,4.2,3.38,6.85,7.18,7.04,488,1239,953.88,0.4,2.9,1.96,0.16,1.63,0.75,2,6,4,1300,1700,1437.5
2057,"AGRA CANAL, MADANPUR KHADAR",DELHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100000,20000000000,2100000000,100000,20000000000,2100000000
2265,"CANAL UP STREAM OF CUNCOLIM INDL.EST. CUNCOLIM,SALCETE (1 KM FROM M/S NICOMENT INDUSTRIES)",GOA,27,34,30.5,7.49,7.8,7.65,5.51,5.85,5.68,49.7,60.9,55.3,1,1.61,1.31,0.06,0.11,0.08,7,7,7,150,150,150
2266,"CANAL DOWNSTREAM OF CUNCOLIM INDL.EST. CUNCOLIM,SALCETE (NEAR RAILWAY BRIDGE)",GOA,29,34,31.5,7.5,8.14,7.82,5.77,6.09,5.93,47.6,156,101.8,0.7,2.1,1.4,0.04,0.1,0.07,NA,NA,NA,120,120,120
2268,CUMBARJUA CANAL CORLIM(DISCHARGE POINT OF SYNGENTA LIMITED),GOA,26,33,30,3.3,6.7,4.96,5.46,7.36,6.5,3.15,1313,176.53,0.6,4.6,2.25,0.02,0.34,0.14,4,2600,1247.33,150,13000,3501.67
2073,"NARMADA MAIN CANAL, NR. VILLAGE. LIMBADIA, DIST. GANDHINAGAR.",GUJARAT,26,28,27.25,6.6,9.4,7.91,7.4,8.6,8.21,182,344,252,1,6,2,0,0.87,0.39,7,9,8,21,28,24.5
2074,"TAPI CANAL AT VILLAGE UMARWADA, NEAR GIDC ESTATE OF PANOLI.",GUJARAT,27,33,29.42,4.22,8.82,7.28,7.72,8.36,8.08,241,1270,482.58,0.72,5,2.09,0.04,1.19,0.54,2,230,49.08,2,1720,321.92
1479,WESTERN YAMUNA CANAL AT HAIDERPUR WATER WORKS,DELHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13000,30000,21500,30000,35000,32500
1111,W.YAM. CANAL C-3 DELHI BRANCH AT R.D.245250,HARYANA,18,32,26.67,6.99,7.6,7.36,7.05,8.22,7.56,184,254,217.33,1.4,1.7,1.57,0,0.2,0.1,NA,NA,NA,NA,NA,NA
1112,"W.YAM. CANAL C-4 BEFORE ENTER INTO DELHI BRANCH,R.D.282628",HARYANA,18,30,25.67,6.7,7.85,7.31,7.34,8.23,7.76,210,337,263.33,1.1,1.5,1.32,0,0.32,0.14,NA,NA,NA,NA,NA,NA
1115,W.YAM. CANAL C-7 DELHI PARALLEL BRANCH AT KHUBRU FALL RD-145250,HARYANA,19,31,26.33,6.65,7.4,6.98,7.41,8.12,7.73,178,253,217.33,1.95,2.1,2.02,0.2,0.4,0.27,NA,NA,NA,NA,NA,NA
1116,W.YAM. CANAL WC-4 DELHI PARALLEL BRANCH AT PANIPAT,HARYANA,20,24,22,7.01,7.3,7.2,7.28,8.12,7.85,206,410,267.5,2.2,2.6,2.44,0,0.55,0.14,13000,20000,16500,13000,400000,196500
3034,W.YAMUNA CANAL-KHUBRU OUTFALL,HARYANA/CPCB,NA,NA,NA,NA,NA,NA,8.1,8.2,8.15,173,345,259,1,1,1,NA,NA,NA,3300,3300,3300,5800,5800,5800
