STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
1399,ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS,GOA,28,34,31,5.2,6.51,5.86,6.96,7.43,7.2,44.1,59.9,52,1.6,2.59,2.1,0.08,0.08,0.08,NA,NA,NA,90,90,90
1475,ZUARI AT PANCHAWADI,GOA,27,32,29.5,4.8,7.3,6.06,6.04,8,6.82,14,2729,408.25,0.4,1.93,1.25,0.02,0.69,0.17,200,3300,1300,1.8,13000,3808.11
3181,RIVER ZUARI AT BORIM BRIDGE,GOA,29,32,30.17,4.5,6.1,5.5,6.34,7.25,6.89,12.97,463,143.01,0.6,2.1,1.28,0.01,0.19,0.09,200,11000,4100,200,35000,11113.3
3182,RIVER ZUARI AT MARCAIM JETTY,GOA,25,31,28.83,4.7,6.4,5.4,6.35,7.8,7.22,8.52,181.3,60.05,0.8,2.6,1.46,0.03,0.13,0.08,180,780,428,1.8,7000,2308.63
1400,MANDOVI AT NEGHBOURHOOD OF PANAJI,GOA,27,31,29,4.56,6.8,5.77,6,7.96,7.21,10.5,62.7,34.42,0.6,33,5.25,0.03,0.56,0.17,4,3300,854.86,145,13000,3322.14
1476,"MANDOVI AT TONCA, MARCELA",GOA,26,31,28.5,5.2,7,5.9,6.18,7.14,6.7,4.28,512,125.01,0.3,2.4,1.51,0.05,0.25,0.14,450,4700,1638.33,4,22000,5793.43
3185,MANDOVI AT AMONA BRIDGE,GOA,25,31,28.17,5.2,6.8,6.37,3.9,7.48,6.72,6.5,474,175.18,0.8,2.1,1.27,0.07,0.13,0.1,200,1700,772,680,7900,3636
3186,RIVER MANDOVI AT IFFI JETTY,GOA,28,31,29.67,5.3,6.8,6.15,7.18,8.13,7.73,20.27,50.8,38.66,1,1.5,1.27,0.03,0.1,0.06,200,2300,1296,200,17000,4516.67
3187,MANDOVI NEAR HOTEL MARRIOT,GOA,28,31,29.83,5.5,6.8,6.12,7.16,8.04,7.76,24.63,50.8,39.31,0.8,2.2,1.5,0.01,0.14,0.06,200,1700,1032,2300,17000,5840
1543,KALNA AT CHANDEL- PERNEM,GOA,26,28,27.25,6.83,7.9,7.34,6.3,7.39,6.86,38.2,84.34,60.53,0.2,1.1,0.7,0.04,0.12,0.09,200,2300,1430,14,13000,4387.71
1548,RIVER ASSONORA AT ASSONORA,GOA,26,30,28.13,5.85,7.7,6.76,5.82,7.58,6.57,50.5,163.3,71.01,0.5,2.6,1.47,0.03,0.29,0.14,680,4900,2495,12,13000,3948.67
2276,"BICHOLIM VARAZAN NAGAR, BICHOLIM",GOA,26,34,29.42,6.2,9,7.43,5.8,7.07,6.51,62.6,222.5,129.36,0.5,3.89,2.27,0.21,1.31,0.49,1,24000,5867.56,145,35000,16691.1
2275,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,24,32,28.33,5.86,7.7,7,6,7.57,6.76,5.75,2433,503,0.1,5,1.6,0.01,6.84,0.66,7,2300,964.75,160,7900,2403.89
3189,RIVER CHAPORA AT SIOLIM,GOA,27,30,29,5.3,7,6.3,6.55,8.01,7.52,4.78,48.3,31.15,1.1,2.2,1.62,0.02,0.13,0.06,200,4600,1466,0.01,13000,4266.67
1546,KHANDEPAR AT OPA - PONDA,GOA,27,30,28.5,6.4,7.49,7.09,6,7.2,6.75,40.8,118.4,70.06,0.15,1.61,0.83,0.04,0.54,0.17,200,1300,716,4,7900,3567.33
2270,"KHANDEPAR AT CODLI NR BDG, U/S OPA WATERWORKS,SANGUEM",GOA,27,35,29.67,5.86,8.24,7.3,5.76,7.5,6.76,39.5,100.6,69.23,0.5,2.91,1.21,0.01,0.21,0.12,7,1300,457.33,150,11000,2446.11
2272,"RIVER KUSHAWATI NEAR BUND AT KEVONA,RIVON,SANGUEM",GOA,25,33,28.33,4.56,7.3,6.73,5.77,7.3,6.6,38.4,223.6,117.99,0.4,1.94,0.98,0.09,0.66,0.22,7,2300,1103.5,90,11000,3496.11
1545,RIVER MADAI AT DABOS -  VALPOI,GOA,25,33,28.25,7,7.9,7.44,6.1,7.45,6.79,54.2,166.5,80.39,0.2,2.57,1.26,0.02,0.22,0.06,7,450,273.86,140,4900,1404.29
2274,RIVER MAPUSA ON CULVERT ON HIGHWAY MAPUSA-PANAJI,GOA,27,34,29.42,1.2,6.83,4.49,6,7.49,6.56,5.82,1358,250.01,1.2,6.2,2.42,0.08,0.27,0.16,9,3100,1571.86,110,22000,5889.44
2271,"SAL PAZORKHONI, CUNCOLIM (NEAR CULVERT MARGAO- CANACONA NATIONAL HIGHWAY)",GOA,24,31,28.42,5.2,6.9,6.08,5.9,8.2,6.9,10.54,120.6,74.45,0.5,3.2,1.85,0.01,0.43,0.19,4,3300,1074.11,160,7900,3937.22
2273,"RIVER SAL NEAR HOTEL LEELA MOBOR,CAVELOSSIM",GOA,27,32,29.92,5.2,6.7,5.91,5.21,8.5,7.3,10.51,75,44.01,0.9,2.5,1.63,0.01,0.33,0.14,4,3900,962.44,145,9400,2793.89
3183,"SAL AT KHAREBAND, MARGAO",GOA,29,31,30.17,0,4.6,2.38,6.1,6.81,6.48,92.3,388,195.03,1.8,10.6,4.78,0.04,0.59,0.35,2200,14000,7980,3300,22000,14216.7
3184,"SAL AT ORLIM BRIDGE, ORLIM",GOA,30,33,31.17,3.1,4.6,4.02,6.3,7.18,6.79,12.02,624,206.89,0.8,2.5,1.77,0.19,0.43,0.34,180,1100,818,680,4900,2280
3190,RIVER SINQUERIM (CANDOLIM SIDE NEAR BRIDGE),GOA,28,31,29.33,4.9,6.3,5.42,7.19,8,7.65,26.85,50.7,40,0.8,2.3,1.57,0.02,0.15,0.07,200,450,290,1.8,3300,1330.3
3191,RIVER SINQUERIM NEAR NERUL TEMPLE,GOA,29,31,29.67,4.9,6.4,5.33,7.25,7.96,7.63,29.23,51,41.06,0.6,2.5,1.37,0.02,0.14,0.08,200,2300,951.67,1100,4900,2516.67
1547,RIVER TALPONA AT CANACONA,GOA,27,31,28.88,6.2,7.5,7,6.1,8.27,6.93,40.9,93.2,54.11,0.2,2.26,0.82,0.02,0.85,0.21,7,2300,666.71,185,7000,3059.29
3188,RIVER TIRACOL AT TIRACOL,GOA,28,31,29.17,5.5,6.3,5.9,7.27,8.08,7.72,20.82,50.5,43.82,1,2.9,2.05,0.03,0.18,0.08,200,2200,1200,1.8,3300,830.6
