STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
1885,GHAGGAR AT D/S OF SURAJPUR,HARYANA,NA,NA,NA,6.62,6.9,6.76,7.55,8.42,7.99,380,448,414,3.1,3.1,3.1,0.5,1.25,0.88,NA,NA,NA,NA,NA,NA
1023,GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA),PUNJAB,13,31,21.33,5,6.2,5.5,7.2,7.5,7.38,530,712,635,6,12,8.75,4,7.8,5.08,1100,2200,1400,4000,7000,5500
1024,GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB,15,34,24,4.4,7.4,5.5,7.1,7.7,7.4,881,1234,1050.5,17,30,25,2.8,11.2,6.8,11000,50000,32000,22000,90000,63000
1295,"GHAGGAR NEAR BANKARPUR,DERA BASSI",PUNJAB,13,31,21.33,4.9,6,5.33,7.1,7.4,7.28,594,727,635.5,6.4,14,9.85,4.6,5.5,5,1400,4000,2150,9000,11000,10000
1473,"GHAGGAR AT RATANHERI, D/S OF PATIALA NADI (AFTER CONFL.)",PUNJAB,15,34,23.67,4.6,6,5.1,7.1,7.6,7.43,871,1207,993,16.4,28,21.85,3.7,10.6,6.63,9000,60000,36250,21000,90000,57750
1698,"GHAGGAR AT D/S CHHATBIR, PUNJAB",PUNJAB,13,30,21.33,4.4,6.6,5.28,7.2,7.7,7.48,552,791,631.75,5.8,19,13.45,4.2,6.7,5.08,14000,34000,20000,26000,60000,34750
1699,GHAGGAR AT U/S DHAKANSU NALLAH,PUNJAB,13,22,17.5,4.2,6,4.87,7.3,7.5,7.4,882,1066,972.67,16,18.4,17.47,4.7,4.8,4.77,13000,27000,22000,22000,50000,40666.7
1700,GHAGGAR AT D/S DHAKANSU NALLAH,PUNJAB,13,32,22.33,3.2,5.8,4.3,7.2,7.7,7.5,986,1509,1155.5,18,34,24.5,5.8,12.7,7.65,33000,34000,33750,50000,70000,65000
1701,GHAGGAR AT D/S JHARMAL NADI,PUNJAB,13,31,22,4.2,5.6,4.8,7.1,8,7.4,581,1243,903.5,18,34,26,5.4,9.9,8.6,27000,40000,31750,50000,70000,55000
1702,GHAGGAR AT U/S JHARMAL NADI,PUNJAB,13,31,21.33,4.4,5.8,5.05,7.2,7.5,7.4,781,1730,1110.25,11,23,16,5.2,40.1,14.85,2100,7000,3475,11000,13000,12000
1703,GHAGGAR AT MOONAK,PUNJAB,15,34,24,4.2,7.3,5.28,7.3,7.5,7.43,912,1942,1289.5,23,32,26.85,5.8,10.4,8.1,11000,50000,36250,25000,90000,66250
1704,GHAGGAR AT D/S SARDULGARH,PUNJAB,16,30,22.33,4,6.6,4.9,7.2,7.7,7.43,790,1228,989.75,21,43,27.75,3.7,9,6.78,11000,27000,19000,33000,50000,40500
1705,GHAGGAR AT U/S SARDULGARH,PUNJAB,16,30,22.33,4.2,7,5.15,7.2,7.6,7.35,746,1194,914,17,29.1,20.53,4.2,8.2,6.18,9000,17000,14750,27000,33000,29500
1025,"GHAGGAR GH-1 AT ROAD BRDG. SIRSA,DEBWALI ROAD",HARYANA,NA,NA,NA,6.36,6.36,6.36,7.9,7.9,7.9,1808,1808,1808,21,21,21,5.9,5.9,5.9,NA,NA,NA,NA,NA,NA
1026,GHAGGAR GH-2 AT CHANDARPUR SYPHON,HARYANA,NA,NA,NA,6.58,6.58,6.58,7.78,7.78,7.78,1302,1302,1302,18,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
1887,GHAGGAR BEFORE OTTU WEIR (BEFORE MIXING OF SATLUJ CANAL WATER) (HARYANA),HARYANA,NA,NA,NA,6.4,6.4,6.4,7.96,7.96,7.96,1286,1286,1286,19.5,19.5,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
1718,GAGGAR RIVER WHEN ENTERING IN RAJASTHAN FROM HARYANA NEAR RD NO. 629,RAJASTHAN,32.7,32.7,32.7,4.75,4.75,4.75,7.48,7.48,7.48,280,280,280,2.42,2.42,2.42,0.72,0.72,0.72,3,3,3,4,4,4
1871,"RIVER MARKANDA AT PAONTA, DISTT. SIRMOUR",HIMACHAL PRADESH,13,28,19.92,6.3,8.5,7.75,6.45,7.97,7.41,167,860,344,1,1.6,1.25,0.02,1.12,0.37,6,14,9.38,15,25,18.92
2624,MARKANDA U/S KALA AMB,HIMACHAL PRADESH,11,28,20.23,6,8.4,7.29,0.91,8.09,7.01,190,488,310.15,1,1.8,1.42,0.07,0.98,0.38,8,20,12.5,16,32,22.15
2625,MARKANDA D/S KALA AMB/ BOUNDARY OF HARYANA,HIMACHAL PRADESH,11,27,19.64,6,8.4,7.15,7.46,8.17,7.71,188,480,302.82,1,1.8,1.53,0.02,0.9,0.34,10,19,12.8,20,27,22.82
1884,KALA AMB D/S MARKANDA RIVER,HARYANA,20,20,20,2.84,3.8,3.32,6.91,8.08,7.5,1150,2110,1630,185,185,185,0,3.5,1.75,NA,NA,NA,NA,NA,NA
1870,"RIVER SUKHANA AT PARWANOO, DISTT. SOLAN",HIMACHAL PRADESH,12,20,18.06,3.2,7.8,6.21,7.19,7.98,7.51,266,1614,787.5,2,180,41.5,0.06,11.71,4.08,12,286,105,15,600,235
2947,"JAWAI AT JAWAI DAM, SIROHI",RAJASTHAN,20,28,23.92,4.46,8.37,6.04,7.79,8.84,8.28,380,530,468.33,0.63,2.57,1.41,0.22,0.62,0.43,4,7,4.5,9,23,16.17
1717,"KODRA DAM, MOUNT ABU",RAJASTHAN,12,22,19.42,4.51,7.53,5.95,6.85,7.73,7.29,140,370,234.17,0.35,2.74,1.5,0.14,0.58,0.36,4,4,4,9,20,12
2948,"BANDI AT HEMAWAS DAM, PAL",RAJASTHAN,21,26,23.43,5,8.28,6.39,7.83,8.31,8.04,200,1150,527.14,0.64,2.03,1.19,0.16,0.58,0.35,4,9,4.71,7,75,21.14
2949,"RIVER LUNI AT RANAKPUR DAM, RANAKPUR, PALI",RAJASTHAN,19,27,23.58,4.03,8.28,5.85,7.24,8.37,7.91,160,2500,795.83,0.49,2.49,1.47,0.3,0.74,0.48,3,7,4,4,28,14
3305,"BANJAR AT MALANJKHAND NR W/S INTAKE POINT, JABALPUR",MADHYA PRADESH,21,24,22.63,6.8,7.8,7.26,7.19,7.6,7.38,353,430,387.5,1.6,3.6,2.05,0.16,1.64,0.58,NA,NA,NA,17,120,46.13
