STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
1342,ACHENKOIL AT THUMPAMON,KERALA,23,29,25.6,6.4,7.8,7.03,6.1,7.7,7.18,52,157,78.83,0.4,1.2,0.8,0.1,1.2,0.62,210,400,279.17,400,900,636.67
1443,ACHENKOIL AT CHENNITHULA,KERALA,25,29,26.35,4.7,7.4,6.59,6.2,7.7,7,50,105,66.84,0.6,2.4,1.12,0.09,0.9,0.53,170,400,275,400,900,670
3465,"ACHENKOIL AT KALLARAKADAVU, PATHANAMTHITTA",KERALA,23.8,28,25.99,5.1,7.6,6.64,6.4,7.7,7.29,47,80,59.22,0.6,0.8,0.71,0.4,0.8,0.57,110,600,281.11,170,1100,541.11
3466,"ACHENKOIL AT PANDALAM (NEAR AYYAPPA TEMPLE), PATHANAMTHITTA",KERALA,24,30,26.31,5.1,6.8,6.24,6.9,7.7,7.26,52,94,66.33,0.6,1,0.76,0.13,1.2,0.55,170,600,303.33,280,1300,608.89
2297,R ANCHARAKANDY AT MERUVAMBA,KERALA,24,33,26.25,6,8,7.08,6.3,7.6,6.97,47,117,67.2,0.3,1.8,0.97,0.02,1,0.34,17,300,169.7,80,900,538
2319,R ANCHARAKANDY AT MERUVAMBA,KERALA,24,31,26.15,5.3,8,7,6.3,7,6.65,45,26650,5340.6,0.3,2,1.05,0.05,1,0.37,8,350,157.8,20,1700,528
2286,R AYROOR AT AYROOR BRIDGE,KERALA,27,30,28.81,5.4,7.7,6.71,6.9,7.7,7.33,52,115,89,0.8,1.8,1.09,0.07,1.2,0.35,900,2200,1162.5,1600,3500,2025
2331,R BHARATHAPUZHA AT KUTTIPPURAM,KERALA,26,29.5,28.05,5.2,7.4,6.24,6.5,8.4,7.28,79,200,135.6,0.2,1.8,0.99,0.03,1.5,0.46,2,900,296.2,40,1700,676
2332,R BHARATHAPUZHA AT PATTAMBI,KERALA,24,30.5,27.65,6.7,7.8,7.12,7.5,9,8.1,141,281,212.1,0.2,1.6,0.93,0.1,0.8,0.56,2,1600,524.2,20,2400,992
1154,CHALAKUDY AT PULICKALKA-DAVU,KERALA,26.5,32,28.52,4.5,7.5,6.33,0.6,7.5,6.32,45,294,133.75,0.6,2.2,1.18,0,1.2,0.67,2,800,224.33,50,2400,780
20,CHALIYAR AT KOOLIMADU,KERALA,24,28,25.92,6.8,7.7,7.26,6.5,8,7.22,48,112,75.92,0.2,1.6,0.64,0.01,1,0.31,110,2100,467.5,220,2800,893.33
