STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
1391,"HUSSAIN SAGAR LAKE, BUDAMERU",ANDHRA PRADESH,26,31,28.82,0,18.4,3.43,6.8,8.12,7.51,851,1871,1439.36,17,110,62,0,33.5,11.72,350,900,741.67,540,1600,1377.5
1447,DHARMASAGAR TANK NEAR WARANGAL,ANDHRA PRADESH,23,33,27,5.3,8.4,7.23,7.14,8.2,7.69,258,338,307.09,0,21,7.05,0,0.8,0.39,80,300,233.33,500,900,566.67
1464,BIBINAGAR TANK,ANDHRA PRADESH,26,30,28.18,4.9,6.5,6.06,7.18,8.88,8.01,408,3390,1404.55,1.6,8,4.04,1,17,5.27,20,46,34.4,175,225,197
1780,"GANDIGUDEM ,MEDAK",ANDHRA PRADESH,27,30,28.41,4.3,6.2,5.17,6.7,8.02,7.39,1953,7420,4119.73,4,32,14.27,5,18,8.09,15,66,39.55,225,395,315
1783,"KISTAREDDYPET TANK , MEDAK",ANDHRA PRADESH,28,29,28.61,3.5,5.6,4.51,7.02,8.49,7.84,1648,22540,8321.22,6,90,27.9,6,49,19.56,20,175,53.89,120,460,261
1788,"SAROONAGAR , RANGA REDDY",ANDHRA PRADESH,24,30,27.4,1.1,5.1,2.25,7.13,8.24,7.65,1111,1965,1553.2,25,82,56.25,0,45.8,14.14,170,350,244,736,1640,1382.29
1789,"HIMAYAT SAGAR LAKE , R.R.",ANDHRA PRADESH,23,35,27.67,3.2,6.5,5.14,7.51,8.7,8.06,281,493,422.44,1.2,22,8.44,0,3.58,0.93,170,350,292.5,5,900,561
1790,"PULICATE LAKE ,  NELLORE",ANDHRA PRADESH,23,31,28.82,3.1,6.3,5,7.08,8.36,7.59,24800,68000,48005.5,0.5,1.8,1.03,0.17,0.9,0.62,2,6,4.36,400,2100,1409.09
2340,"LAXMINARAYANA CHEVURU AT EDULABAD,RANGAREDDY",ANDHRA PRADESH,24,29,27.18,0,7.1,2.68,6.1,8.7,7.73,1127,1805,1485.36,18,120,47.56,0,26.4,7.21,300,900,666.67,220,1600,1402.86
2341,"MIRALAM LAKE NEAR ZOO PARK, RANGAREDDY",ANDHRA PRADESH,21,37,28.64,0,13.6,4.95,7.1,8.27,7.66,993,2036,1487.18,13,69,31.13,0,19.8,4.99,170,1600,1061.67,715,1600,1485.63
