STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
2205,MER BEEL AT MADHABPUR,ASSAM,18,29,23,4,9.6,6.38,6.2,7,6.5,83,105,92,3.6,5.6,4.9,0.1,0.4,0.2,0,0,0,360,1500,822.5
2206,DALONI BEEL NEAR JOGIGHOPA,ASSAM,19,29,24.5,5.8,6.4,6.18,6.5,8.2,7.33,71,295,148.25,3.6,6.8,4.85,0.14,0.5,0.25,0,360,90,300,2100,1102.5
1263,ELANGABEEL SYSTEM POND (CONNECTED TO R. KOLANG),ASSAM,28,38,31.75,0,5.2,2.25,8.5,12,10.08,1016,4510,2122.5,14.6,25,19.65,0.11,1.65,0.63,0,0,0,0,910,227.5
2207,BOR BEEL AT JAKAI.,ASSAM,17,28,22.25,5.5,7.7,6.33,6.4,6.6,6.53,84,125,104.5,3.5,4.8,4.18,0.1,0.45,0.2,0,360,90,360,910,675
2208,"BORPUKHURI, NAZIRA",ASSAM,18,28,24,5.5,6.7,6.2,6.7,7.4,6.98,22,40,32.75,1.2,5.6,3,0.1,0.29,0.15,0,0,0,300,1100,530
2209,"GAURISAGAR TANK, GAURISAGAR",ASSAM,19,27,24,5.6,7.4,6.5,6.3,7.2,6.88,20,21,20.25,1.8,4.8,3.48,0.1,0.18,0.12,0,0,0,360,910,587.5
2210,"RAJMAW PUKHURI, JORHAT",ASSAM,18,29,24.75,4.7,7.6,5.88,6.7,7.4,7.08,68,88,78,1.2,6.8,3.6,0.1,0.1,0.1,0,300,150,700,1100,952.5
2211,"PADUMPUKHURI, TEZPUR",ASSAM,18,27,23.75,8.9,10,9.63,7.2,8.5,7.8,215,332,283.25,2.6,14.6,8.03,0.21,0.8,0.37,0,300,75,0,730,540
2212,"GOPHUR TANK, GOPHUR",ASSAM,20,26,24.25,8,8.6,8.35,6.7,7.2,6.93,94,146,114,2.2,9,4.83,0.14,1.5,0.53,0,0,0,300,1100,600
2213,"JAIPAL PUKHURI, SIPAJHAR",ASSAM,17,29,23.75,7.8,8.6,8.35,6.3,7.4,6.8,20,27,25.25,4,8,6.48,0.1,0.21,0.14,0,0,0,300,1500,720
2214,"BOTODRIVA SATRA POND, NAGAON",ASSAM,22,30,26.67,6.9,7.8,7.43,6.4,7.2,6.83,20,33,27.33,3,3.8,3.33,0.1,0.21,0.14,0,0,0,360,910,666.67
