STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
2557,"KAWAR LAKE, BEGUSARAI",BIHAR,16,21,19,4.2,8.6,6.2,7.6,8,7.8,455,465,459.33,2.8,3,2.87,NA,NA,NA,1700,3000,2133.33,3000,5000,3666.67
2571,MOTI JHEEL AT MOTIHARII,BIHAR,13,33,23.1,7,8.6,7.95,7.41,7.89,7.66,365,656,468.8,2.5,3,2.82,NA,NA,NA,1300,9000,2850,3000,24000,6750
2573,TIGHI TALAB AT GAYA,BIHAR,14.6,30,24.86,6.8,8.2,7.53,6.62,7.86,7.57,83,805,459.5,2,3,2.6,NA,NA,NA,2400,9000,5320,5000,24000,16000
2574,SURAJ KUND AT GAYA,BIHAR,16,30,24.75,5.1,8.8,7.4,7.09,8.61,7.72,319,910,528.7,2,2.9,2.63,NA,NA,NA,1100,9000,3880,2400,24000,11640
2398,"DIMNA LAKE,DIMNA",JHARKHAND,19,32,26.69,7.5,8.4,7.85,6.8,7.6,7.3,166,197,173.25,0.4,1.6,0.7,0,8.62,5.67,NA,NA,NA,NA,NA,NA
2437,CHILKA LAKE (RAMSAR SITE),ORISSA,23,35,29.17,5.4,8.9,7.46,7.2,8.4,7.98,3279,49470,28683.3,0.6,2.8,1.58,0.24,3.76,1.24,78,2400,842.33,230,9200,1964.17
2438,ANSHUPA,ORISSA,21,33,28,6.4,11.2,8.14,7.3,8.4,8,107,223,162.36,1,2.8,1.63,0.19,3.67,1.05,170,7900,2451.82,390,17000,5432.73
2431,BINDUSAGAR ( RELIGIOUS POND OF BHUBANESWAR CITY),ORISSA,22,37,30,5.9,15.4,11.59,6.7,9.2,7.73,404,539,459.5,4.3,35,12.35,0.53,6.36,2.54,2300,35000,12608.3,5800,92000,23208.3
2432,NARENDRA POKHARI ( RILIGIOUS POND OF PURI CITY),ORISSA,24,33,28.25,3.9,16.7,11.43,8,9.5,8.54,872,1218,998,4.1,12,7.03,0.09,9.97,4.19,450,17000,5020.83,930,54000,11344.2
2433,MARKANDA POKHARI ( RILIGIOUS POND OF PURI CITY),ORISSA,23,32,28,7.3,18.9,12.63,7.5,9.2,8.23,588,838,750.08,2,13,6.32,0.3,10.43,6.23,1100,35000,9750,2200,92000,24975
2434,INDRADYUMNA TANK ( RILIGIOUS POND OF PURI CITY),ORISSA,20,38,27.67,4.3,16.3,8.78,7.4,8.7,8.28,596,924,706.17,2.2,8,5.03,0.27,7.11,1.93,200,35000,10416.7,400,92000,19550
2435,SWETAGANGA ( RILIGIOUS POND OF PURI CITY),ORISSA,23,32,27.5,6.5,22.9,14.39,7.7,9.6,8.68,1066,1879,1254.25,2.3,31.5,11.5,1.48,15.67,9.19,450,24000,6754.17,1300,54000,16500
