STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
2046,SUKHNA LAKE,CHANDIGARH,15,27,23.25,3.5,11.3,6.64,6.89,8.6,7.71,187,430,250.25,1,4,2.5,0,0.95,0.25,NA,NA,NA,NA,NA,NA
3030,SANJAY LAKE,DELHI,NA,NA,NA,NA,NA,NA,8.3,9.4,8.85,1911,2830,2370.5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
3031,BHALSWA LAKE,DELHI,NA,NA,NA,NA,NA,NA,8.8,8.8,8.8,9890,9890,9890,13,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
3476,LAKE NEAR IIT FLYOVER,DELHI,NA,NA,NA,NA,NA,NA,7.7,7.7,7.7,861,861,861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3033,SOHNA LAKE,HARYANA/CPCB,NA,NA,NA,NA,NA,NA,8.4,8.4,8.4,155,155,155,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
1291,GOBINDSAGAR LAKE AT BILASPUR,HIMACHAL PRADESH,9,21,15.38,7.4,10.8,9.03,8.04,8.41,8.24,132,259,194.46,0.2,0.5,0.33,0.23,0.96,0.59,46,170,96.85,240,920,502.31
1292,PONGDAM LAKE AT PONG VILLAGE,HIMACHAL PRADESH,15.2,28,20.71,6,9.5,7.38,8.15,8.89,8.56,153,2150,353.92,0.3,1,0.71,0.08,1.67,0.43,NA,NA,NA,NA,NA,NA
1429,"RENUKA LAKE , 35 KM FROM PATNA SAHIB NORTH",HIMACHAL PRADESH,12,28,21.19,4.8,8,6.25,6.66,8.14,7.61,201,637,424.54,1.4,2.8,1.92,0.07,185,14.6,13,20,16.85,24,187,40.62
2649,RIWALSAR LAKE,HIMACHAL PRADESH,9,26,18.19,1,4.1,1.81,7.1,8.55,7.77,1.2,406,220.09,1.6,305,26.07,0.78,3.6,1.37,1600,2400,2338.46,2400,2400,2400
2650,KHAZIAR LAKE,HIMACHAL PRADESH,4,23,16.44,5.5,14,9.41,6.28,7.15,6.77,39.4,363,86.88,0.7,52,8.88,0.31,2.04,0.83,NA,NA,NA,NA,NA,NA
