STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
1549,SALAULIM LAKE AT SALAULIM - SANGUEM,GOA,29,35,31.42,6.4,7.81,7.43,5.9,7.85,6.69,36.24,73.4,50.18,0.2,2.62,0.91,0,2.2,0.26,11,7000,2470.33,1.8,35000,7372.36
2269,"MAYEM LAKE, BICHOLIM",GOA,27,33,30,6.1,8.95,6.93,5.52,8.44,6.44,1.2,64.6,44.76,1,31.8,4.23,0.02,0.98,0.16,180,1100,701.43,125,7900,2971.11
3176,RUMDER LAKE,GOA,29,32,30,3.7,6.1,5.25,6.14,6.68,6.51,72.9,115.2,90.13,1.2,3.4,2.27,0.01,0.53,0.26,180,4600,2143.33,4600,17000,7616.67
3178,RAIA LAKE,GOA,29,34,30.67,3.6,6.5,5.08,5.97,7.07,6.59,69.2,85.7,74.22,1.5,2.4,1.93,0,0.31,0.09,200,2100,1026.67,1.8,3300,1091.97
3179,SAIPEM LAKE,GOA,26,31,29.17,1.2,4.9,2.85,6.28,7.2,6.83,128.5,383,298.25,3.6,9,6.82,0.02,1.23,0.3,2300,9400,6033.33,2400,24000,13966.7
3180,CURTORIM LAKE,GOA,28,33,30.67,2.5,6.4,4.08,6.07,7.38,6.64,47.2,151.3,106.9,1.7,16,7.93,0.02,0.25,0.11,180,6300,2088,1100,14000,4733.33
1345,"AJWAH LAKE AT SRI SAYAJI SABVAR,BARODA",GUJARAT,26,26,26,7.3,7.3,7.3,8.6,8.6,8.6,279,279,279,1.3,1.3,1.3,0.06,0.06,0.06,4,4,4,11,11,11
1346,SURSAGAR LAKE AT BARODA,GUJARAT,26,26,26,2.6,2.6,2.6,7.42,7.42,7.42,2330,2330,2330,1.5,1.5,1.5,0.19,0.19,0.19,26,26,26,60,60,60
1972,"NALSAROVAR LAKE (SANAND), DIST.AHMEDABAD",GUJARAT,27,31,28.75,6,8.8,7.73,7.6,9.7,8.85,1200,9010,4065,2,35,14,0,0.25,0.15,9,15,13,64,75,69.5
1977,CITY LAKE OF NADIAD,GUJARAT,26,30,27.75,6,35,13.58,8.3,9.2,8.63,1142,2110,1614.75,0.4,14,6.35,0,0.36,0.13,2,26,8,29,40,36
2076,ANKLESHWAR RESERVOIR AT GIDC ANKLESHWAR AT VALIA ROAD.,GUJARAT,21,29,27.33,5.55,12.4,8.74,7.91,8.61,8.2,240,471,327.17,0.72,5,2.12,0.18,0.77,0.37,2,260,35.92,2,2800,311.58
1373,UPPER LAKE AT BHOPAL (INTAKE POINT),MADHYA PRADESH,20,30,25.75,5.3,8.8,6.88,7.1,8.4,7.8,229,448,281.33,0.6,2.9,1.94,0.1,2.1,0.85,0,6,3.33,11,140,61
2137,UPPER LAKE AT YATCH CLUB,MADHYA PRADESH,23,32,26.86,5.1,18.1,8.21,7.5,8.9,8.02,236,648,331.11,1.8,4.4,2.94,0.1,2.3,1.13,0,7,4.83,11,900,183.78
2138,UPPER LAKE AT KARBALA CLUB,MADHYA PRADESH,21,29,24.88,5,14,7.46,7.1,8.3,7.79,232,472,299.2,0.9,7.3,2.99,0.3,17.7,2.82,0,8,4.33,11,220,68.8
