STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
2651,"AMBA AT D/S OF WAKEN BRIDGE-U/S OF JS PETROCHEMICALS, WAKENPHATA, ROHA",MAHARASHTRA,25,32,28.5,5.2,7.5,6.88,7.1,8,7.68,66.6,176,99.1,2,5,3.25,0.2,1.35,0.56,5,130,53.08,25,250,122.92
1461,BHATSA AT D/S OF PISE DAM NEAR PISE VILLAGE (ULHAS),MAHARASHTRA,29,31,29.67,5.4,7.5,6.61,7.5,8.3,7.92,72,284,123.19,2.2,6,3.22,0.1,1.76,0.52,8,175,44.44,20,350,103.89
2653,"BHATSA AT D/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR,THANE",MAHARASHTRA,25,30,26.67,5,7.5,6.57,6.8,8.2,7.67,71.5,853.1,220.42,2.2,6.6,3.58,0.12,1.39,0.65,5,46,25.08,25,110,77.08
2654,"BHATSA AT U/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",MAHARASHTRA,25,30,26.92,5.8,7.5,6.79,6.8,8.2,7.68,68.52,861,218.73,2.2,5.8,3.4,0.03,1.4,0.63,5,35,23.25,25,130,75.42
1092,KALU AT ATALE VILLAGE,MAHARASHTRA,25,30,27.17,3,7.5,4.84,6.8,7.8,7.19,99,18280,5428.68,2.2,28,8.39,0.25,5.8,2.08,14,900,177.33,45,1600,408.33
2670,"KAN RIVER, NEAR SAKRI WATER WORKS, SAKRI, DHULE.",MAHARASHTRA,19,26.5,22.57,4.9,7.4,6.36,7.39,8.81,7.95,249.3,876,493.44,3,8,4.21,0,15.81,3.91,9,26,17,22,140,68.17
1152,KUNDALIKA AT ROHA CITY,MAHARASHTRA,25,30,28.92,6.3,7.6,6.84,7.1,8.3,7.56,69.49,165,100.12,2,4.6,2.97,0.2,0.7,0.54,14,250,124.42,40,550,294.58
2198,KUNDALIKA RIVER AT ARE KHURD ( SALINE ZONE ),MAHARASHTRA,25,30,28.92,4.6,7.4,6.68,7,7.8,7.47,67,2197,316.4,2,22,4.55,0.19,1.4,0.6,35,70,46.67,80,170,131.67
2671,"KUNDALIKA RIVER NEAR SALAV BRIDGE (SALINA ZONE), SALAV, ROHA, RAIGAD",MAHARASHTRA,25,30,28.25,3.9,7,5.76,7.4,8.1,7.87,426,61680,37226.7,2.2,29,9.47,0.18,4.63,1.42,17,550,231.42,50,900,451.25
2672,"KUNDALIKA AT DHATAV AT JACKWELL (DRINKING WATER  PUMPING STATION-SWEET ZONE), ROHA",MAHARASHTRA,25,30,28.82,5.8,7.7,6.9,7.3,8.3,7.66,60.6,139,84.21,2,4.5,3.06,0.03,0.81,0.42,5,110,69.45,45,350,168.18
