STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
2869,"BARAK RIVER AT SENAPATI DISTT., MANIPUR",MANIPUR,27,30,28.25,5,10.53,8.51,7,8,7.53,95.1,324,166.23,0.7,5.67,2.71,NA,NA,NA,NA,NA,NA,20,40,31.25
2838,"BARAK RIVER NEAR NONEY VILLAGE (N.H. 53), TAMENGLONG",MANIPUR,29,29,29,8.2,10.1,8.87,6.6,7.3,6.97,120,130,125,1,3.62,1.87,NA,NA,NA,NA,NA,NA,40,56,45.33
2868,"CHAKPI RIVER AT CHAKPIKARONG, CHANDEL",MANIPUR,28,33,30.2,6.4,10.1,8,7.3,8.3,7.82,99.3,218,144.26,1.6,2.4,2.13,NA,NA,NA,NA,NA,NA,15,80,51
1424,IMPHAL AT MAHABALI,MANIPUR,27,31,29.5,4.86,9.13,7.55,7.4,8.3,7.7,33,151,86.95,0.38,2.83,1.17,NA,NA,NA,NA,NA,NA,30,80,53.75
1457,IMPHAL AT KOIRENGEI,MANIPUR,25,30,28.4,6.6,9.5,8.52,7.4,8,7.62,51.5,142,84.04,0.42,3.63,1.97,NA,NA,NA,NA,NA,NA,5,32,16.4
1627,IMPHAL AT KYAMGEI,MANIPUR,29,31,29.4,6.6,9.7,8.42,7.4,7.8,7.54,61.9,152,103.36,0.44,3,1.91,NA,NA,NA,NA,NA,NA,35,105,74.6
1628,IMPHAL AT MINUTHONG (IMPHAL RIVER),MANIPUR,29,30,29.6,6.8,10.14,8.75,6.7,7.5,7.24,71.8,174.2,116.72,1.3,4.04,3.19,NA,NA,NA,NA,NA,NA,35,75,52
2861,"IMPHAL AT KANGLA MOAT, IMPHAL WEST",MANIPUR,28,31,29.4,5.6,7.5,6.48,7.1,8.8,7.66,156,350,287,6.4,12.3,8.16,NA,NA,NA,NA,NA,NA,50,155,114
2862,"IMPHAL RIVER AT SAMUROU, IMPHAL WEST",MANIPUR,27,30,28,7.7,9.3,8.6,7,7.9,7.54,76.2,184,130.04,0.4,9.12,4.63,NA,NA,NA,NA,NA,NA,10,50,39
2864,"IMPHAL AT SEKMAI, IMPHAL EAST",MANIPUR,24,30,28.4,8,10.1,8.92,7,8,7.46,64.4,188,108.54,0.28,2,1.16,NA,NA,NA,NA,NA,NA,15,45,33
