STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
3383,"BUGI RIVER AT MIBANPARA, SOUTH GARO HILLS",MEGHALAYA,18,29,24.79,6.8,9.6,7.65,7,7.9,7.17,72,125,94.67,0.8,2.4,1.83,1.4,3.2,2.67,14,29,21.83,35,79,49.75
3384,"BUGI AT DALU, SOUTH GARO HILLS",MEGHALAYA,18,29,24.58,7,9.2,7.56,7,7.7,7.24,50,125,91.92,1,10,2.52,1,3.6,2.41,9,33,19.64,20,75,44.5
3380,"DAMRING RIVER (KRISHNEI RIVER) AT RESUBELPARA, EAST GARO HILLS",MEGHALAYA,19,31,25.42,6.8,32,9.88,7.1,7.3,7.23,50,85,65.08,0.8,2,1.49,0.4,3.6,2.31,9,33,20.58,29,84,55.08
1632,GANOL RIVER TURA,MEGHALAYA,16,28,23.54,7,8.2,7.61,7,7.7,7.38,50,160,92.75,1.6,2.6,2.08,0.5,7.37,2.89,110,440,275.83,250,540,408.33
1428,"KYRHUKHLA NEAR SUTNGA KHLIERIAT,JAINTIA HILLS DT.",MEGHALAYA,16,27,22.33,3.5,7,5.51,2.3,3.4,2.91,154,1040,568.33,5.6,10.8,6.81,0.18,2.85,1.12,11,29,17.83,20,44,32.75
3369,"KYNSHI RIVER AT SOHIONG, WEST KHASI HILLS",MEGHALAYA,10,21,16.43,7,9,7.61,6.5,7.3,6.98,30,52,41.92,0.8,1.6,1.27,1.2,7.1,3.01,2,22,11.17,14,48,26.75
3370,"KYNSHI RIVER AT NANGKHNUM, WEST KHASI HILLS",MEGHALAYA,10,23,17.33,6.6,8.6,7.74,6.7,7.4,7.08,32,65,45.33,1,2,1.38,1.6,5.6,2.89,2,22,9.33,2,48,22.25
3371,"KYNSHI RIVER AT RANIKOR, WEST KHASI HILLS",MEGHALAYA,15,30,23.08,7.6,9.2,8.25,6.7,7.1,6.98,45,101,59.42,0.8,3.5,1.71,1.17,4.86,2.86,9,24,15.58,19,50,32.67
3375,LUKHA RIVER AT MYNDIHATI (TRIBUTARY OF LUNAR),MEGHALAYA,18,31,24.58,5.5,8.5,6.89,2.2,2.9,2.58,820,1450,1072.42,1.4,6,3.22,0.16,3.13,1.17,2,8,3.17,2,150,21.17
3376,LUKHA RIVER AT SUNAPUR (TRIBUTARY OF LUNAR),MEGHALAYA,18,29,24.63,7,8.4,7.71,4.8,7,6.28,127,400,249.83,1,3,2.11,0.47,9.6,3.88,79,360,179.75,24,600,326.33
3381,"MANDA RIVER (DUDHAI RIVER) AT JAMPA, EAST GARO HILLS",MEGHALAYA,18,29,25,7.2,20,8.78,6.2,7.7,7.25,28,54,37.17,1,2.2,1.45,0.4,2.4,1.62,9,24,15.33,20,55,34.92
3382,"MANDA RIVER (DUDHAI RIVER) AT WAGAISI, EAST GARO HILLS",MEGHALAYA,18,31,25.42,6.5,8,7.29,7.1,7.7,7.31,42,120,72.33,1.2,2.4,1.95,1,2.6,1.65,10,27,16.67,22,60,36.33
3377,"MYNTANG RIVER AT NARTIANG, JAYANTIA HILLS",MEGHALAYA,14,26,20.33,6.5,9.8,7.52,6.7,7.2,7.02,28,48,37.67,0.8,2.4,1.73,0.32,4.2,2.2,9,29,18,20,60,39.5
3378,"MYNTANG RIVER AT MYNSO, JAYANTIA HILLS",MEGHALAYA,14,29,21.67,6.6,10,7.77,6.8,7.5,7.13,32,58,43.92,0.8,2.2,1.64,0.31,3.8,2.62,7,24,14.75,19,53,32.75
