STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
1241,NARMADA AT MANDLA NEAR ROAD BDG,MADHYA PRADESH,19,29,23.91,6.8,7.7,7.38,7.2,7.6,7.42,255,441,349.09,1.1,7.8,2.35,0,1.1,0.53,4,4,4,7,210,61.91
44,NARMADA AT SETHANIGHAT,MADHYA PRADESH,21,32,25.75,5.3,11.2,7.86,7.3,8.6,7.97,170,2130,456.27,0.8,3.3,1.73,0.42,2.75,1.47,0,8,3.25,11,1600,236.82
1240,NARMADA AT NARSINGHPUR,MADHYA PRADESH,15,26,22,6.7,8.2,7.48,7.21,7.84,7.5,0.59,613,379.38,1.1,2.4,1.8,0.15,0.83,0.51,NA,NA,NA,11,460,127
1234,NARMADA AT HOSHANGABAD U S,MADHYA PRADESH,21,32,26.71,5.6,10.5,7.64,7.6,8.7,8.06,160,460,301,0.9,4.5,1.89,0.35,2.67,1.33,0,44,7.11,8,1600,229.82
2123,NARMADA AT KORIGHAT HOSHANGABAD,MADHYA PRADESH,21,32,25.88,5.9,10.7,7.45,6.2,8.6,7.76,149,840,332.58,0.8,4.2,1.74,0.1,2.36,1.19,0,6,2.67,8,1600,194.92
1235,NARMADA AT HOSHANGABAD D S,MADHYA PRADESH,21,27,24,5.8,13,8.02,7.8,8.7,8.14,150,410,293,0.8,4.2,1.91,0.37,2.86,1.43,0,7,3.83,11,1600,237.1
2106,RIVER NARMADA AT NEMAWAR,MADHYA PRADESH,19,28,23.58,2.2,7.9,7.04,7.3,8.2,7.73,160,680,366.92,0.9,2.2,1.44,0,2.68,0.8,NA,NA,NA,NA,NA,NA
45,NARMADA AT MANDLESHWAR,MADHYA PRADESH,22.5,22.5,22.5,8.2,8.2,8.2,7.7,7.7,7.7,284,284,284,1.6,1.6,1.6,1.15,1.15,1.15,1,1,1,110,110,110
1239,NARMADA AT BADWANI,MADHYA PRADESH,22.5,28,25.25,8.1,8.4,8.25,7.6,7.8,7.7,304,324,314,1.3,2,1.65,0.18,1.29,0.74,1,1,1,170,220,195
1430,NARMADA AT D S OMKARESHWAR,MADHYA PRADESH,22.5,23,22.75,7.8,8.1,7.95,7.4,7.9,7.65,247,330,288.5,0.9,1.5,1.2,0.44,2.26,1.35,1,1,1,120,220,170
1431,NARMADA AT MAHESHWAR,MADHYA PRADESH,22.5,27,25.17,7.6,8.2,7.8,7.7,8.1,7.83,284,364,311,1.1,1.6,1.37,0.19,0.76,0.47,1,1,1,150,210,176.67
2099,"NARMADA LALPUR, JABALPUR",MADHYA PRADESH,19,25,22.73,6.8,7.9,7.33,7.14,7.86,7.33,261,486,363.27,0.8,2.7,1.76,0.05,2.8,0.91,0,0,0,9,75,29.55
2112,"RIVER NARMADA NEAR MORTAKKA BRIDGE, BADWAH",MADHYA PRADESH,22,27.2,24.4,7.8,8.2,7.97,7.1,7.6,7.27,301,319,312,0.7,1.3,1.07,0.21,0.36,0.3,1,1,1,70,170,116.67
2113,"RIVER NARMADA NEAR PUNASA DAM, PUNASA",MADHYA PRADESH,23,28,25.5,7.6,8,7.8,7.5,7.8,7.65,308,346,327,1.1,1.1,1.1,0.43,0.74,0.59,1,1,1,120,140,130
3322,"NARMADA AT MANDLA, NEAR SHAMSHANGHAT, JABALPUR",MADHYA PRADESH,19,29,24.63,6.8,7.6,7.33,7.2,7.68,7.38,284,455,353.13,0.9,2,1.54,0,1.5,0.44,4,4,4,17,240,83.88
3323,"NARMADA AT LALPUR, NEAR WATER SUPPLY INTAKE POINT, JABALPUR",MADHYA PRADESH,23,28,25,6.8,7.8,7.48,7.16,7.78,7.41,310,412,344,1.6,2.8,2.18,0.16,0.82,0.47,NA,NA,NA,7,120,37
3324,"NARMADA AT PANCHWATIGHAT, BEFORE MIXING WITH BAWANGANGA , JABALPUR",MADHYA PRADESH,20,28,24.29,6.8,7.6,7.14,7.31,7.89,7.5,312,570,440,1.4,2.7,1.91,0,1.31,0.63,NA,NA,NA,17,120,60.14
3325,"NARMADA AT SARSWATIGHAT, AFTER MIXING WITH BAWANGANGA, JABALPUR",MADHYA PRADESH,20,28,24,6.6,7.8,7.21,7.17,7.93,7.53,324,592,436.38,1.6,7.9,2.91,0,1.34,0.64,NA,NA,NA,12,120,58.75
7,NARMADA AT GARUDESHWAR,GUJARAT,22,32,26.67,5.5,10.23,7.47,7.88,8.48,8.21,214,709,356.58,0.6,5,2.03,0.02,1.07,0.48,2,1300,169.33,8,1300,247.25
