STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
1255,"PENNAR B/C WITH CHITRAVATHI, TADPATRI, UNGANOORP.",ANDHRA PRADESH,26,26,26,6.2,6.4,6.27,8,8,8,480,580,533.33,2.4,2.6,2.53,0.5,0.7,0.57,100,120,110,960,1100,1020
1256,"PENNAR AFTER CONF. WITH PAPAGNI,PUSPAGINI",ANDHRA PRADESH,26.2,33,28.95,5.6,6.62,6.41,7.8,8.3,8.02,300,480,378,2,2.6,2.27,0.2,1.6,0.85,110,210,162.33,960,1240,1072.22
1257,"PENNAR AFTER CONF. WITH CHEYYURU,SOMASILE",ANDHRA PRADESH,24,30,28.55,4.6,7.2,5.98,7.44,8.42,7.97,620,1431,947.91,0.4,0.7,0.54,0.16,0.86,0.48,2,7,5.36,1400,3300,2181.82
30,"PENNAR AT SIDDVATA, NELLORE",ANDHRA PRADESH,25,33,28.8,5.8,6.75,6.41,7.6,8.4,8.01,320,460,375,2,2.8,2.41,1.1,1.6,1.35,100,140,113.6,840,1200,986
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
