STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
1088,RAVI AT U/S MADHOPUR,HIMACHAL PRADESH,12,22,17.45,6,9.9,8.18,7.57,8.64,8.31,130,241,176.92,0.2,0.8,0.51,0.39,2.79,0.81,NA,NA,NA,NA,NA,NA
1089,RAVI AT U/S CHAMBA,HIMACHAL PRADESH,5.5,16,10.83,8.7,17,11.04,6.92,8.72,7.83,105,192,134.33,0.2,0.9,0.46,0.45,1.41,0.85,NA,NA,NA,NA,NA,NA
2614,RAVI AT CHAMERA RESERVOIR,HIMACHAL PRADESH,8,21,14.11,8.4,16,10.33,7.29,8.55,8.09,115,216,158.78,0.3,1.1,0.56,0.54,1.1,0.7,NA,NA,NA,NA,NA,NA
2615,RAVI AT AT D/S CHAMERA III HEP,HIMACHAL PRADESH,6.5,15,11.21,8,17,10.69,7.42,8.46,8.06,97,182,142.29,0.3,1.1,0.53,0.18,0.69,0.51,NA,NA,NA,NA,NA,NA
2613,RAVI AT D/S OF CHAMBA TOWN,HIMACHAL PRADESH,5.4,17,11.04,8.6,18,10.93,7.23,8.48,7.95,96,202,165.44,0.3,1,0.56,0.53,1.02,0.72,NA,NA,NA,NA,NA,NA
1097,"RAVI AT U/S OF MADHOPUR HEADWORKS, GURDASPUR",PUNJAB,10,25,17.5,7.4,8,7.78,6.8,7.5,7.2,185,262,207.5,0.2,0.3,0.23,1,1.6,1.3,30,30,30,50,70,55
1290,PARVATI BEFORE CONF. TO BEAS,HIMACHAL PRADESH,3,12,7.96,7.2,9.9,8.76,7.09,8.42,7.71,49,137,77.85,0.1,0.6,0.33,0.13,1.16,0.53,34,170,78.15,130,920,393.08
2605,PARVATI AT U/S MANIKARAN,HIMACHAL PRADESH,2,13,6.5,6.6,10.7,9.02,6.61,8.54,7.55,33,98,61.77,0.1,0.2,0.11,0.22,0.88,0.43,2,46,18.62,8,180,72.62
2606,PARVATI AT D/S MANIKARAN,HIMACHAL PRADESH,2,12,6.68,7.4,10.5,8.82,6.53,8.27,7.62,34,103,65.31,0.1,0.2,0.11,0.15,0.56,0.32,5,46,20.54,13,220,96.77
1090,LARGI AT D/S,HIMACHAL PRADESH,3.5,17,9.59,7.3,11,8.73,6.46,8.78,7.83,62,263,104.46,0.1,0.2,0.12,0.09,0.92,0.41,9,49,33.23,79,180,123.62
1551,SIRSA AT U/S SITOMAJRI NALLAHGARH,HIMACHAL PRADESH,19,28,22.7,2.5,10.1,8.18,7.49,8.31,7.84,250,855,430.31,0.4,4.5,1.51,0.03,6.67,2.24,12,288,50.38,22,368,83.63
1552,SIRSA AT D/S NALAGARH BRIDGE,HIMACHAL PRADESH,14,31,24.24,5.6,8.6,6.64,7.23,8.18,7.89,460,1357,786.69,0.7,7.5,2.72,0.06,7.93,3.75,14,142,53.88,20,250,88.38
1868,"SIRSA AT D/S NALAGARH, SOLAN",HIMACHAL PRADESH,15,29.3,24.44,3.87,11.7,6.58,7.45,8.21,7.9,477,1354,794.41,0.2,4,2.06,0,8.44,3.74,12,92,45.18,22,182,87.18
1869,"SWAN AT D/S NANGAL, UNA",HIMACHAL PRADESH,11,23,19.23,5.4,9.5,7.56,7.53,8.69,8.28,461,696,534.77,0.5,9,2.1,0.36,4.34,1.34,NA,NA,NA,NA,NA,NA
2616,SIUEL AT D/S SURGANI,HIMACHAL PRADESH,5.5,19,12.06,8.1,17,10.63,7.21,8.65,8.19,107,256,157.67,0.2,0.9,0.56,0.48,1.08,0.71,NA,NA,NA,NA,NA,NA
2607,SUKETI KHAD AT D/S MANDI,HIMACHAL PRADESH,10,27,19.08,6.7,11.7,8.48,7.74,8.68,8.26,182,451,276.46,0.1,1.2,0.62,0.4,1.31,0.91,350,2400,1161.54,1600,2400,2030.77
2608,BINWA AT D/S PAPROLA/ BAIJNATH,HIMACHAL PRADESH,8,22,15.42,6,9.6,7.72,7.53,8.31,7.92,72.5,731,174.25,0.3,4.1,0.85,0.19,1.14,0.7,NA,NA,NA,NA,NA,NA
2609,NEUGAL AT D/S THURAL,HIMACHAL PRADESH,9.2,27,18.25,6.3,9.5,7.81,7.54,8.56,8.11,75.1,179,124.55,0.2,1.2,0.68,0.51,1.47,0.8,NA,NA,NA,NA,NA,NA
2610,SPITI AT KHAB,HIMACHAL PRADESH,2.9,7.9,5.63,8.1,10.9,9.21,7.26,8.47,8.06,75,347,193.23,0.1,0.2,0.11,0.05,1.4,0.38,9,23,13.46,21,79,41.15
2612,BASPA AT U/S RESERVOIR BASPA PROJECT,HIMACHAL PRADESH,3.5,8.5,6.42,8.4,9.6,8.95,7.81,8.52,8.05,88,356,183.69,0.1,0.2,0.11,0.09,0.41,0.26,6,33,19.77,33,94,54.85
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
