STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
1867,"SATLUJ B/C WITH RIVER SPITI AT KHAB, DISTT.KINNAUR",HIMACHAL PRADESH,2.3,7.5,6,8.5,10.4,9.27,7.9,8.59,8.3,151,395,292.46,0.1,0.6,0.15,0.06,0.73,0.34,4,33,17.08,27,94,61.15
2611,SATLUJ AT KHAB,HIMACHAL PRADESH,2.4,7.2,5.96,8.7,10.6,9.28,7.93,8.62,8.28,156,431,270.54,0.1,0.2,0.11,0.14,0.93,0.42,12,34,20.54,33,94,59.31
1389,SATLUJ AT NEPTHA ZAKHAI,HIMACHAL PRADESH,6,10.5,7.76,8,9.8,8.79,7.59,8.44,8.2,73,352,224.92,0.1,0.3,0.19,0.12,0.93,0.41,21,49,33.38,79,220,138.62
1086,SATLUJ AT U/S RAMPUR,HIMACHAL PRADESH,6,12,8.43,8,9.6,8.85,7.64,8.59,8.25,102,349,236.54,0.1,0.2,0.11,0.21,0.7,0.35,23,170,48.85,94,1600,344.15
1087,SATLUJ AT D/S RAMPUR,HIMACHAL PRADESH,6,12,8.4,8,9.5,8.82,7.94,8.6,8.32,181,374,254,0.1,0.4,0.19,0.13,1.43,0.53,33,170,90.46,140,1600,437.69
1013,SATLUJ AT U/S TATAPANI,HIMACHAL PRADESH,7.5,13.5,9.28,8.4,9.5,8.91,7.73,8.42,8.2,163,374,291.69,0.1,1,0.39,0.1,2.28,0.65,26,94,51.31,130,350,202.31
1014,SATLUJ AT U/S SLAPPER,HIMACHAL PRADESH,6.5,22,13.27,7.8,11,9.59,7.64,8.54,8.2,108,292,221,0.1,0.4,0.15,0.3,1.44,0.58,27,130,59.46,130,350,243.85
1015,SATLUJ AT D/S SLAPPER,HIMACHAL PRADESH,6,19,12.08,7.9,11.5,9.88,8.05,8.49,8.25,165,283,197.46,0.1,0.2,0.12,0.31,1.13,0.62,26,140,49.69,110,350,196.92
1016,SATLUJ AT D/S BHAKHRA,HIMACHAL PRADESH,12,20,15.69,6.8,9.8,8.72,7.89,8.72,8.29,162,245,202.85,0.3,2.9,0.91,0.3,0.56,0.4,NA,NA,NA,NA,NA,NA
1017,"SATLUJ AT 100M U/S OF HEADWORKS, NANGAL",PUNJAB,17,23,19.33,7.6,8.4,7.88,7.1,7.5,7.25,228,256,239.75,0,1,0.66,1.3,1.8,1.53,33,50,43.25,50,500,337.5
