STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
1107,SEONATH AT U/S RAJNANDGAON,CHHATTISGARH,19,33,26.75,6.9,8,7.35,7.29,7.7,7.47,321,331,326.71,1.3,2.2,1.63,0.28,0.6,0.41,NA,NA,NA,120,2400,794.55
1845,RIVER SHEONATH AT DURG,CHHATTISGARH,20,30,25.6,6.7,7.6,7.12,7.4,7.6,7.46,316,331,325,1,1.8,1.4,0.28,0.39,0.33,NA,NA,NA,120,2400,720
1266,SEONATH AT SHIMGA A/C WITH R. KHAROON,CHHATTISGARH,23,33,28.4,7.4,8.1,7.72,7.25,7.64,7.47,110,515,286.4,2.6,3.9,3,1.5,92,21.32,NA,NA,NA,33,240,122.6
3166,"SHEONATH AT JHINGHRI VILLAGE, A/C OF SAMODA NALLA",CHHATTISGARH,23,33,27.36,6.6,8,7.32,7.3,7.6,7.44,327,334,330.67,1.8,2.5,2.14,0.41,0.64,0.51,NA,NA,NA,150,2400,883
3167,"SHEONATH AT RAJNANDGAON, D/S AT MOHAD, RAJNANDGAON",CHHATTISGARH,24,33,27.45,6.5,8.1,7.2,7.3,7.6,7.47,323,335,330.33,1.4,2.3,1.76,0.34,1.2,0.49,NA,NA,NA,150,2400,877
1265,KHAROON AT RAIPUR U/S,CHHATTISGARH,21,30,26.94,7.4,8.7,8.08,7.5,7.85,7.64,190,470,303,1,3.4,1.9,0.7,5.3,2.4,NA,NA,NA,21,350,111
1847,"KHAROON B/C KHAPRI DRAIN, DURG, RAIPUR ROAD BRIDGE",CHHATTISGARH,20,31,25.6,6.8,7.9,7.2,7.2,7.5,7.38,325,332,327.33,1.6,1.8,1.7,0.23,0.52,0.36,NA,NA,NA,120,2400,720
1846,KHAROON A/C KHAPRI DRAIN,CHHATTISGARH,20,30,25.4,6.7,7.7,7.04,7.3,7.6,7.42,325,338,330.33,1.6,2,1.83,0.4,0.59,0.46,NA,NA,NA,150,2400,750
1853,"KHAROON RIVER BUNDRI, RAIPUR",CHHATTISGARH,24,36,30,7.2,7.9,7.54,7.46,7.9,7.67,231,497,307.6,1.4,3.4,2,1.1,5.4,2.64,NA,NA,NA,22,300,96.2
1105,HASDEO AT U/S KORBA,CHHATTISGARH,25,27.5,26.48,3.8,7.2,6.23,7.18,7.31,7.23,NA,NA,NA,0.8,2.4,1.38,0.96,1.8,1.21,NA,NA,NA,40,90,60.83
