STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
1261,SUBANSIRI AT GEREKAMUKH (B/C WITH BRAH.),ASSAM,18,22,20.75,8.9,9.5,9.3,6.2,7.1,6.75,46,98,69.5,0.5,1.5,0.93,0,0.25,0.12,0,0,0,0,720,345
2061,KHARSANG B/C/ WITH BURIDIHING NEAR KHARSANG (ASSAM-ARUNANCHAL BORDER),ASSAM,16,25,20.5,4.2,8,6.2,6.4,7.4,6.85,111,228,178.5,1.3,3.1,2.23,0.17,0.6,0.29,0,0,0,0,730,332.5
1422,BURHIDIHING AT MARGHERITA,ASSAM,19,26,22.25,5.6,7.2,6.63,6.7,7.7,7.18,114,262,185.5,1.7,3.6,2.58,0.12,0.23,0.16,0,0,0,300,910,575
2062,"BURIDIHING NEAR DULIAJAN AT D/S, TINSUKIA",ASSAM,20,27,22.75,5.4,6.7,6.3,6.9,7.7,7.18,89,263,166.75,1.2,5.5,3.7,0.1,0.16,0.12,0,700,175,730,1500,967.5
2230,BURHIDIHING AT DULIAJAN (INTAKE POINT OF OIL INDIA LTD.),ASSAM,20,27,22.75,6.1,6.9,6.53,6.7,7.7,7.15,88,263,168.25,0.5,4.2,2.55,0.1,0.15,0.12,0,0,0,0,2100,690
2065,"PAGLDIA NEAR NALBARI TOWN, DIST. NALBARI",ASSAM,22,30,27.5,5.5,8.6,7.75,7,7.8,7.53,190,245,221.5,1.2,3.6,2.03,0.1,0.11,0.1,0,300,75,300,910,575
1530,"DIGBOI RIVER AT LAKHIPATHE, RESERVE FOREST, DIGBOI",ASSAM,18,27,22.25,6.4,9.8,7.58,6.6,7.1,6.85,94,331,223.75,1.5,6.5,3.68,0.17,0.22,0.2,0,0,0,360,730,452.5
2063,"JAI BHARALI NR BISWANATH CHARALI, SONITPUR",ASSAM,19,25,23.25,8.2,9.1,8.78,6.7,7.3,6.98,52,94,68.25,0.9,2.1,1.35,0.1,0.28,0.18,0,0,0,0,730,447.5
2237,"KALONG RIVER AT U/S OF ANANDARAM DEKIAL PHUKAN BRIDGE, NAGAON",ASSAM,18,29,24,6.5,7.1,6.8,6.5,7.4,6.97,128,239,189.33,0.9,4.3,2.17,0.1,0.19,0.15,0,300,200,730,3500,1713.33
2059,KOLONG RIVER AT MARIGAON,ASSAM,22,35,28.25,6.4,7.5,6.9,6.5,8.6,7.28,66,116,87.75,1.2,2,1.63,0.1,0.2,0.14,0,730,272.5,300,1500,767.5
2060,"MANAS RIVER AT NH-31 CROSSING, BARPETA",ASSAM,17,29,24,6.4,6.8,6.53,7.1,8.2,7.63,156,449,285,0.9,2.7,2,0.16,0.3,0.24,0,0,0,0,910,377.5
2058,"DISANG RIVER AT DILLIGHAT, DIBRUGARH",ASSAM,17,28,22,3.9,7.8,6,6,7,6.3,87,193,124,1.1,2.7,2.03,0.1,0.52,0.21,0,300,75,300,2100,922.5
1298,DISANG AT GUNDAMGHAT,ASSAM,20,26,23.25,4.4,7.6,5.65,6.2,7.7,6.98,44,196,126.75,1.2,2.7,2.03,0.14,0.25,0.2,0,0,0,300,720,520
1258,JHANJI AT N.H. CROSSING JORHAT,ASSAM,19,28,24.25,5,6.8,5.9,7,7.4,7.18,50,164,107.75,1,2.3,1.75,0.1,0.14,0.12,0,360,180,360,2000,1147.5
1527,BHOGDOI RIVER AT JORHAT,ASSAM,18,29,24.5,4.8,5.9,5.38,6.9,7.5,7.18,54,199,119.5,0.9,3.3,1.9,0.1,0.21,0.15,0,720,445,910,1500,1227.5
1531,*MORA BHARALI  AT TEZPUR,ASSAM,19,26,23.5,6.6,7.3,6.98,6.7,7.5,7.05,99,236,138,1.4,3.2,1.98,0.15,0.52,0.28,0,0,0,700,2000,1037.5
1423,BORAK AT PANCHAGRAM,ASSAM,9,20,15.75,6.7,7.2,7,6.9,7,6.93,51,168,98.75,1.4,3,1.93,0.11,0.46,0.23,0,300,75,0,1500,647.5
1528,BHARALU RIVER AT GUWAHATI,ASSAM,20,27,24.5,0,0.5,0.13,6.8,7.2,7.08,568,799,698.25,15,50,37.25,0.25,2.36,0.83,910,1500,1205,2300,9300,4875
1529,DEEPAR BILL,ASSAM,22,29,25.75,2.2,7.9,5.93,6.7,7.2,7.05,134,211,171.5,2.2,4.4,3.35,0.1,0.21,0.16,0,360,165,300,1100,652.5
2068,"U/S OF KATHAKAL AT MATIJURI, HAILAKANDI",ASSAM,9.5,18,15.63,6.3,7.1,6.88,6.7,7.3,7.03,71,180,113.75,1.5,3.1,2.33,0.15,0.58,0.28,0,300,75,0,730,437.5
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
