STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
1641,SUBARNAREKHA AT RAJGHAT NEAR BIHAR BORDER,ORISSA,18,26,22.67,7.2,8.2,7.67,7.4,8.5,8.02,151,290,234.25,0.4,2.1,1.32,0.04,1.46,0.51,1100,54000,8100,1700,92000,15758.3
2399,SUBARNAREKHA AT CHANDIL DAM,JHARKHAND,19,34,26.3,7,8.6,7.85,7,7.8,7.4,150,202,166.55,0.3,0.9,0.55,0,6.8,4.72,NA,NA,NA,NA,NA,NA
48,SUBARNAREKHA AT CHANDIL BRIDGE,JHARKHAND,18.5,33.5,26.26,7.7,8.4,7.97,7.2,7.8,7.38,138,225,167.91,0.3,1.1,0.83,0,6.8,4.83,NA,NA,NA,NA,NA,NA
24,SUBARNAREKHA AT JAMSHEDPUR,JHARKHAND,19.5,32,27.47,6.6,8.2,7.45,7,7.8,7.3,162,264,179.82,1.4,2.9,2.31,0,9.36,7.13,NA,NA,NA,NA,NA,NA
49,"SUBARNAREKHA AT D/S JAMSHEDPUR,(TATA NAGAR)",JHARKHAND,19,32.5,27.76,6,7.8,7.02,7,8,7.52,150,252,177.83,2.2,3.2,2.77,0,8.72,5.77,NA,NA,NA,NA,NA,NA
2387,SUBAREKHA AT GHATISLA ROAD BRIDGE,JHARKHAND,20,34.5,26.87,7.2,8.4,7.95,6.9,8.5,7.48,148,231,168.92,0.3,1.4,0.69,0,8.62,4.75,NA,NA,NA,NA,NA,NA
23,"SUBARNAREKHA AT RANCHI, (TATISILWAI)",JHARKHAND,22.2,37.5,29.03,6.4,8.4,7.59,6,7.8,6.73,246.5,1211,505.7,2.4,4,3.1,NA,NA,NA,150,280,222.5,930,1500,1302.5
2385,SUBARNAREKHA AT NAMKUM ROAD BRIDGE,JHARKHAND,20,34,28.71,5.6,8.2,6.98,6,7.2,6.53,156.9,670,383.06,4,8,5.44,NA,NA,NA,150,250,222.5,930,1500,1277.5
2386,SUBARNAREKHA AT MURI ROAD BRIDGE,JHARKHAND,18,37,28.43,5.8,8.2,7.21,6,7,6.41,150.2,500,332.69,1.2,1.8,1.46,NA,NA,NA,200,250,229.17,1200,1500,1375
2395,SUBARNAREKHA AT HATIA DAM,JHARKHAND,19.2,32,26.53,6.6,8.4,7.24,6,7.2,6.45,82.9,134,103.23,0.8,1.9,1.2,NA,NA,NA,90,230,132.5,640,1200,810.83
2397,SUBARNAREKHA AT GATALSUD DAM,JHARKHAND,20.1,39,29.63,0.8,8.6,6.97,6,7.8,6.63,226.5,373,284.21,0.5,1.5,1.01,NA,NA,NA,90,230,169.17,640,1500,998.33
