STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
2724,"SUSWA RIVER AT MOTHRAWALA, DEHRADUN",UTTARANCHAL,17,31.6,24.27,0.6,5.8,2.75,6.48,7.88,7.5,524,908,709.88,12,46,27.64,NA,NA,NA,NA,NA,NA,1500,1600,1590.91
2728,GOLA RIVER AT HALDWANI,UTTARANCHAL,8,17,14.75,7.6,8,7.75,7.14,7.98,7.56,180,270,233.33,1.2,2.2,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
2734,BHALLA RIVER U/S KASHIPUR,UTTARAKHAND,15,26,21.33,1,1.6,1.3,7,7.6,7.27,448,830,589.33,46,60,53.33,NA,NA,NA,NA,NA,NA,NA,NA,NA
2735,BHALLA RIVER AT LOHIA BRIDGE D/S KASHIPUR,UTTARAKHAND,15,26,21.33,0.8,1,0.93,6.8,7.8,7.27,236,1490,795.33,8.5,74,48.17,NA,NA,NA,NA,NA,NA,NA,NA,NA
2732,DHELA RIVER U/S AT KASHIPUR MORADABAD ROAD BRIDGE,UTTARAKHAND,15,26,21.67,0.8,1.2,1,6.8,7.5,7.03,340,480,403.33,42,58,52.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2733,DHELA RIVER D/S AT THAKURDWARA ALIGANJ ROAD,UTTARAKHAND,15,26,21.67,0.4,1,0.67,6.6,7.6,6.97,340,430,383.33,60,62,60.67,NA,NA,NA,NA,NA,NA,NA,NA,NA
2731,KOSI RIVER AT KASHIPUR BAJPUR ROAD BRIDGE,UTTARAKHAND,15,25,21,6.8,7.2,7.03,7.2,7.9,7.43,310,385,345,2.2,2.4,2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA
1064,"RAMGANGA AT KANNAUJ (BEFORE CONF.),U.P",UTTAR PRADESH,16,31,24.75,4.5,12.3,7.73,7.33,9,8.07,30.19,785.6,175.05,4.8,6.8,5.66,0,4.42,1.42,900,21000,4700,2800,75000,21436.4
2497,"KALI EAST AT KHARKHODA-PARIKSHIT GARH ROAD, VILL. KOL, MEERUT",UTTAR PRADESH,11,37,22.83,NA,NA,NA,7.3,7.9,7.57,1470,1942,1724.33,74,94,82.17,8.1,9.8,9.03,300000,300000,258750,400000,400000,354583
1480,KALINADI AT U/S OF GULAOTHI TOWN IN BULANDSAHAR,UTTAR PRADESH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100000,100000,110000,100000,2000000,1170000
1065,KALINADI AT KANNAUJ (B/C),UTTAR PRADESH,16,31,24.79,5.2,8.9,7.19,7.2,8.64,7.91,24.86,826.2,172.25,4.2,9.4,6.38,0.84,4.64,2.31,700,43000,5536.36,2300,200000,26800
2482,"VARUNA AT RAMESHWAR, VARANASI",UTTAR PRADESH,18.5,29.5,25.6,7.1,8,7.53,7.95,8.5,8.28,224,294,253.67,3,3.8,3.45,NA,NA,NA,4900,17000,10816.7,8000,200000,27300
2483,VARUNA B/C WITH RIVER GANGA AT VARANASI,UTTAR PRADESH,19,29.5,25.47,1.2,5.8,4.8,7.75,8.92,8.52,252,1147,360.92,11.2,16.9,14.93,0,0.32,0.05,63000,200000,85666.7,94000,2000000,315667
1361,SAI AT UNNAO AFTER DRAIN OUTFALL,UTTAR PRADESH,14,30,24.75,5.2,12.2,7.91,7.13,8.72,7.99,270,790.4,450.28,2.2,3.5,2.82,1.1,2.9,2.2,790,70000,7134.17,170,5400,3580.83
2484,"SAI AT JALALPUR, JAUNPUR",UTTAR PRADESH,12.2,29.5,24.38,7.3,8.2,7.68,7.5,8.56,8.19,224,268,244.67,3.2,3.7,3.41,NA,NA,NA,5000,54000,13250,8000,92000,20416.7
1350,GOMTI AT SITAPUR U/S AT WATER INTAKE,UTTAR PRADESH,17,33,26.2,5.9,10.8,7.88,7.37,8.25,7.89,201,540.1,391.94,2,2.9,2.56,0.1,2.7,1.66,490,1700,971.67,1300,2800,1991.67
1351,GOMTI AT LUCKNOW U/S AT WATER INTAKE POINT,UTTAR PRADESH,18.2,33,28.18,4.4,10.2,7.25,7.44,9.09,7.94,275.3,556.5,427.39,2.4,3.7,3.17,1.4,4.2,2.57,790,3100,1965.83,3200,4800,3775
1352,GOMTI AT LUCKNOW D/S,UTTAR PRADESH,18.2,33,27.28,1.2,4.3,2.67,7.21,7.85,7.53,317.2,686.8,516.64,7.5,11,8.99,3.6,6.1,4.33,49000,700000,121083,79000,100000,105417
1353,GOMTI AT JAUNPUR D/S,UTTAR PRADESH,19.5,29,25.34,7,8.1,7.51,8.12,8.7,8.42,232,298,260.83,3.2,3.8,3.48,NA,NA,NA,11000,17000,13083.3,11000,21000,16416.7
1072,GOMTI AT VARANASI,UTTAR PRADESH,19,28.5,24.98,7.2,9,7.79,8.1,8.28,8.2,228,584,285.08,3,9.6,3.93,NA,NA,NA,8000,100000,20916.7,13000,2000000,211083
2491,"RAPTI AT RAJGHAT, GORAKHPUR",UTTAR PRADESH,14,30,22.83,7.2,7.8,7.48,8.02,8.16,8.1,368,524,421.27,2.9,3.8,3.29,0.26,0.65,0.39,140,300,201.67,280,580,398.67
1363,"RAPTI A/C OF R. HONIN NR. DOMIN- GARH RLY BDG, GORAKHPUR, U.P.",UTTAR PRADESH,14,29,22.33,7.3,7.9,7.63,8.04,8.2,8.13,338,498,388.17,2.6,3,2.85,0.21,0.44,0.27,40,140,101.67,100,360,251.67
1354,SARYU AT AYODHYA AT MAIN BATHING GHAT,UTTAR PRADESH,15,23,19,7.62,9.6,8.98,7.56,7.76,7.64,132,282,197.08,2.1,2.9,2.56,0.6,0.76,0.68,3300,4300,3825,6100,7100,6583.33
1355,GHAGHARA AT DEORIA D/S,UTTAR PRADESH,15,30,23.33,7.4,7.9,7.65,8.1,8.18,8.14,376,574,457.64,2.6,3.4,2.93,0.25,0.76,0.34,70,200,137.5,240,480,338.33
2492,"GHAGHRA AT BARHALGANJ, GORAKHPUR",UTTAR PRADESH,13,30,22.83,7.4,7.9,7.63,7.84,8.2,8.12,338,548,475.82,2.7,3.6,3.09,0.28,0.75,0.39,120,240,173.33,260,540,378.33
1076,GHAGHARA NEAR CHAPRA,BIHAR,15,28,22.75,7.6,8.8,8.22,7.34,8.74,7.82,235,562,319.75,2.2,2.8,2.54,NA,NA,NA,500,1300,825,1700,2800,2000
1359,RIHAND AT RENUKUT U/S,UTTAR PRADESH,20,29,24.44,6.4,8.9,7.15,7.24,8.07,7.76,162,306,225.25,0.9,2.2,1.47,0.5,0.91,0.73,900,1400,1091.67,1400,2600,1916.67
1360,RIHAND AT RENUKUT D/S,UTTAR PRADESH,20.2,29,24.52,6.6,9.3,7.43,7.32,8.09,7.83,153,276,195.42,1.1,2.3,1.58,0.28,0.99,0.67,1100,1400,1208.33,1700,2400,2108.33
1075,SONE AT KOELWAR,BIHAR,16,31,23.83,7.4,9,8.04,7.14,8.52,7.86,205,365,250.67,2,2.6,2.33,NA,NA,NA,500,900,683.33,1100,2200,1475
3121,SONE RIVER NEAR BANZARI,BIHAR,15,33.5,24.15,7.4,8.2,7.82,7.32,8.2,7.86,232,634,314.9,2,2.7,2.3,NA,NA,NA,500,1700,920,1100,3000,1980
3127,SONE RIVER AT BAHIYARA,BIHAR,12,30.5,23.46,7.6,8.69,8.01,7.6,8.6,8.04,225,353,260.92,1.9,2.7,2.38,NA,NA,NA,500,1100,616.67,800,2200,1300
3128,SONE RIVER AT NASIRIGANJ DAM,BIHAR,20,34.5,25.43,7,8.8,7.87,7.2,8.2,7.84,236,685,303.2,2,2.8,2.3,NA,NA,NA,500,1700,930,1300,3500,1990
1078,"GANDAK AT SONEPUR, PATNA (BEFORE CONFL.)",BIHAR,14,28,22.15,7.8,8.8,8.37,7.26,8.6,7.93,215,360,277.5,2,2.6,2.43,NA,NA,NA,500,800,600,1100,3000,1600
2568,"GANDAK AT REWAGHAT, MUJAFFARPUR",BIHAR,13,29,22.92,7.9,9.2,8.38,7.5,8.63,7.93,232,320,254.17,1.9,2.6,2.38,NA,NA,NA,500,1400,675,1100,2800,1475
2570,GANDAK ATSAMASTIPUR RD BDG,BIHAR,17,32,23.9,7.8,9.2,8.44,7.15,8.01,7.63,263,515,334.7,2.2,2.7,2.43,NA,NA,NA,700,1100,920,1700,2800,2370
3124,GANDAK RIVER U/S ROAD BRIDGE MUZAFFARPUR (NH),BIHAR,16,31,24.3,7.8,9.2,8.38,7.15,8.21,7.73,268,393,321.7,2.2,2.7,2.45,NA,NA,NA,500,1100,780,1400,2800,1990
3125,GANDAK RIVER GOPALGANJ - PIPRAKOTHI ROAD BRIDGE (DUMARIA GHAT),BIHAR,14,28,22.83,7.8,9.4,8.39,7.5,8.34,7.89,232,318,264.83,2,2.8,2.38,NA,NA,NA,500,2200,950,1100,5000,1941.67
2575,"SIKRAHNA AT LAL PARSE, BITTIAH",BIHAR,10,29,20.89,7.6,8.6,8.03,7.5,7.87,7.79,264,368,298.56,2,3,2.62,NA,NA,NA,800,2400,1244.44,2200,5000,2822.22
1820,SIKRANA AT CHANPATIYA,BIHAR,10,32,21.9,7,8.5,7.82,7.58,8.25,7.83,268,386,329.8,2.4,2.8,2.59,NA,NA,NA,800,3000,1400,2200,5000,2940
3134,SIKRAHNA RIVER AT LAURIA - HARINAGAR ROAD BRIDGE,BIHAR,12,33,22.8,6,9.6,7.49,7,7.91,7.57,246,536,310.1,2.4,2.9,2.65,NA,NA,NA,500,2200,1080,1300,3000,2340
2562,"BURHI GANDAK AT AKHARAGHAT, MUZAFFARPUR",BIHAR,16.5,31,24.35,7.5,9.2,8.26,7.14,8.48,7.83,279,411,335.3,2.4,2.8,2.66,NA,NA,NA,800,1700,1100,2200,5000,3080
2558,HARBORA AT NARKATIAGANJ,BIHAR,11.5,33,22.35,4,6.8,5.8,7,8.11,7.53,342,430,397.6,2.5,3.4,2.93,NA,NA,NA,1100,9000,3690,3000,24000,11300
3126,U/S HARBORA RIVER,BIHAR,11.5,33,21.45,7,8.5,7.78,7.34,8.22,7.8,256,350,301.4,2,2.9,2.54,NA,NA,NA,500,1700,840,900,3000,1720
2567,KAMALA RIVER AT BENIPATTI (MADHUBANI),BIHAR,18,31,22.75,7.1,8.6,8.06,7.34,8.14,7.91,236,396,270,2.4,2.8,2.59,NA,NA,NA,500,2400,962.5,1300,5000,2112.5
2569,KAMALA RIVER AT DARBHANGA,BIHAR,17,33,23.44,7,8.2,7.77,7.06,8.27,7.78,238,309,261.44,2.2,2.8,2.53,NA,NA,NA,500,1300,877.78,1300,3000,2300
3133,KAMALA RIVER AT JAYNAGAR,BIHAR,15,29,22.5,7.8,9.2,8.52,7.16,8.27,7.92,256,345,291.5,2,2.6,2.35,NA,NA,NA,500,900,640,1100,2400,1540
2563,"MANUSMAR AT RIGA, SITAMARHI",BIHAR,12,31,22.66,4.8,7.2,6.59,7.45,8.06,7.73,284,410,351.4,2.7,3,2.81,NA,NA,NA,800,5000,2160,1300,16000,5730
