STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
1313,TAPI AT AJNAND VILLAGE,MAHARASHTRA,30,43,36.55,3.7,6.5,5.73,7.15,8.78,7.57,158.5,1000,564.16,3,18,5.55,0,38.8,9.33,11,26,17.82,33,80,53.27
1251,TAPI AT BHUSAWAL US,MAHARASHTRA,30,43,35.45,4.4,6.5,5.82,7.02,8.6,7.54,196.7,936,492.06,3.5,9,4.91,0,37.75,8.2,11,30,20.36,26,90,59.64
1314,TAPI AT UPHAD VILLAGE,MAHARASHTRA,20.5,28,23.3,3.3,6.7,5.56,7.11,8.81,7.61,163.3,1150,444.68,3,10,5.3,0.1,38,7.12,11,50,22.2,26,140,63.6
9,TAPI AT NEPANAGAR,MADHYA PRADESH,20,29,25.33,7.3,7.7,7.47,7.6,8.3,7.93,462,540,493,0.8,1.2,1.03,0.5,0.69,0.58,1,1,1,70,1600,630
10,TAPI AT BURHANPUR,MADHYA PRADESH,22,28.5,26.17,6.8,7.7,7.13,7.6,8.3,7.9,694,735,719,1.5,3.8,2.97,0.1,2.05,1.35,1,3,1.67,280,1600,770
1250,TAPI AT HATHNUR,MADHYA PRADESH,21,29,25,7.2,7.2,7.2,7.5,7.8,7.65,570,744,657,1,1.8,1.4,0.66,1.23,0.95,1,3,2,150,350,250
2115,RIVER TAPTI AT NEPA NAGAR 100 METRE D/S  AFTER MIXING PANDHAR NALLA,MADHYA PRADESH,20,25,22.5,6.8,7.1,6.95,7.5,8.3,7.9,554,560,557,1.8,2.1,1.95,0.63,0.89,0.76,1,1,1,150,430,290
1253,GIRNA AT MALEGAON (MANMAD),MAHARASHTRA,27,27,27,4.8,4.8,4.8,7.54,7.66,7.6,191.5,290.8,241.15,5,7,6,4.04,5.66,4.85,17,17,17,60,70,65
1252,GIRNA AT JALGAON,MAHARASHTRA,28,43.1,34.15,3.9,6.8,5.84,6.56,8.76,7.46,153.9,5900,979.84,2,6,4.15,0,38.75,8.01,11,50,18.9,30,140,55.3
1907,RANGAVALI D/S OF NAVAPUR,MAHARASHTRA,21,26,23.11,4.6,6.4,5.78,7.24,8.84,7.81,246,876,585.07,3,12,5.05,0,16.3,4.86,11,27,18.56,33,110,55.22
2127,"DENWA NEAR SARNI, RD BDG",MADHYA PRADESH,23,30,25.5,3.7,9.8,7.74,7.7,8.3,8.05,243,835,470.83,0.8,18,3.68,0.15,3.65,1.43,0,9,3,11,1600,491.91
2155,"PURNA RIVER A/C OF MORNA, NANDURA VILLAGE",MAHARASHTRA,20,22,21,3,7,5,8,9,8,1,1215,704,4,26,11,0,5,2,80,500,230,240,900,504
2652,"AMRAVATI RIVER D/S OF DONDAICHA, DHULE",MAHARASHTRA,19,27,22.5,4,6.5,5.24,7.31,8.68,7.82,199.5,1578,511.8,3.5,14,5.81,0.1,23.25,5.8,13,33,20.13,34,140,63
2658,"BORI D/S OF AMALNER, JALGAON",MAHARASHTRA,31,41,34.88,6.2,6.5,6.38,7.15,8.81,7.78,678,890,811,3,4.2,3.55,0,15.9,4.57,17,26,20.75,50,70,60
2659,"BURAI RIVER BEFORE CONFLUECE TO TAPI RIVER, MUKUDAS, DHULE",MAHARASHTRA,19.5,24,21.6,2.4,6.9,5.45,7.1,8.18,7.58,183,357.1,259.17,3,9,4.92,1.2,6.2,4.01,11,22,17.6,40,90,60
2666,"GOMAI RIVER, D/S. OF SHAHADA, DHULE.",MAHARASHTRA,18,28,22.42,2.9,6.9,5.04,7.16,8.14,7.68,88.9,455.7,255.61,3,10,5.71,2.39,9.88,5.11,11,21,16.83,22,90,58.67
2667,"HIWARA RIVER, D/S OF PACHORA., JALGAON",MAHARASHTRA,31,37.4,33.47,5.8,6.2,6.03,7.15,8.03,7.66,756,860,816,3.5,4,3.83,0,2.25,0.78,11,22,15.67,23,70,44.33
2674,"MOR RIVER, NEAR PADALSHE VILLAGE, JALGAON.",MAHARASHTRA,31.2,37.4,33.53,6.3,6.5,6.4,7.18,8.81,8.02,700,853,801,3,4,3.5,0,0.24,0.11,11,22,16.67,30,70,44.33
2675,MORNA RIVER AT D/S OF RAILWAY BRIDGE AT AKOLA.,MAHARASHTRA,22,22,22,1.34,5.24,3.84,7.7,8.63,8.21,602,1196,855.8,6.2,34,17.56,2.88,11.2,6.76,140,300,222,280,900,600
2684,"PANZARA RIVER, NEAR PANZARAKAN SSK LTD., DHULE.",MAHARASHTRA,19,26.5,22.43,4.8,6.9,5.79,7.33,8.83,7.9,257.8,859,537.17,3,6,4.43,0.1,11.22,4.98,22,50,30.33,60,170,105
2695,"PEDHI RIVER NEAR ROAD BRIDGE AT DADHI-PEDHI VILLAGE, BHATKULI, AMRAVATI",MAHARASHTRA,21,24,22.08,3.4,5.8,4.52,7.31,9.23,8.34,452,2302,1387.17,6.2,14,9.42,3.57,8.2,5.55,80,300,171.67,240,900,379.17
