STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
1947,TEESTA AT SILIGURI,WEST BENGAL,12,24,18.08,6.5,9.7,7.81,7.21,7.89,7.51,61,156,91.21,0.4,3.6,2.26,0,0.37,0.2,200,33000,10408.3,1200,200000,47041.7
2229,"KUNDLI RIVER AT KUNDLI/ SAPAKHOWA, SADIA.",ASSAM,14,23,20.25,6,8,6.7,6.9,7.2,7.03,87,192,126.25,0.7,4.7,1.93,0.13,0.23,0.19,0,0,0,0,300,150
2231,DIKHOW RIVER AT DIKHOW BRIDGE SIVASAGAR,ASSAM,19,27,23,5.1,6.7,5.75,6.8,7.5,7.1,69,246,165.75,1.2,1.8,1.5,0.1,0.26,0.17,0,300,75,300,1500,705
2232,"KOHORA RIVER AT N.H. CROSSING, KOHORA",ASSAM,24,36,31.75,5.8,9.2,6.9,6.5,7.2,6.93,24,201,83.5,0.4,3.8,1.4,0.1,0.1,0.1,0,300,75,360,930,725
2233,"BOGINADI NEAR BRIDGE NH-52, LAKHIMPUR",ASSAM,19,24,22,8.2,8.6,8.38,6.5,8.3,7.13,63,101,76.25,0.9,2.4,1.63,0.1,0.25,0.16,0,0,0,0,730,257.5
2234,RANGA NADI D/S OF HYDEL PROJECT,ASSAM,19,24,22.5,8.1,8.5,8.25,6.5,7,6.8,61,131,92.5,1.3,2.4,1.73,0.11,0.38,0.25,0,0,0,300,960,587.5
2236,"KAPILI RIVER AT DHARMTUL BRIDGE, NH-31, NAGAON",ASSAM,19,30,25.67,5.9,7.6,6.7,6.5,7.1,6.83,20,117,72.67,0.7,3.9,2.67,0.1,0.14,0.12,0,0,0,300,1100,586.67
2238,BEKI RIVER AT NH-37 CROSSING AT BARPETA ROAD,ASSAM,17,28,23,6.6,6.8,6.7,6.8,7.8,7.35,102,171,130.5,1,1.9,1.55,0.18,0.3,0.23,0,300,75,0,1100,630
2239,"SANKOSH RIVER, DHUBRI",ASSAM,19,30,26.25,6.5,6.9,6.68,7,7.7,7.28,43,89,71.75,1,3.2,2.23,0.17,0.26,0.22,0,0,0,300,730,407.5
2240,BARAK RIVER AT D/S OF SILCHAR,ASSAM,9.5,19,14.38,4.9,7.3,6.5,6.8,7.3,7,52,148,82.75,0.7,4.5,2.9,0.13,0.39,0.22,0,360,90,360,1100,915
2241,SONAI RIVER AT SONAI,ASSAM,9.3,19,14.58,6.3,7,6.55,6.7,7.7,7.13,29,138,86.75,1.3,2.5,1.85,0.1,0.45,0.23,0,360,90,700,910,760
2242,KUSHIARA RIVER AT KARIMGANJ,ASSAM,9,18,15.5,6.3,7.1,6.8,7,7.7,7.23,55,170,95.75,1,1.8,1.25,0.12,0.56,0.26,0,0,0,300,720,520
2523,"KAROLA, D/S OF JALPAIGURI, NEAR MIN BHAWAN",WEST BENGAL,15,33,26,5.8,9.7,7.47,7.17,8.27,7.53,45,110,84.04,1.2,3.6,2.31,0,1.07,0.24,900,90000,19246.7,1400,200000,55453.3
2524,"KALJANI D/S OF ALIPURDWAR, MUNICIPALITY DISCHARGE POINT",WEST BENGAL,20,30,26.58,5.8,8.3,7.27,6.94,8.32,7.59,27.3,168,131.83,0.2,5.35,2.69,0,1.04,0.28,1200,50000,10808.3,1400,100000,29700
2235,"PANCHNAI RIVER AT NH-52 CROSSING, ORANG",ASSAM,16,25,21.25,8.3,8.6,8.43,7,7.4,7.23,80,133,102.5,0.8,2.8,1.73,0.1,0.15,0.13,0,0,0,0,360,165
3095,"GANGA RIVER AT CHANDRAPUR, ITANAGAR",ARUNACHAL PRADESH,32.2,32.2,32.2,NA,NA,NA,6.85,6.85,6.85,54.2,54.2,54.2,2,2,2,0.24,0.24,0.24,NA,NA,NA,NA,NA,NA
3096,DIKRONG RIVER AT NIRJULI,ARUNACHAL PRADESH,14.4,14.4,14.4,NA,NA,NA,6.75,6.75,6.75,53.4,53.4,53.4,0.9,0.9,0.9,0.12,0.12,0.12,NA,NA,NA,NA,NA,NA
3098,"SIANG RIVER AT RANAGHAT, NEAR RCC BRIDGE, PASIGHAT",ARUNACHAL PRADESH,6.6,6.6,6.6,8.9,8.9,8.9,7.2,7.2,7.2,145,145,145,NA,NA,NA,0.35,0.35,0.35,NA,NA,NA,NA,NA,NA
3101,"KAMENG RIVER AT TIPPI, BHALUKPONG",ARUNACHAL PRADESH,3.2,3.2,3.2,9.2,9.2,9.2,7.3,7.3,7.3,29.5,29.5,29.5,1,1,1,0.14,0.14,0.14,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
