STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
1510,"TONS RIVER, H.P",HIMACHAL PRADESH,8,16,12.13,8.4,9.7,9.11,6.77,7.89,7.33,37.5,167.6,69.89,0.2,0.7,0.34,0,6.28,0.91,26,64,43.33,1,138,28.14
2620,ASHWANI AT U/S YASHWANT NAGAR,HIMACHAL PRADESH,14.5,29,20.72,7.8,9.7,8.93,7.68,8.93,8.47,153.2,444,322.47,0.4,1,0.66,0,3.44,1.93,4,46,14.11,8,128,39
2626,BATTA AT U/S PAONTA,HIMACHAL PRADESH,14,25,20.27,6,9,7.71,6.6,8.14,7.59,183,490,294.08,0.8,1.8,1.28,0.11,1.07,0.34,3,13,7.5,9,24,16.85
2627,BATTA B/C TO YAMUNA,HIMACHAL PRADESH,14,26,20.81,6,8.9,7.52,6.47,8.13,7.47,182,499,302.08,0.8,1.6,1.26,0.09,1.04,0.35,5,13,7.67,11,25,17.62
2621,GIRI AT D/S YASHWANT NAGAR,HIMACHAL PRADESH,14.7,28,20.3,7.1,10.3,9.05,7.68,8.6,7.98,153.2,274,204.27,0.3,0.8,0.54,0.42,2.95,1.19,2,28,10,7,98,25.44
2622,GIRI AT U/S CCI MINES,HIMACHAL PRADESH,12,26,19.27,6.3,9.4,7.52,0.02,8.02,6.92,190,630,423.31,0.8,1.8,1.25,0,0.72,0.35,3,10,6.17,10,20,14.77
2623,GIRI D/S SATAUN,HIMACHAL PRADESH,11,25,18.42,6.1,9.3,7.46,6.39,8.02,7.47,193,997,487.62,1,1.6,1.31,0.03,0.78,0.35,4,10,6.55,9,18,14.67
2617,PABBAR AT U/S DHAMBARI,HIMACHAL PRADESH,6,15,10.44,8.9,10.1,9.59,6.52,8.04,7.27,47.7,169.6,71,0.1,0.5,0.22,0,2.71,0.63,2,2,2,2,24,7.43
2618,PABBAR AT U/S ROHRU,HIMACHAL PRADESH,7,15,12.06,8.6,9.8,9.1,6.33,8.91,7.27,35.9,163.9,67.78,0.1,1,0.32,0.01,3.24,0.7,2,74,18.86,2,146,21.14
2619,PABBAR AT D/S SWARAKUDDU,HIMACHAL PRADESH,8,17,11.81,8.3,9.9,9.13,7.11,7.99,7.48,56.2,167,76.52,0.1,0.7,0.33,0,2.95,0.72,10,40,20.67,2,86,17.07
