STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
1185,GHATPRABHA AT D/S OF MUDHOL RD. CROSS BDG.,KARNATAKA,23,30.1,27.64,4.18,8.5,5.48,7.15,9.02,8.3,280,5100,1331.43,0.3,1,0.9,0,24.88,7.74,50,500,271.43,70,1600,767.14
1163,GHATPRABHA AT W.A. POINT TO GOKAK TOWN,KARNATAKA,21,30,25.1,4.2,8.8,6.57,7.16,8.9,8.3,320,920,470,0.5,4,1.87,0.44,9.42,5.05,23,900,430.3,140,1600,1064
1187,MALPRABHA AT D/S OF KHANAPUR VILLAGE,KARNATAKA,22,30,25.3,3.2,8.53,6.21,6.86,9.4,8.21,210,610,389,0.78,4.57,2.25,0,6.4,2.2,14,900,447.4,220,1600,1017
1164,"MALPRABHA AT WATER ABSTR. PT. TO HUBLI,DHARWAR",KARNATAKA,21,29,25.5,6.1,7.2,6.61,7.76,8.88,8.39,220,900,432,0.2,4,1.44,0,7.46,3.37,9,900,370.9,110,1600,829
1186,MALPRABHA AT D/S OF AIHOLE TOWN,KARNATAKA,24,29,26.7,4.32,5.78,4.83,7.82,9.77,8.62,550,1580,1028.57,1,2,1.59,0,21,5.64,130,900,450,170,1600,1001.43
2764,MALPRABHA AT BADAMI BRIDGE,KARNATAKA,24.8,29,27.09,4.27,6.74,4.95,7.82,9.21,8.5,420,1790,858.57,0.9,3,1.27,0,12.44,3.28,80,900,525.71,130,1600,1290
38,TUNGHABHADRA AT HONNALI BRIDGE,KARNATAKA,23,29,26.42,5.1,8.5,7.05,6.8,8.7,7.87,60,415,258.25,1,3,1.87,0,0.32,0.12,30,110,57.5,110,280,167.5
1029,TUNGHABHADRA AT HARALAHALLI BRIDGE,KARNATAKA,23,32,26.82,5.2,9.8,7.33,7.2,9,8.2,105,560,352.64,1,3,2.29,0.1,1.8,0.51,30,130,62.73,110,280,180
29,TUNGHABHADRA AT ULLANUR,KARNATAKA,26,33,28.75,6.4,7.3,6.93,7.3,8.5,8.11,280,280,280,1.5,2.8,2.01,0.3,1.4,0.71,90,9000,3032.5,220,16000,5701.67
2768,TUNGABHADRA AT D/S OF HPF,KARNATAKA,23,31,27.5,4.7,8.1,6.29,7.1,8.8,7.84,98,1100,568.42,3,9.3,5.81,0.2,0.8,0.44,50,170,101.67,240,350,316.67
