STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
2195,"NIRA RIVER AT D/S OF JUBILANT ORGANOSIS, PUNE.",MAHARASHTRA,24,29,27.67,3.8,5.54,4.75,7.65,8.22,8.03,166,974,351.34,4.8,11.4,8.21,0.2,0.32,0.25,275,350,306.25,1800,1800,1800
2682,"NIRA RIVER AT U/S OF JUBILANT ORGANOSIS, BARAMATI, PUNE.",MAHARASHTRA,22,30,27.42,4.4,5.9,5.34,7.69,8.22,8.06,156,634,256.02,4.2,8.5,6.29,0.18,0.28,0.23,225,275,245.83,1600,1600,1600
1463,NIRA AT SAROLE BDG.ON PUNE-BANGLORE HIGHWAY,MAHARASHTRA,22,29,26.25,4.8,6.1,5.51,7.52,8.24,7.95,90,605,247.85,3.5,9,6.13,0.13,0.28,0.21,120,250,171.67,900,1600,1366.67
2681,"NIRA RIVER AT SANGAVI, PHALTAN, SATARA",MAHARASHTRA,21,30,24.54,2.5,5.25,3.99,7.65,8.22,7.99,396,4540,1796.42,5.5,12,9.03,0.18,3.28,0.98,35,195,106.25,225,1600,933.33
2683,"NIRA RIVER AT SHINDEWADI, SHIRVAL, KHANDALA, SATARA",MAHARASHTRA,21,27,24.4,4.6,6.1,5.28,7.62,8.2,8.01,128,800,227.56,4.2,8.1,6.22,0.14,3.18,0.6,17,150,76.42,225,1600,735.42
2186,"VENNA RIVER AT VARYE, SATARA.",MAHARASHTRA,19.6,22.4,20.83,4,5.6,4.95,7.04,8.18,7.78,204,474,317.7,5.46,8.6,7.13,0.16,0.32,0.22,140,195,172.5,900,900,900
2716,"VENNA RIVER AT MAHABALESHWAR, SATARA",MAHARASHTRA,19.5,24.3,20.61,4.6,6,5.54,7.2,8.2,7.95,77,244,134.3,3.2,8.4,5.07,0.16,0.42,0.25,12,45,29.33,195,425,321.67
2717,"VENNA RIVER AT MAHULI, SATARA.",MAHARASHTRA,19.9,23,21.21,4.1,5.3,4.69,7.17,8.22,7.93,228,620,378.74,6,9,7.54,0.16,0.36,0.24,140,200,171.67,900,1600,1075
2189,KOYNA RIVER AT KARAD.,MAHARASHTRA,20,25.2,23.08,5.2,5.9,5.51,7.42,8.23,7.94,117,380,184.57,3.5,7.8,5.9,0.16,0.38,0.24,200,350,258.33,900,1800,1591.67
2194,MULA RIVER AT HARRISON BDG NEAR MULA- PAWANA SANGAM.,MAHARASHTRA,23,29,27,0.9,3.72,1.71,7.05,8.22,7.79,176,586,428.76,9,16.5,13.1,0.2,1.82,0.49,275,425,375,1800,1800,1800
