STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
1311,PANCHAGANGA AT ICHALKARANJI,MAHARASHTRA,24,32,27.25,3.9,7.83,6.29,6.86,8.19,7.46,111,1549,549.03,1.8,7,3.75,0.29,3.55,1.34,4,15,10,140,280,213.33
2163,PANCHAGANGA RIVER AT SHIROL NEAR SHIROL INTAKE WELL.,MAHARASHTRA,24,32,27.33,3.8,7.36,6.3,6.96,8.14,7.52,75,1768,654.23,1.8,7.6,3.58,0.36,3.8,1.6,4,15,9.33,130,280,196.67
1904,PANCHAGANGA U/S OF KOLHAPUR TOWN,MAHARASHTRA,23,31,25.92,4.5,7.15,6.47,6.89,8.38,7.52,75,1925,330.53,2.2,4.6,3.03,0.28,2.81,1.1,4,15,6.67,120,280,157.5
1905,PANCHAGANGA D/S OF KOLHAPUR TOWN,MAHARASHTRA,23,32,26.25,4.2,7.19,6.16,6.48,7.72,7.34,72,740,256.33,2.2,5.8,3.79,0.43,2.9,1.33,4,12,7.67,130,240,174.17
1189,BHIMA AT PUNE U/S VITHALWADI,MAHARASHTRA,25,29,27.58,1.2,5.3,2.4,7.24,8.19,7.88,269.1,504,374.09,8.4,15.4,10.84,0.18,0.82,0.37,225,2755,487.92,1600,1800,1750
2655,"BHIMA AT KOREGAON NEAR KOREGAON BDG, SHIRUR, PUNE",MAHARASHTRA,22,28,25.75,1.8,6,3.96,7.19,8.41,7.88,164,690,414.35,4.4,12.7,8.86,0.18,0.44,0.3,200,275,237.5,1600,1800,1633.33
2656,"BHIMA RIVER-BACKWATER OF UJANI DAM NEAR RAW WATER PUMP HOUSE, KUMBARGAON, INDAPUR, PUNE",MAHARASHTRA,25,30,27.75,4.2,5.62,5.01,7.44,8.24,7.95,200,1308,627.13,3.2,9.5,6.82,0.18,2.88,0.5,200,425,331.25,1600,1800,1733.33
1190,"BHIMA AT PUNE, D/S OF BUNDGARDEN",MAHARASHTRA,24,30,27.17,0.9,3.7,1.73,7.25,8.24,7.81,196,444,375.52,10.25,17,14.18,0.26,2.8,0.63,350,900,525,1800,1800,1800
1191,BHIMA AT PARGAON (A/CWITH MULE MARTHA),MAHARASHTRA,24,29,27.42,2.8,5.6,3.66,7.38,8.2,7.78,247,1624,630.57,7.4,11.2,9.6,0.2,0.38,0.31,225,275,250,1600,1800,1733.33
1192,BHIMA AFTER CONF. WITH DAUNT,MAHARASHTRA,24,30,27.33,2.6,5.9,4.27,7.54,8.24,7.9,190,1766,676.02,3.9,12.5,8.56,0.18,0.4,0.31,250,350,295.83,1800,1800,1800
1188,"BHIMA AT NARSINGHPUR,(D/S AF.CONFL.WITH R.NIRA)",MAHARASHTRA,28,37,33.5,4.3,6,5.45,7.73,8.23,7.97,370.4,1426,785.44,3.5,9.5,6.3,0.18,1.28,0.43,250,350,310.42,1800,1800,1800
28,BHIMA AT TAKLI,MAHARASHTRA,22,37,27,4.7,5.6,5.22,6.78,8.24,7.84,824,3730,1711.18,5.8,11,7.33,0.2,3.28,0.61,40,225,150.83,550,1600,1162.5
