STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
1893,YAGACHI RIVER NEAR PUMPING STATION. HASSAN CITY,KARNATAKA,23,29,26.5,6.8,7.4,7.08,8,8.6,8.21,220,290,255,1,1,1,0.07,0.2,0.16,350,920,587.5,1600,1600,1600
1199,HEMAVATI AT D/S OF HOLENARASIPURA TOWN AT RAMADEVALA WEIR,KARNATAKA,25,28,26.75,6.9,7.9,7.25,8,8.2,8.05,190,280,225,1,1,1,0.09,0.26,0.17,540,920,730,1600,1600,1600
1200,"SHIMSHA AT D/S OF HIGHWAY BRIDGE, YEDIYAR",KARNATAKA,25,39,31,7.8,10.5,8.78,7.5,8.6,7.93,495,657,549,2,5,3.33,0,5.55,2.57,90,130,110,90,280,170
1166,"SHIMSHA AT D/S OF BRIDGE, HALAGUR",KARNATAKA,25,28,26,5.2,6.8,5.9,7.4,8.8,8.08,445,682,584.25,2,4,2.75,0.56,0.9,0.71,940,1600,1435,1600,4300,2275
1165,ARKAVATHI AT D/S OF KANAKAPURA TOWN,KARNATAKA,25,29,27.75,4,9,6.68,6.85,7.37,7.14,1240,1435,1353.25,2,5,3.75,4.51,8.5,6.49,33,170,103.25,170,500,265
2778,ARKAVATHI AT T.G. HALLI RESERVOIR,KARNATAKA,24,26,24.92,1.2,6.8,4.14,6.8,8.5,7.87,834,3930,1299.42,2,8,3.92,0.68,12,3.39,2,4,2.8,2,900,170.64
1196,LAKSHMANTIRTHA  AT D/S OF HUNSUR TOWN,KARNATAKA,23,28,25.75,2.9,4.8,3.83,7.4,7.6,7.48,331,980,577.75,3,5,3.75,0.5,1.2,0.84,1600,2800,1900,1600,16000,5200
2772,LAKSHMANTIRTHA  AT D/S OF KATTEMALAVADI,KARNATAKA,26,28,26.75,3.4,6.7,4.88,7.4,8.1,7.7,346,750,544,2,4,2.75,0.51,1.05,0.81,1600,1700,1625,1600,9200,3500
1207,KABBANI AT MUTHANKARA,KERALA,23.5,29,26.18,6.2,7.4,6.84,6.7,7.5,7.17,38,122,69,0.27,0.9,0.55,0.17,0.93,0.51,12,300,111.1,26,500,185.6
1197,KABBANI AT SARAGUR VILL. D/S,KARNATAKA,24,28,26.25,6.8,7.5,7.1,7.1,8.3,7.8,88,182,128.5,1,1,1,0.09,0.16,0.14,920,1600,1430,1600,5400,2550
41,KABBANI AT CAUSE WAY  SATTUR,KARNATAKA,25,29,27.25,6,7.4,6.73,7.1,7.8,7.58,192,566,323,1,2,1.5,0.26,0.53,0.37,580,1600,1345,1600,3500,2075
1445,KABBANI AT WATER INTAKE OF KIADB AT NANJANGUD,KARNATAKA,26,29,27.75,6.6,7.9,7.45,7.7,8.2,7.93,184,440,288.75,1,1,1,0.22,0.5,0.35,390,1600,1297.5,1600,1800,1650
