STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
1492,YAMUNA AT YAMUNOTRI,UTTARANCHAL,3.2,3.2,3.2,8.6,8.6,8.6,7.2,7.2,7.2,52,52,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1493,YAMUNA AT HANUMANCHATTI,UTTARANCHAL,10.1,10.1,10.1,8.8,8.8,8.8,8.9,8.9,8.9,80,80,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1494,YAMUNA AT U/S OF LAKHWAR DAM,UTTARANCHAL,14.2,24.3,19.7,7.6,8.8,8.2,7.48,8.78,8.08,152,254,206.33,1,2.2,1.6,NA,NA,NA,92000,92000,92000,12,200000,80006
1490,YAMUNA AT U/S DAK PATTHAR,UTTARANCHAL,15.2,23.5,18.7,8,8.6,8.35,8,8.4,8.21,99,203,135,1.8,2.6,2.25,NA,NA,NA,11000,11000,11000,110,54000,10984
1553,"YAMUNA , U/S PAONTA SAHIB",HIMACHAL PRADESH,12,25,19.81,6.1,9,7.88,6.18,8.1,7.33,176,663,397.31,1,1.6,1.31,0,0.94,0.29,6,7800,688.79,16,23000,3142.31
1554,"YAMUNA , D/S PAONTA SAHIB",HIMACHAL PRADESH,12,27,21.04,6.2,9,7.71,6.46,8,7.55,177,947,337.62,0.8,1.6,1.22,0,1.03,0.35,8,16,11.69,18,28,22.23
1117,YAMUNA AT HATHNIKUND,HARYANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1100,18000,7175,2000,68000,25260
1496,"YAMUNA AT KALANAUR,  YAMUNA NAGAR",HARYANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1800,18000,8380,1800,55000,25950
1119,YAMUNA AT SONEPAT,HARYANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2300,18000,9325,11000,49000,27200
1120,YAMUNA AT WAZIRABAD,DELHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1100,1000000,165922,2200,4000000,418356
1121,YAMUNA AT NIZAMUDDIN,DELHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100000,20000000000,1900000000,300000,20000000000,1900000000
1375,YAMUNA AT OKHLA BRIDGE (INLET OF AGRA CANAL),DELHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100000,20000000000,1900000000,200000,20000000000,1900000000
1497,YAMUNA AT MAZAWALI,UTTAR PRADESH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17000,800000000,210000000,23000,800000000,190000000
2495,"YAMUNA AT KESIGHAT, VRINDAVAN",UTTAR PRADESH,17,35,25.58,2.1,5.2,3.81,7,7.4,7.27,NA,NA,NA,9,13.8,11.15,NA,NA,NA,21000,46000,32636.4,41000,84000,59909.1
1123,YAMUNA AT MATHURA U/S,DELHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,700000,226625,4000,3000000,808960
2494,"YAMUNA AT VISHRAMGHAT, MATHURA",UTTAR PRADESH,17,35,25.58,2,5.3,3.62,7.15,7.58,7.29,NA,NA,NA,9.8,14.6,12.06,NA,NA,NA,31000,77000,43363.6,46000,200000,97000
1124,YAMUNA AT MATHURA D/S,DELHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200000,1000000,500000,400000,8000000,2434000
1125,YAMUNA AT AGRA U/S,UTTAR PRADESH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7800,300000,197800,70000,5000000,2672000
1126,YAMUNA AT D/S OF AGRA,UTTAR PRADESH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,900000,475000,100000,2000000,1303333
2493,YAMUNA AT SHAHPUR,UTTAR PRADESH,17,35,25.17,1.8,5.8,4.26,7.05,7.86,7.38,NA,NA,NA,7.4,12.8,9.8,NA,NA,NA,17000,33000,25818.2,31000,54000,43363.6
1498,YAMUNA AT BATESWAR,"CPCB, DELHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000000,1000000,1100000,27000,9000000,3084667
1127,YAMUNA AT ETAWAH,"CPCB, DELHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100000,100000,110000
1499,"YAMUNA AT JUHIKA B/C WITH CHANBAL, ETAWAH","CPCB, DELHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100000,100000,130000,23000,2000000,582000
1069,YAMUNA AT ALLAHABAD D/S (BALUA GHAT),UTTAR PRADESH,21,30.5,24.98,6.3,8.2,7.23,7.64,8.31,8.01,268,1110,634,1.6,2.8,2.37,0.46,2.58,1.15,1300,1700,1533.33,2600,4000,3225
1812,YAMUNA AT OKHLA AFTER MEETING OF SHAHDARA DRAIN,DELHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70000,20000000000,1900000000,100000,20000000000,2000000000
2283,YAMUNA AT HAMIRPUR,UTTAR PRADESH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49000,49000,49000
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
