STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Mean,Safe?,lat,lng,Unsafe Parameters
2360.0,"GODAVARI AT BASARA, ADILABAD",ANDHRA PRADESH,28.68,6.26,7.73,516.55,1.82,Safe,18.8801751,77.9538767,['NONE']
2361.0,"GODAVARI  AT MANCHERIAL, NR RLY BDG B/C OF RALLAVAGU",ANDHRA PRADESH,28.5,6.74,8.31,527.88,6.96,Unsafe,,,['BOD']
2362.0,"GODAVARI AT RAMAGUNDAM D/S, NEAR FCI INTAKE WELL, KARIMNAGAR",ANDHRA PRADESH,28.25,7.04,8.31,552.0,7.1,Unsafe,,,['BOD']
2363.0,"GODAVARI AT GODAVARIKHANI, NR BATHING GHAT, KARIMNAGAR",ANDHRA PRADESH,28.38,6.74,8.16,657.5,7.44,Unsafe,,,['BOD']
2364.0,"GODAVARI AT RAMAGUNDAM U/S , KARIMNAGAR",ANDHRA PRADESH,28.38,6.94,8.35,526.13,9.74,Unsafe,,,['BOD']
2356.0,"GODAVARI D/S OF RAMANUGUNDAM,",ANDHRA PRADESH,28.14,4.57,8.14,582.71,6.36,Unsafe,17.44028,78.489628,"['DO', 'BOD']"
2365.0,"GODAVARI AT KAMALPUR U/S M/S AP RAYONS LTD. INTAKE WELL, WARANGAL",ANDHRA PRADESH,27.0,5.57,8.06,377.55,5.27,Unsafe,,,"['DO', 'BOD']"
2366.0,"GODAVARI AT KAMALPUR D/S AT M/S. AP RAYONS LTD. DISCHARGE POINT, WARANGAL",ANDHRA PRADESH,27.82,5.42,8.02,393.27,6.58,Unsafe,,,"['DO', 'BOD']"
13.0,GODAVARI AT MANCHERIAL,ANDHRA PRADESH,28.63,6.35,8.18,547.38,8.8,Unsafe,18.8755953,79.4591378,['BOD']
2367.0,"GODAVARI AT BHADRACHALAM U/S BATHING GHAT, KHAMMAM",ANDHRA PRADESH,19.73,6.61,7.71,301.05,0.57,Safe,,,['NONE']
2368.0,"GODAVARI AT BHADRACHALAM D/S BATHING GHAT, KHAMMAM",ANDHRA PRADESH,19.82,6.64,7.57,342.64,0.63,Safe,,,['NONE']
2369.0,"GODAVARI AT BURGAMPAHAD, KHAMMAM",ANDHRA PRADESH,19.91,5.59,7.18,561.91,2.04,Unsafe,17.6446434,80.8668369,"['DO', 'BOD']"
2370.0,GODAVARI AT RAJAMUNDRY U/S OF NALLA CHANNEL,ANDHRA PRADESH,25.64,5.95,7.43,291.27,1.05,Unsafe,,,['DO']
14.0,GODAVARI AT POLAVARAM,ANDHRA PRADESH,26.82,6.08,7.81,254.0,1.05,Safe,17.2478932,81.6432353,['NONE']
1218.0,GODAVARI AT RAJAHMUNDRY U/S,ANDHRA PRADESH,26.68,5.95,7.69,244.55,1.04,Unsafe,17.0075856,81.7637676,['DO']
2371.0,GODAVARI AT RAJAMUNDRY D/S OF NALLA CHANNEL,ANDHRA PRADESH,25.45,5.93,7.35,313.27,1.15,Unsafe,17.00711,81.7713153,['DO']
1219.0,GODAVARI AT RAJAHMUNDRY D/S,ANDHRA PRADESH,25.27,5.98,7.45,284.0,1.16,Unsafe,17.0075856,81.7637676,['DO']
