STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Mean,Safe?,lat,lng,Unsafe Parameters
1260.0,BRAHAMPUTRA AT KHERGHAT (A/C WITH DIBANG & DIHANG),ASSAM,22.08,7.57,7.28,130.67,1.67,Safe,,,['NONE']
1030.0,BRAHAMPUTRA AT DIBRUGARH,ASSAM,21.42,7.61,7.18,129.67,1.69,Safe,27.4728327,94.9119621,['NONE']
1262.0,BRAHAMPUTRA AT NIMATIGHAT,ASSAM,23.33,6.49,7.21,137.42,1.45,Safe,26.4821716,92.520091,['NONE']
1526.0,BRAHMPUTRA AT DHENUKHAPAHAR,ASSAM,22.55,8.45,7.24,151.64,1.79,Safe,,,['NONE']
1031.0,BRAHAMPUTRA AT PANDU,ASSAM,22.92,7.45,7.21,144.0,1.22,Safe,26.4821716,92.520091,['NONE']
1299.0,BRAHAMPUTRA AT JOGIJHOGA NEAR BRIDGE,ASSAM,25.25,6.5,7.49,149.17,1.35,Safe,,,['NONE']
2069.0,"BRAHMPUTRA NR WATER INTAKE POINT AT KACHARIGHAT, PANBAZAR, GUWAHATI",ASSAM,25.63,7.45,7.45,133.25,1.95,Safe,,,['NONE']
2064.0,"BRAHMAPUTRA AT CHANDRAPUR, GUWAHATI",ASSAM,26.0,6.9,7.43,159.75,0.88,Safe,26.1816978,91.8359905,['NONE']
2067.0,"BRAHMPUTRA AT SUALKUCHI, DIST. KAMRUP",ASSAM,26.25,7.75,7.05,151.75,0.75,Safe,26.1703301,91.570327,['NONE']
2066.0,BRAHMAPUTRA AT DHUBRI,ASSAM,27.25,6.78,7.45,125.0,1.63,Safe,26.0206982,89.9743463,['NONE']
1259.0,DHANSIRI AT GOLAGHAT,ASSAM,30.0,6.63,7.08,146.75,1.45,Safe,26.629372,93.7779642,['NONE']
2205.0,MER BEEL AT MADHABPUR,ASSAM,23.0,6.38,6.5,92.0,4.9,Unsafe,,,"['pH', 'BOD']"
2206.0,DALONI BEEL NEAR JOGIGHOPA,ASSAM,24.5,6.18,7.33,148.25,4.85,Unsafe,,,['BOD']
1263.0,ELANGABEEL SYSTEM POND (CONNECTED TO R. KOLANG),ASSAM,31.75,2.25,10.08,2122.5,19.65,Unsafe,,,"['pH', 'EC', 'DO', 'BOD']"
2207.0,BOR BEEL AT JAKAI.,ASSAM,22.25,6.33,6.53,104.5,4.18,Unsafe,,,['BOD']
2208.0,"BORPUKHURI, NAZIRA",ASSAM,24.0,6.2,6.98,32.75,3.0,Unsafe,,,['BOD']
2209.0,"GAURISAGAR TANK, GAURISAGAR",ASSAM,24.0,6.5,6.88,20.25,3.48,Unsafe,,,"['EC', 'BOD']"
2210.0,"RAJMAW PUKHURI, JORHAT",ASSAM,24.75,5.88,7.08,78.0,3.6,Unsafe,,,"['DO', 'BOD']"
2211.0,"PADUMPUKHURI, TEZPUR",ASSAM,23.75,9.63,7.8,283.25,8.03,Unsafe,,,['BOD']
2212.0,"GOPHUR TANK, GOPHUR",ASSAM,24.25,8.35,6.93,114.0,4.83,Unsafe,,,['BOD']
2213.0,"JAIPAL PUKHURI, SIPAJHAR",ASSAM,23.75,8.35,6.8,25.25,6.48,Unsafe,,,"['EC', 'BOD']"
2214.0,"BOTODRIVA SATRA POND, NAGAON",ASSAM,26.67,7.43,6.83,27.33,3.33,Unsafe,,,"['EC', 'BOD']"
2215.0,SARAN BEEL,ASSAM,29.0,6.2,7.0,119.0,3.38,Unsafe,,,['BOD']
2216.0,"DIGHALI PUKHURI, GUWAHATI",ASSAM,27.0,11.65,7.83,174.75,10.7,Unsafe,,,['BOD']
2217.0,"SUBHAGYA KUNDA POND KAMAKHYA TEMPLE, GUWAHATI",ASSAM,19.08,9.88,7.0,395.5,5.3,Unsafe,,,['BOD']
2218.0,"DEEPAR BEEL AT BORAGAON NEAR IASST, GUWAHATI",ASSAM,26.25,5.35,7.05,263.0,5.03,Unsafe,,,"['DO', 'BOD']"
2219.0,"BISHNU PUSKAR PUKHURI OF HAYAGRIB MADHAB TEMPLE, HAJO",ASSAM,26.75,6.88,7.65,235.25,5.93,Unsafe,,,['BOD']
2220.0,"CHAND DUBI BEEL, CHAND DUBI",ASSAM,27.75,7.33,6.93,34.25,2.35,Unsafe,,,['BOD']
2221.0,"GANGA PUKHURI, NALBARI (GORDON SCHOOL)",ASSAM,28.25,6.7,7.0,53.5,3.73,Unsafe,,,['BOD']
2222.0,RAJADINIA PUKHURI AT ABHAYAPURI,ASSAM,25.0,6.2,7.53,45.0,6.35,Unsafe,,,['BOD']
2223.0,MAHAMAYA MANDIR PUKHURI,ASSAM,27.0,6.18,7.23,92.5,4.75,Unsafe,,,['BOD']
2224.0,RAJAPUKHURI AT GAURIPUR,ASSAM,27.5,6.18,7.4,73.25,8.28,Unsafe,,,['BOD']
2225.0,"BASKANDI POND INSIDE THE BASKANDI MADRASA, BASKANDI",ASSAM,13.25,6.65,7.15,150.25,3.15,Unsafe,,,['BOD']
2226.0,SIVASAGAR TANK (BORPUKHURI) NEAR SIVADOL,ASSAM,24.25,6.1,6.7,21.0,3.13,Unsafe,,,"['EC', 'BOD']"
2227.0,"HORDAI PUKHURI, CHARAIDEW",ASSAM,24.25,6.2,6.73,25.0,2.3,Unsafe,,,"['EC', 'BOD']"
2228.0,GALA BEEL AT DERGAON,ASSAM,31.25,5.25,6.93,134.5,2.25,Unsafe,,,"['DO', 'BOD']"
1532.0,"*GOYSAGAR TANK, SIBSAGAR",ASSAM,23.0,6.2,6.7,20.0,2.43,Unsafe,,,"['EC', 'BOD']"
1261.0,SUBANSIRI AT GEREKAMUKH (B/C WITH BRAH.),ASSAM,20.75,9.3,6.75,69.5,0.93,Safe,,,['NONE']
2061.0,KHARSANG B/C/ WITH BURIDIHING NEAR KHARSANG (ASSAM-ARUNANCHAL BORDER),ASSAM,20.5,6.2,6.85,178.5,2.23,Unsafe,,,['BOD']
1422.0,BURHIDIHING AT MARGHERITA,ASSAM,22.25,6.63,7.18,185.5,2.58,Unsafe,,,['BOD']
2062.0,"BURIDIHING NEAR DULIAJAN AT D/S, TINSUKIA",ASSAM,22.75,6.3,7.18,166.75,3.7,Unsafe,,,['BOD']
2230.0,BURHIDIHING AT DULIAJAN (INTAKE POINT OF OIL INDIA LTD.),ASSAM,22.75,6.53,7.15,168.25,2.55,Unsafe,,,['BOD']
2065.0,"PAGLDIA NEAR NALBARI TOWN, DIST. NALBARI",ASSAM,27.5,7.75,7.53,221.5,2.03,Unsafe,,,['BOD']
1530.0,"DIGBOI RIVER AT LAKHIPATHE, RESERVE FOREST, DIGBOI",ASSAM,22.25,7.58,6.85,223.75,3.68,Unsafe,,,['BOD']
2063.0,"JAI BHARALI NR BISWANATH CHARALI, SONITPUR",ASSAM,23.25,8.78,6.98,68.25,1.35,Safe,,,['NONE']
2237.0,"KALONG RIVER AT U/S OF ANANDARAM DEKIAL PHUKAN BRIDGE, NAGAON",ASSAM,24.0,6.8,6.97,189.33,2.17,Unsafe,,,['BOD']
2059.0,KOLONG RIVER AT MARIGAON,ASSAM,28.25,6.9,7.28,87.75,1.63,Safe,,,['NONE']
2060.0,"MANAS RIVER AT NH-31 CROSSING, BARPETA",ASSAM,24.0,6.53,7.63,285.0,2.0,Safe,,,['NONE']
2058.0,"DISANG RIVER AT DILLIGHAT, DIBRUGARH",ASSAM,22.0,6.0,6.3,124.0,2.03,Unsafe,,,"['pH', 'DO', 'BOD']"
1298.0,DISANG AT GUNDAMGHAT,ASSAM,23.25,5.65,6.98,126.75,2.03,Unsafe,,,"['DO', 'BOD']"
1258.0,JHANJI AT N.H. CROSSING JORHAT,ASSAM,24.25,5.9,7.18,107.75,1.75,Unsafe,,,['DO']
1527.0,BHOGDOI RIVER AT JORHAT,ASSAM,24.5,5.38,7.18,119.5,1.9,Unsafe,,,['DO']
1531.0,*MORA BHARALI  AT TEZPUR,ASSAM,23.5,6.98,7.05,138.0,1.98,Safe,,,['NONE']
1423.0,BORAK AT PANCHAGRAM,ASSAM,15.75,7.0,6.93,98.75,1.93,Safe,,,['NONE']
1528.0,BHARALU RIVER AT GUWAHATI,ASSAM,24.5,0.13,7.08,698.25,37.25,Unsafe,,,"['DO', 'BOD']"
1529.0,DEEPAR BILL,ASSAM,25.75,5.93,7.05,171.5,3.35,Unsafe,,,"['DO', 'BOD']"
2068.0,"U/S OF KATHAKAL AT MATIJURI, HAILAKANDI",ASSAM,15.63,6.88,7.03,113.75,2.33,Unsafe,,,['BOD']
2229.0,"KUNDLI RIVER AT KUNDLI/ SAPAKHOWA, SADIA.",ASSAM,20.25,6.7,7.03,126.25,1.93,Safe,,,['NONE']
2231.0,DIKHOW RIVER AT DIKHOW BRIDGE SIVASAGAR,ASSAM,23.0,5.75,7.1,165.75,1.5,Unsafe,,,['DO']
2232.0,"KOHORA RIVER AT N.H. CROSSING, KOHORA",ASSAM,31.75,6.9,6.93,83.5,1.4,Safe,,,['NONE']
2233.0,"BOGINADI NEAR BRIDGE NH-52, LAKHIMPUR",ASSAM,22.0,8.38,7.13,76.25,1.63,Safe,,,['NONE']
2234.0,RANGA NADI D/S OF HYDEL PROJECT,ASSAM,22.5,8.25,6.8,92.5,1.73,Safe,,,['NONE']
2236.0,"KAPILI RIVER AT DHARMTUL BRIDGE, NH-31, NAGAON",ASSAM,25.67,6.7,6.83,72.67,2.67,Unsafe,,,['BOD']
2238.0,BEKI RIVER AT NH-37 CROSSING AT BARPETA ROAD,ASSAM,23.0,6.7,7.35,130.5,1.55,Safe,,,['NONE']
2239.0,"SANKOSH RIVER, DHUBRI",ASSAM,26.25,6.68,7.28,71.75,2.23,Unsafe,,,['BOD']
2240.0,BARAK RIVER AT D/S OF SILCHAR,ASSAM,14.38,6.5,7.0,82.75,2.9,Unsafe,,,['BOD']
2241.0,SONAI RIVER AT SONAI,ASSAM,14.58,6.55,7.13,86.75,1.85,Safe,,,['NONE']
2242.0,KUSHIARA RIVER AT KARIMGANJ,ASSAM,15.5,6.8,7.23,95.75,1.25,Safe,,,['NONE']
2235.0,"PANCHNAI RIVER AT NH-52 CROSSING, ORANG",ASSAM,21.25,8.43,7.23,102.5,1.73,Safe,,,['NONE']
