STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Mean,Safe?,lat,lng,Unsafe Parameters
1198.0,CAUVERY AT NAPOKULU BDG (D/S),KARNATAKA,24.75,6.88,7.4,58.58,1.08,Safe,,,['NONE']
1195.0,CAUVERY AT KUSHAL NAGAR U/S (NEAR BAICHANAHALLI),KARNATAKA,25.67,7.13,7.69,105.42,1.08,Safe,,,['NONE']
33.0,"CAUVERY AT KRS DAM, BALAMURIKSHETRA",KARNATAKA,26.08,7.1,8.13,217.17,1.17,Safe,,,['NONE']
1386.0,CAUVERY AT D/S OF KAREKUARA,KARNATAKA,26.33,7.2,8.29,255.83,1.17,Safe,,,['NONE']
1171.0,"CAUVERY AT SRIRANGA PATTANNA, D/S OF ROAD BDG",KARNATAKA,26.67,6.08,7.86,305.67,2.67,Unsafe,,,['BOD']
34.0,CAUVERY AT SATHYAGALAM BRIDGE,KARNATAKA,26.75,6.67,7.88,303.83,1.83,Safe,,,['NONE']
2773.0,CAUVERY AT BANNUR BRIDGE,KARNATAKA,27.42,11.76,7.94,364.58,1.92,Safe,12.2596757,77.1711804,['NONE']
2774.0,CAUVERY AT RANGANATHITTU,KARNATAKA,25.67,6.47,8.0,268.92,2.0,Safe,12.4243603,76.6563492,['NONE']
1182.0,KRISHNA AT U/S OF UGARKHURD BARRAGE,KARNATAKA,25.64,6.55,8.51,689.09,2.07,Unsafe,,,"['pH', 'BOD']"
1889.0,KRISHNA - ANKALI BRIDGE ALONG CHIKKODI KAGWAD ROAD,KARNATAKA,24.82,6.76,8.52,668.18,1.88,Unsafe,,,['pH']
1181.0,KRISHNA AT D/S OF NARAYANPURA DAM,KARNATAKA,27.86,5.47,8.16,440.0,1.5,Unsafe,,,['DO']
2781.0,KRISHNA AT D/S OF ALAMATTI DAM,KARNATAKA,27.77,5.65,8.19,460.0,1.7,Unsafe,,,['DO']
