STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Mean,Safe?,lat,lng,Unsafe Parameters
3461.0,"KANOLI CANAL AT ERANJIKKAL, KAZHEKODE",KERALA,26.56,4.56,7.32,16064.0,1.91,Unsafe,,,"['EC', 'DO']"
3467.0,"UNTHITHODU AT ELOOR, ERNAKULAM",KERALA,28.09,0.97,6.93,1614.78,14.59,Unsafe,,,"['EC', 'DO', 'BOD']"
3469.0,"PALAKKATTUTHAZHA-MTHODU AT PERUMBAVOOR, ERNAKULAM",KERALA,27.2,4.73,6.83,68.44,1.76,Unsafe,,,['DO']
1342.0,ACHENKOIL AT THUMPAMON,KERALA,25.6,7.03,7.18,78.83,0.8,Safe,,,['NONE']
1443.0,ACHENKOIL AT CHENNITHULA,KERALA,26.35,6.59,7.0,66.84,1.12,Safe,,,['NONE']
3465.0,"ACHENKOIL AT KALLARAKADAVU, PATHANAMTHITTA",KERALA,25.99,6.64,7.29,59.22,0.71,Safe,,,['NONE']
3466.0,"ACHENKOIL AT PANDALAM (NEAR AYYAPPA TEMPLE), PATHANAMTHITTA",KERALA,26.31,6.24,7.26,66.33,0.76,Safe,,,['NONE']
2297.0,R ANCHARAKANDY AT MERUVAMBA,KERALA,26.25,7.08,6.97,67.2,0.97,Safe,,,['NONE']
2319.0,R ANCHARAKANDY AT MERUVAMBA,KERALA,26.15,7.0,6.65,5340.6,1.05,Unsafe,,,['EC']
2286.0,R AYROOR AT AYROOR BRIDGE,KERALA,28.81,6.71,7.33,89.0,1.09,Safe,,,['NONE']
2331.0,R BHARATHAPUZHA AT KUTTIPPURAM,KERALA,28.05,6.24,7.28,135.6,0.99,Safe,,,['NONE']
2332.0,R BHARATHAPUZHA AT PATTAMBI,KERALA,27.65,7.12,8.1,212.1,0.93,Safe,,,['NONE']
1154.0,CHALAKUDY AT PULICKALKA-DAVU,KERALA,28.52,6.33,6.32,133.75,1.18,Unsafe,,,['pH']
20.0,CHALIYAR AT KOOLIMADU,KERALA,25.92,7.26,7.22,75.92,0.64,Safe,,,['NONE']
21.0,CHALIYAR AT CHUNGAPALLY,KERALA,26.0,7.03,7.28,11041.1,0.91,Unsafe,,,['EC']
3464.0,"CHALIYAR AT NILAMBUR, MALAPPURAM",KERALA,27.56,6.79,7.06,75.0,0.79,Safe,,,['NONE']
1572.0,CHANDRAGIRI AT PADIYATHADKA,KERALA,28.64,7.41,7.15,60.8,0.65,Safe,,,['NONE']
