STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Mean,Safe?,lat,lng,Unsafe Parameters
1214.0,WAINGANGA AT CHINDWARA,MADHYA PRADESH,23.0,7.38,7.47,382.92,2.12,Unsafe,,,['BOD']
1233.0,MAHI AT BADNAWAR,MADHYA PRADESH,24.0,8.0,7.6,400.0,1.6,Safe,,,['NONE']
1373.0,UPPER LAKE AT BHOPAL (INTAKE POINT),MADHYA PRADESH,25.75,6.88,7.8,281.33,1.94,Safe,,,['NONE']
2137.0,UPPER LAKE AT YATCH CLUB,MADHYA PRADESH,26.86,8.21,8.02,331.11,2.94,Unsafe,,,['BOD']
2138.0,UPPER LAKE AT KARBALA CLUB,MADHYA PRADESH,24.88,7.46,7.79,299.2,2.99,Unsafe,,,['BOD']
2139.0,UPPER LAKE AT BAIRAGARH CLUB,MADHYA PRADESH,25.5,6.93,7.81,289.11,2.83,Unsafe,,,['BOD']
1374.0,LOWER LAKE AT BHOPAL OUTLET,MADHYA PRADESH,25.78,8.55,7.98,502.64,9.25,Unsafe,,,['BOD']
1466.0,MULTAI TANK LAKE AT VILLA. KHARI ON BETUL-AMRAVATI ROAD,MADHYA PRADESH,25.0,7.27,7.91,281.38,2.71,Unsafe,,,['BOD']
2128.0,KHANDARI RESERVOIR WATER OFF TAKE POINT,MADHYA PRADESH,23.25,6.83,7.49,389.27,1.63,Safe,,,['NONE']
2130.0,"MADHAV LAKE, SHIVPURI",MADHYA PRADESH,28.0,6.8,8.3,232.0,2.5,Unsafe,,,['BOD']
2131.0,YASHWANT SAGAR AT INDORE,MADHYA PRADESH,26.0,7.4,7.57,444.33,2.2,Unsafe,,,['BOD']
2132.0,BILAWALI TALAB AT INDORE,MADHYA PRADESH,23.0,6.95,7.05,591.5,2.0,Safe,,,['NONE']
2133.0,SIRPUR TALAB AT INDORE,MADHYA PRADESH,24.0,6.8,8.0,478.0,2.0,Safe,,,['NONE']
2134.0,NAGCHUN TALAB AT KHANDWA,MADHYA PRADESH,25.93,7.13,7.77,452.33,1.4,Safe,,,['NONE']
2135.0,GOVINDGARH TANK,MADHYA PRADESH,26.31,6.61,7.5,0.71,2.29,Unsafe,,,"['EC', 'BOD']"
2136.0,"SHAHPURA LAKE AT WEIR NEAR AYUSHMAN HOSPITAL, BHOPAL",MADHYA PRADESH,26.0,7.97,7.93,627.46,5.14,Unsafe,,,['BOD']
2140.0,"KERWA DAM NEAR REST HOUSE, BPL",MADHYA PRADESH,25.63,6.97,7.82,317.78,2.71,Unsafe,,,['BOD']
2141.0,JANUNIA TALAB NEAR W/S,MADHYA PRADESH,23.88,7.37,7.89,445.22,2.92,Unsafe,,,['BOD']
3300.0,"RANITAL TALAB, JABALPUR",MADHYA PRADESH,22.63,7.65,7.76,503.13,3.59,Unsafe,,,['BOD']
3301.0,MOTI TALAB AT BALAGHAT,MADHYA PRADESH,22.75,7.34,7.73,406.38,2.4,Unsafe,,,['BOD']
3303.0,"RANI TALAB, REWA",MADHYA PRADESH,26.86,6.64,7.51,0.83,2.0,Unsafe,,,['EC']
