STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Mean,Safe?,lat,lng,Unsafe Parameters
1347.0,UMIAM LAKE AT BARAPANI,MEGHALAYA,22.25,6.87,7.13,142.5,7.84,Unsafe,,,['BOD']
3346.0,UMIAM LAKE AT OUTFALL OF UMIAM RIVER,MEGHALAYA,21.13,5.68,7.13,170.83,8.94,Unsafe,,,"['DO', 'BOD']"
3347.0,UMIAM LAKE MIDDLE POINT,MEGHALAYA,21.58,6.98,7.17,100.83,7.44,Unsafe,,,['BOD']
3348.0,UMIAM LAKE NEAR UNITED CHRISTIAN COLLEGE,MEGHALAYA,21.88,7.13,7.29,90.75,7.17,Unsafe,,,['BOD']
1348.0,"WARD LAKE AT SHILONG EAST,KHASI HILL DT.",MEGHALAYA,19.25,7.53,7.19,171.67,7.11,Unsafe,,,['BOD']
1459.0,THADLASKEIN LAKE,MEGHALAYA,20.75,7.17,7.05,43.92,1.91,Safe,,,['NONE']
3349.0,TASEK LAKE AT SONGSAK,MEGHALAYA,25.42,7.65,7.41,54.75,1.42,Safe,,,['NONE']
3383.0,"BUGI RIVER AT MIBANPARA, SOUTH GARO HILLS",MEGHALAYA,24.79,7.65,7.17,94.67,1.83,Safe,,,['NONE']
3384.0,"BUGI AT DALU, SOUTH GARO HILLS",MEGHALAYA,24.58,7.56,7.24,91.92,2.52,Unsafe,,,['BOD']
3380.0,"DAMRING RIVER (KRISHNEI RIVER) AT RESUBELPARA, EAST GARO HILLS",MEGHALAYA,25.42,9.88,7.23,65.08,1.49,Safe,,,['NONE']
1632.0,GANOL RIVER TURA,MEGHALAYA,23.54,7.61,7.38,92.75,2.08,Unsafe,,,['BOD']
1428.0,"KYRHUKHLA NEAR SUTNGA KHLIERIAT,JAINTIA HILLS DT.",MEGHALAYA,22.33,5.51,2.91,568.33,6.81,Unsafe,,,"['pH', 'DO', 'BOD']"
