STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Mean,Safe?,lat,lng,Unsafe Parameters
1312.0,"GODAVARI AT JAYAKWADI DAM, AURNAGABAD",MAHARASHTRA,27.67,6.71,8.48,590.2,4.0,Unsafe,,,['BOD']
2177.0,GODAVARI RIVER NEAR SOMESHWAR TEMPLE.,MAHARASHTRA,24.27,5.83,7.58,285.23,5.13,Unsafe,20.023084,73.728591,"['DO', 'BOD']"
2182.0,GODAVARI RIVER AT SAIKHEDA.,MAHARASHTRA,24.25,9.73,7.38,317.61,4.92,Unsafe,,,['BOD']
2179.0,"GODAVARI RIVER AT HANUMAN GHAT, NASHIK CITY.",MAHARASHTRA,24.09,5.08,7.32,438.7,6.89,Unsafe,,,"['DO', 'BOD']"
2183.0,GODAVARI RIVER AT NANDUR- MADMESHWAR DAM.,MAHARASHTRA,24.5,5.66,7.46,312.25,5.5,Unsafe,20.009017,74.1322893,"['DO', 'BOD']"
2181.0,"GODAVARI RIVER AT KAPILA- GODAVARI CONFL. PT, TAPOVAN.",MAHARASHTRA,24.64,4.13,7.36,523.22,12.0,Unsafe,,,"['DO', 'BOD']"
2180.0,GODAVARI NEAR TAPOVAN.,MAHARASHTRA,24.36,4.7,7.49,425.9,8.88,Unsafe,19.9998715,73.8151175,"['DO', 'BOD']"
1096.0,GODAVARI AT PANCHAVATI AT RAMKUND,MAHARASHTRA,24.27,5.14,7.43,407.3,6.13,Unsafe,20.005822,73.7932993,"['DO', 'BOD']"
1211.0,GODAVARI AT NASIK D/S,MAHARASHTRA,24.36,5.31,7.4,406.58,6.46,Unsafe,19.9936418,73.7957527,"['DO', 'BOD']"
1095.0,"GODAVARI AT U/S OF GANGAPUR DAM,NASIK",MAHARASHTRA,26.09,6.24,7.57,191.5,3.13,Unsafe,,,['BOD']
2160.0,"GODAVARI U/S OF AURANGABAD RESERVOIR, KAIGAON TOKKA NEAR KAIGAON BRIDGE.",MAHARASHTRA,27.17,6.63,8.18,762.48,3.75,Unsafe,,,['BOD']
2158.0,GODAVARI RIVER AT U/S OF PAITHAN AT PAITHAN INTAKE PUMP HOUSE AT JAYAKWADI .,MAHARASHTRA,27.82,6.8,8.52,518.15,3.6,Unsafe,,,"['pH', 'BOD']"
2159.0,GODAVARI RIVER AT D/S OF PAITHAN AT PATHEGAON BDG,MAHARASHTRA,27.82,6.12,8.58,960.21,4.48,Unsafe,,,"['pH', 'BOD']"
2161.0,"GODAVARI AT JALNA INTAKE WATER PUMP HOUSE, SHAHABAD",MAHARASHTRA,28.58,6.62,8.12,1027.08,4.12,Unsafe,,,['BOD']
12.0,GODAVARI AT DHALEGAON,MAHARASHTRA,25.7,6.7,7.96,597.15,4.87,Unsafe,,,['BOD']
1210.0,GODAVARI AT NANDED,MAHARASHTRA,29.58,6.36,8.13,565.28,4.26,Unsafe,19.1846276,77.3000155,['BOD']
1209.0,GODAVARI AT RAHER,MAHARASHTRA,29.42,6.21,8.13,581.13,4.38,Unsafe,,,['BOD']
2157.0,GODAVARI RIVER AT LATUR WATER INTAKE NEAR PUMP HOUSE AT DHAMEGAON.,MAHARASHTRA,26.67,6.99,8.22,547.31,3.38,Unsafe,,,['BOD']
2673.0,"MANJRA RIVER AT D/S OF LATUR, NEAR LATUR- NANDED BRIDGE AT BHATKHEDA, LATUR.",MAHARASHTRA,26.5,6.78,8.38,515.07,4.07,Unsafe,,,['BOD']
2719.0,"WARDHA RIVER AT D/S OF ERAI RIVER, HADASTI, CHANDRAPUR.",MAHARASHTRA,18.42,4.75,8.15,1055.0,7.93,Unsafe,,,"['DO', 'BOD']"
2720.0,"WARDHA RIVER AT U/S OF ERAI RIVER, HADASTI, CHANDRAPUR.",MAHARASHTRA,19.42,5.12,8.17,921.17,6.64,Unsafe,,,"['DO', 'BOD']"
2721.0,"WARDHA RIVER AT U/S OF ACC GHUGGUS, CHANDRAPUR.",MAHARASHTRA,19.08,5.77,8.28,769.71,5.41,Unsafe,,,"['DO', 'BOD']"
2174.0,WARDHA RIVER D/S OF ACC GHUGGUS.,MAHARASHTRA,20.08,5.08,8.24,859.15,8.55,Unsafe,,,"['DO', 'BOD']"
2156.0,WARDHA AT CONFL. POINT OF PENGANGA & WARDHA AT JUAD.,MAHARASHTRA,19.08,5.49,8.15,753.83,5.69,Unsafe,,,"['DO', 'BOD']"
