STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Mean,Safe?,lat,lng,Unsafe Parameters
1081.0,BAITARNI AT JODA,ORISSA,28.08,7.68,7.81,120.08,1.47,Safe,22.0192669,85.4066,['NONE']
1082.0,BAITARNI AT ANANDPUR,ORISSA,29.33,7.77,7.83,149.58,1.33,Safe,21.2148488,86.1248967,['NONE']
1083.0,BAITARNI AT JAJPUR,ORISSA,27.33,7.33,7.72,169.83,1.94,Safe,20.7652197,86.1751759,['NONE']
1084.0,BAITARNI AT CHANDBALI,ORISSA,28.42,7.33,7.84,4961.33,1.39,Unsafe,20.7739916,86.7436951,['EC']
1085.0,BAITARNI AT DHAMRA,ORISSA,28.58,7.2,7.73,19837.9,1.48,Unsafe,,,['EC']
2421.0,KUSEI BEFORE JOINING WITH BAITARANI RIVER AT ANANDPUR,ORISSA,29.27,8.02,8.09,245.0,1.35,Safe,,,['NONE']
1037.0,BRAHMANI AT U/S PANPOSH,ORISSA,27.33,7.41,7.85,148.58,2.07,Unsafe,,,['BOD']
1038.0,BRAHMANI AT D/S PANPOSH,ORISSA,27.0,6.74,7.65,277.92,4.01,Unsafe,,,['BOD']
1302.0,BRAHMANI AT ROURKELA D/S,ORISSA,27.92,7.11,7.68,235.83,3.18,Unsafe,,,['BOD']
2414.0,ROURKELA FDS AT BIRITOLA,ORISSA,28.5,8.12,7.89,192.25,2.25,Unsafe,,,['BOD']
1039.0,BRAHMANI AT BONAIGARH,ORISSA,28.67,8.18,7.8,180.67,1.29,Safe,21.820617,84.951573,['NONE']
1040.0,BRAHMANI AT RENGALI,ORISSA,29.83,7.51,7.71,136.5,1.33,Safe,21.2758532,85.0350672,['NONE']
1041.0,BRAHMANI AT SAMAL,ORISSA,29.25,7.68,7.79,140.17,1.51,Safe,,,['NONE']
1303.0,BRAHMANI AT TALCHER U/S,ORISSA,28.08,7.69,8.08,153.08,1.72,Safe,,,['NONE']
2415.0,"TALCHER FU/S (INTAKE WELL OF MCL, TALCHER)",ORISSA,28.25,7.73,7.84,139.67,1.43,Safe,,,['NONE']
2416.0,TALCHER FD/S,ORISSA,28.42,7.58,7.81,170.58,1.83,Safe,20.9552785,85.2226016,['NONE']
1042.0,BRAHMANI AT KAMALANGA,ORISSA,29.17,7.78,7.93,169.42,2.13,Unsafe,,,['BOD']
2417.0,"DHENKANAL D/S, DHENKANAL TOWN",ORISSA,29.67,7.93,7.91,156.17,1.55,Safe,,,['NONE']
1043.0,BRAHMANI AT BHUBAN,ORISSA,29.0,7.98,7.84,146.5,1.38,Safe,20.8793162,85.8358259,['NONE']
2418.0,KABATABANDHA (BEFORE IMPACT OF INDUSTRIAL ACTIVITY IN KALINGANAGAR AREA),ORISSA,28.5,7.5,7.94,152.25,1.48,Safe,,,['NONE']
1044.0,BRAHMANI AT DHARMASHALA,ORISSA,27.33,7.31,7.89,148.33,1.38,Safe,,,['NONE']
1045.0,BRAHMANI AT PATTAMUNDAI,ORISSA,28.67,7.98,7.8,196.17,2.03,Unsafe,20.5854927,86.5661006,['BOD']
2413.0,KOEL U/S (A/C OF RIVER KARO),ORISSA,27.58,7.36,7.83,174.33,1.61,Safe,,,['NONE']
2419.0,KHANDITARA (D/S OF INDUSTRIAL ACTIVITIES AT KALINGA NAGAR),ORISSA,27.58,8.04,7.8,140.17,1.72,Safe,,,['NONE']
2420.0,AUL,ORISSA,28.92,7.54,7.97,156.5,1.73,Safe,38.3011915,-122.2869755,['NONE']
1281.0,MAHANADI AT HIRAKUD RSVR,ORISSA,26.92,7.29,7.92,179.33,1.33,Safe,,,['NONE']
1270.0,MAHANADI AT SAMBALPUR U/S,ORISSA,26.92,7.75,7.98,179.5,1.64,Safe,21.4561488,83.9765753,['NONE']
1271.0,MAHANADI AT SAMBALPUR D/S,ORISSA,27.25,6.86,8.02,195.58,2.81,Unsafe,21.4561488,83.9765753,['BOD']
2405.0,SAMBHALPUR FDS AT HUMA,ORISSA,27.5,7.31,7.95,185.17,1.8,Safe,,,['NONE']
1272.0,MAHANADI D/S (A/C R. SONG SONEPUR U/S),ORISSA,28.92,8.03,7.27,185.75,1.47,Safe,,,['NONE']
1274.0,MAHANADI A/C WITH R.TEL (SONEPUR D/S),ORISSA,29.0,7.7,8.14,209.42,1.95,Safe,,,['NONE']
1275.0,MAHANADI AT TIKARPADA,ORISSA,27.58,8.27,7.77,181.25,1.4,Safe,20.6131507,84.7915999,['NONE']
1276.0,MAHANADI AT NARSINGHPUR,ORISSA,28.25,7.99,8.14,198.75,1.28,Safe,,,['NONE']
1277.0,MAHANADI AT CUTTACK U/S,ORISSA,28.83,8.23,8.08,188.92,1.5,Safe,20.4647228,85.9123503,['NONE']
