STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Mean,Safe?,lat,lng,Unsafe Parameters
1693.0,BEAS AT TALWARA H/W,PUNJAB,18.6667,7.6,7.175,279.5,0.45,Safe,,,['NONE']
1694.0,BEAS AT U/S PATHANKOT,PUNJAB,19.0,7.275,7.25,274.25,0.75,Safe,32.2649632,75.6779087,['NONE']
1695.0,BEAS AT D/S PATHANKOT,PUNJAB,18.6667,6.975,7.25,411.25,1.225,Safe,,,['NONE']
1010.0,"BEAS AT MIRTHAL BRIDGE, GURDASPUR",PUNJAB,19.3333,7.05,7.275,285.75,0.8,Safe,,,['NONE']
1294.0,BEAS AT 1KM.D/S OF EFFL. DIS. PT AT MUKERIAN,PUNJAB,19.3333,7.025,7.25,304.25,1.175,Safe,,,['NONE']
1011.0,BEAS AT G.T.RD UNDER BDG. NR KAPURTHALA,PUNJAB,18.0,7.325,7.275,296.0,0.775,Safe,,,['NONE']
1696.0,BEAS AT U/S GOINDWAL,PUNJAB,18.3333,7.125,7.225,300.5,0.65,Safe,,,['NONE']
1012.0,BEAS AT 100M D/S INDUST. DISCH. GOINDWAL,PUNJAB,18.0,7.15,7.35,302.25,0.85,Safe,,,['NONE']
1697.0,"BEAS AT HARIKE,",PUNJAB,19.6667,7.525,7.225,292.25,0.55,Safe,31.17,75.2,['NONE']
1023.0,GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA),PUNJAB,21.33,5.5,7.38,635.0,8.75,Unsafe,,,"['DO', 'BOD']"
1024.0,GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB,24.0,5.5,7.4,1050.5,25.0,Unsafe,,,"['DO', 'BOD']"
1295.0,"GHAGGAR NEAR BANKARPUR,DERA BASSI",PUNJAB,21.33,5.33,7.28,635.5,9.85,Unsafe,,,"['DO', 'BOD']"
1473.0,"GHAGGAR AT RATANHERI, D/S OF PATIALA NADI (AFTER CONFL.)",PUNJAB,23.67,5.1,7.43,993.0,21.85,Unsafe,,,"['DO', 'BOD']"
1698.0,"GHAGGAR AT D/S CHHATBIR, PUNJAB",PUNJAB,21.33,5.28,7.48,631.75,13.45,Unsafe,,,"['DO', 'BOD']"
1699.0,GHAGGAR AT U/S DHAKANSU NALLAH,PUNJAB,17.5,4.87,7.4,972.67,17.47,Unsafe,,,"['DO', 'BOD']"
1700.0,GHAGGAR AT D/S DHAKANSU NALLAH,PUNJAB,22.33,4.3,7.5,1155.5,24.5,Unsafe,,,"['DO', 'BOD']"
1701.0,GHAGGAR AT D/S JHARMAL NADI,PUNJAB,22.0,4.8,7.4,903.5,26.0,Unsafe,,,"['DO', 'BOD']"
1702.0,GHAGGAR AT U/S JHARMAL NADI,PUNJAB,21.33,5.05,7.4,1110.25,16.0,Unsafe,,,"['DO', 'BOD']"
1703.0,GHAGGAR AT MOONAK,PUNJAB,24.0,5.28,7.43,1289.5,26.85,Unsafe,,,"['DO', 'BOD']"
1704.0,GHAGGAR AT D/S SARDULGARH,PUNJAB,22.33,4.9,7.43,989.75,27.75,Unsafe,,,"['DO', 'BOD']"
1705.0,GHAGGAR AT U/S SARDULGARH,PUNJAB,22.33,5.15,7.35,914.0,20.53,Unsafe,,,"['DO', 'BOD']"
1382.0,HARIKE LAKE D/S FROM CANAL,PUNJAB,18.33,6.0,7.18,288.75,1.93,Unsafe,,,['DO']
1097.0,"RAVI AT U/S OF MADHOPUR HEADWORKS, GURDASPUR",PUNJAB,17.5,7.78,7.2,207.5,0.23,Safe,,,['NONE']
1017.0,"SATLUJ AT 100M U/S OF HEADWORKS, NANGAL",PUNJAB,19.33,7.88,7.25,239.75,0.66,Safe,,,['NONE']
1018.0,"SATLUJ AT 100M D/S ,NANGAL",PUNJAB,20.0,7.58,7.75,272.75,2.03,Unsafe,,,['BOD']
1293.0,SATLUJ AT 1 KM. D/S OF ZENITH,PUNJAB,22.0,6.53,7.8,582.0,13.88,Unsafe,,,['BOD']
1814.0,SATLUJ AT D/S KIRATPUR SAHIB,PUNJAB,22.0,7.38,7.4,265.25,1.01,Safe,,,['NONE']
1019.0,SATLUJ AT U/S HEAD WORKS ROPAR,PUNJAB,21.33,7.28,7.48,346.25,2.8,Unsafe,,,['BOD']
1380.0,"SATLUJ AT D/S NFL, PUNJAB",PUNJAB,19.67,7.35,7.8,315.5,1.8,Safe,,,['NONE']
1690.0,SATLUJ AT U/S BUDHA NALLAH (UPPER),PUNJAB,20.0,7.0,7.38,329.0,1.8,Safe,,,['NONE']
1020.0,"SATLUJ AT 100M D/S BUDHA NALA CONFL.,LUDHIANA",PUNJAB,21.67,4.2,7.2,496.5,18.0,Unsafe,,,"['DO', 'BOD']"
1021.0,"SATLUJ AT BOAT BDG. DHARM- KOTNAKODAR RD, JALANDHAR",PUNJAB,102.33,6.25,7.25,370.0,2.2,Unsafe,,,['BOD']
1381.0,SATLUJ AT D/S EAST BEIN,PUNJAB,19.0,4.38,7.18,496.5,4.75,Unsafe,,,"['DO', 'BOD']"
1691.0,SATLUJ AT U/S HUSSANIWALA - H/W FEROZEPUR,PUNJAB,18.67,7.0,7.25,274.75,2.05,Unsafe,,,['BOD']
1692.0,SATLUJ AT D/S HUSSANIWALA-H/W FEROZEPUR,PUNJAB,19.0,6.9,7.25,285.75,2.1,Unsafe,,,['BOD']
1022.0,"SATLUJ AT BRIDGE HARIKE, AMRITSAR",PUNJAB,23.0,4.93,7.3,430.0,2.7,Unsafe,,,"['DO', 'BOD']"
