STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Mean,Safe?,lat,lng,Unsafe Parameters
1232.0,MAHI D/S CONF WITH R. CHAP (UNDER SAGWARA-SARHI RD. BDG.),RAJASTHAN,26.71,5.24,8.03,556.67,1.47,Unsafe,,,['DO']
2932.0,"NARMADA MAIN CANAL (BEFORE ENTERING IN RAJASTHAN STATE), TEHSIL SANCHORE, JALORE",RAJASTHAN,22.21,6.91,8.08,377.5,1.19,Safe,,,['NONE']
2933.0,"GANG CANAL AT KHAKKA HEAR NEAR HINDUMAL KOT, GANGANAGAR",RAJASTHAN,24.66,5.84,7.27,333.33,1.3,Unsafe,,,['DO']
2934.0,MASITAWALA HEAD HANUMANGARH,RAJASTHAN,28.47,5.92,7.08,324.17,1.33,Unsafe,,,['DO']
1718.0,GAGGAR RIVER WHEN ENTERING IN RAJASTHAN FROM HARYANA NEAR RD NO. 629,RAJASTHAN,32.7,4.75,7.48,280.0,2.42,Unsafe,,,"['DO', 'BOD']"
2947.0,"JAWAI AT JAWAI DAM, SIROHI",RAJASTHAN,23.92,6.04,8.28,468.33,1.41,Safe,,,['NONE']
1717.0,"KODRA DAM, MOUNT ABU",RAJASTHAN,19.42,5.95,7.29,234.17,1.5,Unsafe,,,['DO']
2948.0,"BANDI AT HEMAWAS DAM, PAL",RAJASTHAN,23.43,6.39,8.04,527.14,1.19,Safe,,,['NONE']
2949.0,"RIVER LUNI AT RANAKPUR DAM, RANAKPUR, PALI",RAJASTHAN,23.58,5.85,7.91,795.83,1.47,Unsafe,,,['DO']
1285.0,PICHOLA LAKE AT UDAIPUR (WATER INTAKE POINT),RAJASTHAN,23.92,5.21,7.93,645.0,1.4,Unsafe,,,['DO']
1286.0,UDAISAGAR LAKE AT UDAIPUR (INTAKE PT.),RAJASTHAN,23.83,4.98,8.31,1667.5,3.33,Unsafe,,,"['EC', 'DO', 'BOD']"
1414.0,PUSHKAR LAKE,RAJASTHAN,18.92,3.94,7.61,455.5,4.77,Unsafe,,,"['DO', 'BOD']"
1481.0,FATEH SAGAR LAKE AT UDAIPUR INTAKE POINT OF PHED,RAJASTHAN,23.67,5.42,8.41,634.17,1.5,Unsafe,,,['DO']
1714.0,KAYALANA JHEEL JODHPUR,RAJASTHAN,22.13,6.62,8.11,337.5,1.5,Safe,,,['NONE']
1716.0,"NAKKI LAKE, MT. ABU",RAJASTHAN,19.33,5.68,8.03,316.67,2.22,Unsafe,,,"['DO', 'BOD']"
