STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Mean,Safe?,lat,lng,Unsafe Parameters
50.0,CAUVERY AT METTUR,TAMILNADU,30.25,6.24,7.9,476.58,1.12,Safe,11.7862533,77.8007853,['NONE']
1322.0,CAUVERY AT 1KM. D/S OF BHAVANI RIVER CONFL.,TAMILNADU,27.83,5.36,7.88,430.83,1.1,Unsafe,,,['DO']
51.0,CAUVERY AT PALLIPPALAYAM,TAMILNADU,26.92,5.6,7.79,479.08,1.49,Unsafe,11.3749976,77.7509303,['DO']
1320.0,CAUVERY AT ERODE NEAR CHIRAPALAYAM,TAMILNADU,29.0,4.88,7.85,527.0,3.53,Unsafe,,,"['DO', 'BOD']"
1323.0,CAUVERY AT VELORE NEAR KATTIPALAYAM,TAMILNADU,26.08,7.12,7.97,518.5,1.31,Safe,,,['NONE']
3015.0,"CAUVERY AT PUGALUR, KARUR",TAMILNADU,30.0,6.77,7.89,672.17,1.2,Safe,,,['NONE']
1324.0,CAUVERY AT MOHANUR NEAR PATTAIPALAYAM,TAMILNADU,25.92,5.88,7.87,548.33,1.77,Unsafe,,,['DO']
1451.0,CAUVERY AT THIRUMUKKUDAL-CONFL. PT.OF R. AMRAVAT,TAMILNADU,29.67,7.06,8.11,637.17,0.72,Safe,,,['NONE']
31.0,CAUVERY AT MUSIRI,TAMILNADU,28.42,6.99,7.99,651.67,1.12,Safe,10.9548837,78.443932,['NONE']
3016.0,"CAUVERY AT PETTAIVAITHALAI, TRICHY",TAMILNADU,28.5,6.78,7.92,684.42,1.19,Safe,10.901053,78.4894015,['NONE']
1202.0,CAUVERY AT TIRUCHIRAPPALLI U/S,TAMILNADU,28.25,7.08,7.93,589.33,1.09,Safe,10.8323794,78.6814643,['NONE']
1325.0,CAUVERY AT TIRUCHIRAPPALLI D/S,TAMILNADU,28.0,5.62,7.74,819.83,2.12,Unsafe,,,"['DO', 'BOD']"
1203.0,"CAUVERY AT TRICHY,GRAND ANAICUT",TAMILNADU,28.0,5.52,7.75,807.42,1.85,Unsafe,10.8321013,78.8176763,['DO']
3018.0,"CAUVERY AT MAYILADUTHURAI, NAGAPATTINAM",TAMILNADU,24.0,6.16,7.96,722.0,0.82,Safe,11.1018399,79.6522218,['NONE']
3012.0,"CAUVERY AT KOMARAPALAYAM, NAMAKA",TAMILNADU,27.82,5.25,7.79,479.73,2.47,Unsafe,11.4466642,77.6943353,"['DO', 'BOD']"
3013.0,"CAUVERY AT URRACHIKOTTAI, ERODE",TAMILNADU,28.0,6.48,7.77,339.75,0.94,Safe,,,['NONE']
3014.0,"CAUVERY AT VAIRAPALAYAM, NAMAKAL",TAMILNADU,27.75,5.24,7.88,417.17,1.63,Unsafe,,,['DO']
3017.0,"CAUVERY AT KUMBAKONAM, THANJAVUR",TAMILNADU,27.78,6.72,7.96,571.22,1.2,Safe,10.9616945,79.3881132,['NONE']
1326.0,CAUVERY AT COLEROON,TAMILNADU,30.92,7.03,8.17,8300.25,0.79,Unsafe,,,['EC']
1327.0,CAUVERY AT PITCHAVARAM,TAMILNADU,30.88,4.9,8.34,2121.5,3.57,Unsafe,,,"['EC', 'DO', 'BOD']"
1450.0,PALAR AT VANIYAMBADI WATER SUPPLY HEAD WORK,TAMILNADU,26.75,6.76,7.46,890.42,2.08,Unsafe,,,['BOD']
1159.0,TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD. PAPAVINASAM,TAMILNADU,23.33,7.27,7.56,159.99,1.86,Safe,,,['NONE']
1160.0,"TAMBIRAPARANI AT CHERANMADEVI,CAUSE WAY",TAMILNADU,25.25,7.02,7.69,110.56,2.17,Unsafe,,,['BOD']
1161.0,"TAMBIRAPARANI AT TIRUNELVELI,COLLECTORATE",TAMILNADU,26.0,6.7,7.66,139.07,3.14,Unsafe,8.715188,77.370822,['BOD']
1162.0,TAMBIRAPARANI AT MURAPPANADU,TAMILNADU,29.0,7.18,7.22,287.88,2.06,Unsafe,,,['BOD']
1328.0,TAMBIRAPARANI AT PAPPANKULAM,TAMILNADU,24.17,6.98,7.11,95.23,1.91,Safe,8.7791961,77.4250145,['NONE']
1329.0,TAMBIRAPARANI AT RAIL BDG. NR. AMBASAMUDAM,TAMILNADU,23.5,7.04,7.48,84.26,1.7,Safe,,,['NONE']
1330.0,TAMBIRAPARANI AT ARUMUGANERI,TAMILNADU,29.0,7.44,7.0,3101.4,15.56,Unsafe,,,"['EC', 'BOD']"
3025.0,"TAMBIRAPARANI AT ERAL, THOTHUKUDI",TAMILNADU,29.0,7.19,7.3,509.8,2.92,Unsafe,8.6266415,78.0238197,['BOD']
3026.0,"TAMBIRAPARANI AT KALLIDAI KURICHI, TIRUNELVELI",TAMILNADU,24.42,7.07,7.4,87.88,1.82,Safe,8.6967761,77.7215153,['NONE']
3027.0,"TAMBIRAPARANI AT SRIVAIKUNTAM, D/S OF SK ANAICUT, TIRUNELVELI",TAMILNADU,29.0,7.23,6.92,338.16,3.77,Unsafe,,,['BOD']
3028.0,"TAMBIRAPARANI AT VELLAKOIL, TIRUNELVELI",TAMILNADU,26.42,6.68,7.65,162.41,3.25,Unsafe,,,['BOD']
3029.0,"TAMBIRAPARANI AT SIVALAPERI, CONFLUENCE POINT OF KUTTRALAM FALLS, D/S OF PALAYAMKOTTAI, TIRUNELVELI",TAMILNADU,26.83,6.68,7.58,181.9,4.15,Unsafe,,,['BOD']
3023.0,"VASISTA AT SALEM, D/S OF SAGO INDUSRIES EFFLUENT",TAMILNADU,31.75,0.23,7.25,2219.08,185.78,Unsafe,,,"['EC', 'DO', 'BOD']"
1420.0,KODAI KANAL LAKE,TAMILNADU,20.55,6.86,7.37,96.29,5.35,Unsafe,,,['BOD']
1421.0,UDHAGAMADALEM LAKE (OOTY),TAMILNADU,17.42,3.93,7.2,424.08,16.86,Unsafe,,,"['DO', 'BOD']"
1452.0,"YERCAUD LAKE, SALEM",TAMILNADU,23.83,7.48,7.85,300.25,1.66,Safe,,,['NONE']
3007.0,VEERANAM LAKE AT CUDDALORE,TAMILNADU,31.0,6.52,8.41,726.5,1.64,Safe,,,['NONE']
3010.0,PORUR LAKE AT THIRUVALLUR,TAMILNADU,26.57,7.1,8.52,561.42,3.25,Unsafe,,,"['pH', 'BOD']"
