STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Mean,Safe?,lat,lng,Unsafe Parameters
1331.0,DAMODAR AT DISHERGARH VILL.(NR.BIHAR-WEST BENGAL BORDER),WEST BENGAL,26.54,8.37,7.51,219.92,3.35,Unsafe,,,['BOD']
1332.0,DAMODAR AT D/S OF IISCO AFTER 3RD OUTFALL AT DHENNA,WEST BENGAL,27.13,8.31,7.7,247.17,1.91,Safe,,,['NONE']
1333.0,DAMODAR AT NARAINPUR AFTER CONFL. OF NUNIA NALLAH,WEST BENGAL,26.75,7.85,7.68,292.0,3.17,Unsafe,,,['BOD']
1334.0,DAMODAR NEAR MUJHER MANA VILLAGE AFTER CONF. OF TAMLA NALLAH,WEST BENGAL,29.38,6.88,7.86,466.0,4.82,Unsafe,,,['BOD']
1335.0,"DAMODAR AT HOOGHLY, DURGACHAK, NEAR PATHIKALI",WEST BENGAL,28.63,6.71,7.31,8395.83,2.98,Unsafe,,,"['EC', 'BOD']"
2527.0,DAMODAR AT WATER INTAKE POINT FOR BURDWAN TOWN,WEST BENGAL,29.0,8.87,7.91,278.33,3.28,Unsafe,,,['BOD']
1336.0,BARAKAR AT ASANSOL (WATER INTAKE POINT),WEST BENGAL,27.08,8.05,7.76,210.0,2.78,Unsafe,,,['BOD']
2509.0,"D/S OF RUPNARAYAN AT KOLAGHAT, NEAR KOLAGHAT RAIL BRIDGE NO.3",WEST BENGAL,27.71,6.61,7.56,913.61,2.35,Unsafe,,,['BOD']
1337.0,RUPNARAYAN B/C TO RIVER GANGA NEAR GEONKHALI,WEST BENGAL,27.92,6.49,7.43,2518.33,1.26,Unsafe,,,['EC']
2541.0,WATER INTAKE PT FOR BANKURA TOWN ON RIVER DWARAKESHWAR,WEST BENGAL,28.67,7.77,7.85,310.75,1.68,Safe,,,['NONE']
2531.0,U/S OF TARAPITH ON RIVER DWARKA AT SADHAK BAMDEB GHAT,WEST BENGAL,28.33,6.53,7.67,400.33,5.96,Unsafe,,,['BOD']
2532.0,"D/S OF TARAPITH ON RIVER DWARKA, SATIGHAT",WEST BENGAL,28.42,9.08,7.84,416.08,7.01,Unsafe,,,['BOD']
2508.0,"D/S OF SILABATI AT GHATAL,",WEST BENGAL,28.29,6.88,7.5,180.87,2.12,Unsafe,,,['BOD']
2514.0,"JALANGI, D/S OF KRISHNA NAGAR",WEST BENGAL,28.38,7.06,7.7,391.58,3.31,Unsafe,,,['BOD']
1764.0,CHURNI D/S OF SANTIPUR TOWN,WEST BENGAL,28.75,4.69,7.66,468.5,4.0,Unsafe,,,"['DO', 'BOD']"
2518.0,"CHURNI, MAJHADIA",WEST BENGAL,28.67,2.97,7.55,493.25,5.73,Unsafe,,,"['DO', 'BOD']"
2517.0,"MATHA BHANGA, GOBINDAPUR",WEST BENGAL,28.54,2.34,7.58,494.42,7.57,Unsafe,,,"['DO', 'BOD']"
2534.0,WATER INTAKE POINT FOR SURI TOWN ON RIVER MAYURAKSHI,WEST BENGAL,27.46,7.48,7.82,154.0,2.28,Unsafe,,,['BOD']
2507.0,"D/S OF KANSI AT MIDNAPORE, NEAR NEW HANUMAN MANDIR, GANDHIGHAT",WEST BENGAL,29.75,8.77,7.47,200.05,2.55,Unsafe,,,['BOD']
1946.0,MAHANANDA AT SILIGURI,WEST BENGAL,26.17,6.83,7.3,165.55,2.98,Unsafe,26.7271012,88.3952861,['BOD']
2525.0,"MAHANANDA D/S, RAMGHAT",WEST BENGAL,23.75,7.12,7.66,158.76,3.39,Unsafe,,,['BOD']
2549.0,U/S OF VINDYADHARI RIVER AT HAROA BRIDGE,WEST BENGAL,27.25,1.35,7.67,3351.67,7.07,Unsafe,,,"['EC', 'DO', 'BOD']"
2550.0,D/S OF VINDYADHARI RIVER AT MALANCHA BURNING GHAT,WEST BENGAL,27.38,1.67,7.58,9812.75,5.47,Unsafe,,,"['EC', 'DO', 'BOD']"
1080.0,GANGA AT BAHARAMPORE,WEST BENGAL,26.92,7.63,7.82,281.18,3.42,Unsafe,24.0893345,88.256594,['BOD']
2511.0,"NABADIP ON GANGA,GHOSHPARA NEAR MONIPURGHAT",WEST BENGAL,27.0,7.55,7.78,275.29,2.37,Unsafe,,,['BOD']
2506.0,"TRIBENI ON GANGA, NEAR BURNING GHAT",WEST BENGAL,27.0,7.37,8.11,273.36,1.64,Safe,,,['NONE']
1054.0,GANGA AT PALTA,WEST BENGAL,27.58,7.03,7.8,287.97,3.13,Unsafe,,,['BOD']
1472.0,GANGA AT SERAMPORE,WEST BENGAL,27.29,7.0,7.99,280.12,2.35,Unsafe,22.7480685,88.3484297,['BOD']
1053.0,GANGA AT DAKSHMINESWAR,WEST BENGAL,28.25,6.08,7.82,314.58,4.13,Unsafe,22.664867,88.360054,['BOD']
1471.0,GANGA AT HOWRAH-SHIVPUR,WEST BENGAL,27.33,6.02,7.81,305.83,2.94,Unsafe,22.569812,88.3266479,['BOD']
1470.0,GANGA AT GARDEN REACH,WEST BENGAL,27.25,6.23,7.91,311.92,3.25,Unsafe,38.5456906,-76.580191,['BOD']
1052.0,GANGA AT ULUBERIA,WEST BENGAL,27.33,5.48,7.81,331.17,3.25,Unsafe,,,"['DO', 'BOD']"
1469.0,GANGA AT DIAMOND HARBOUR,WEST BENGAL,27.58,6.67,7.91,2447.92,2.43,Unsafe,22.180963,88.1925794,"['EC', 'BOD']"
2512.0,"NOAI CANAL NORTH 24 PARGANAS, NEAR GANGA NAGAR MOTIBRIDGE",WEST BENGAL,29.08,1.2,7.16,1196.25,33.72,Unsafe,,,"['DO', 'BOD']"
2513.0,"KHARDA CANAL NORTH 24 PARGANAS, NEAR JAYSHREE CHEMICAL INDUSTRY",WEST BENGAL,28.04,0.0,7.08,916.75,80.4,Unsafe,,,"['DO', 'BOD']"
