STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Mean,Safe?,lat,lng,Unsafe Parameters
1081.0,BAITARNI AT JODA,ORISSA,28.08,7.68,7.81,120.08,1.47,Safe,22.0192669,85.4066,['NONE']
1082.0,BAITARNI AT ANANDPUR,ORISSA,29.33,7.77,7.83,149.58,1.33,Safe,21.2148488,86.1248967,['NONE']
1083.0,BAITARNI AT JAJPUR,ORISSA,27.33,7.33,7.72,169.83,1.94,Safe,20.7652197,86.17517590000001,['NONE']
1084.0,BAITARNI AT CHANDBALI,ORISSA,28.42,7.33,7.84,4961.33,1.39,Unsafe,20.7739916,86.7436951,['EC']
1085.0,BAITARNI AT DHAMRA,ORISSA,28.58,7.2,7.73,19837.9,1.48,Unsafe,NA,NA,['EC']
2421.0,KUSEI BEFORE JOINING WITH BAITARANI RIVER AT ANANDPUR,ORISSA,29.27,8.02,8.09,245.0,1.35,Safe,NA,NA,['NONE']
1001.0,BEAS AT U/S MANALI,HIMACHAL PRADESH,5.93846,8.7,7.83154,89.4615,0.16923,Safe,32.2449468,77.19108,['NONE']
1002.0,BEAS AT D/S KULU,HIMACHAL PRADESH,8.52308,8.61538,7.75923,105.231,0.93077,Safe,NA,NA,['NONE']
1003.0,BEAS AT D/S AUT,HIMACHAL PRADESH,8.79167,8.86154,7.59385,92.8462,0.16154,Safe,NA,NA,['NONE']
1004.0,BEAS AT U/S PANDON DAM,HIMACHAL PRADESH,12.7727,8.8,7.91636,106.545,0.17273,Safe,NA,NA,['NONE']
1005.0,BEAS AT EXIT OF TUNNEL DEHAL POWER HOUSE,HIMACHAL PRADESH,12.1154,10.2,7.86769,100.692,0.1,Safe,NA,NA,['NONE']
1550.0,BEAS AT U/S MANDI,HIMACHAL PRADESH,15.2615,8.98462,8.05154,131.923,0.18462,Safe,31.8721275,76.64376279999999,['NONE']
1006.0,BEAS AT D/S MANDI,HIMACHAL PRADESH,16.3154,8.77692,7.80154,180.692,0.4,Safe,NA,NA,['NONE']
2601.0,BEAS AT D/S MANALI,HIMACHAL PRADESH,6.65385,8.55385,7.74231,82.9231,0.22308,Safe,32.2449468,77.19108,['NONE']
2602.0,BEAS AT U/S KULLU,HIMACHAL PRADESH,7.97692,8.53846,7.83231,96.7692,0.16154,Safe,NA,NA,['NONE']
2603.0,BEAS AT D/S PANDOH DAM,HIMACHAL PRADESH,14.2308,8.75385,7.92462,109.308,0.12308,Safe,NA,NA,['NONE']
1693.0,BEAS AT TALWARA H/W,PUNJAB,18.6667,7.6,7.175,279.5,0.45,Safe,NA,NA,['NONE']
1694.0,BEAS AT U/S PATHANKOT,PUNJAB,19.0,7.275,7.25,274.25,0.75,Safe,32.2649632,75.6779087,['NONE']
1695.0,BEAS AT D/S PATHANKOT,PUNJAB,18.6667,6.975,7.25,411.25,1.225,Safe,NA,NA,['NONE']
1010.0,"BEAS AT MIRTHAL BRIDGE, GURDASPUR",PUNJAB,19.3333,7.05,7.275,285.75,0.8,Safe,NA,NA,['NONE']
1294.0,BEAS AT 1KM.D/S OF EFFL. DIS. PT AT MUKERIAN,PUNJAB,19.3333,7.025,7.25,304.25,1.175,Safe,NA,NA,['NONE']
1011.0,BEAS AT G.T.RD UNDER BDG. NR KAPURTHALA,PUNJAB,18.0,7.325,7.275,296.0,0.775,Safe,NA,NA,['NONE']
1696.0,BEAS AT U/S GOINDWAL,PUNJAB,18.3333,7.125,7.225,300.5,0.65,Safe,NA,NA,['NONE']
1012.0,BEAS AT 100M D/S INDUST. DISCH. GOINDWAL,PUNJAB,18.0,7.15,7.35,302.25,0.85,Safe,NA,NA,['NONE']
1697.0,"BEAS AT HARIKE,",PUNJAB,19.6667,7.525,7.225,292.25,0.55,Safe,31.17,75.2,['NONE']
1037.0,BRAHMANI AT U/S PANPOSH,ORISSA,27.33,7.41,7.85,148.58,2.07,Unsafe,NA,NA,['BOD']
1038.0,BRAHMANI AT D/S PANPOSH,ORISSA,27.0,6.74,7.65,277.92,4.01,Unsafe,NA,NA,['BOD']
1302.0,BRAHMANI AT ROURKELA D/S,ORISSA,27.92,7.11,7.68,235.83,3.18,Unsafe,NA,NA,['BOD']
2414.0,ROURKELA FDS AT BIRITOLA,ORISSA,28.5,8.12,7.89,192.25,2.25,Unsafe,NA,NA,['BOD']
1039.0,BRAHMANI AT BONAIGARH,ORISSA,28.67,8.18,7.8,180.67,1.29,Safe,21.820617,84.951573,['NONE']
1040.0,BRAHMANI AT RENGALI,ORISSA,29.83,7.51,7.71,136.5,1.33,Safe,21.2758532,85.0350672,['NONE']
1041.0,BRAHMANI AT SAMAL,ORISSA,29.25,7.68,7.79,140.17,1.51,Safe,NA,NA,['NONE']
