STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Min,TEMPERATURE in degree Centigrade] - Max,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Min,D.O. (mg/l) [> 4 mg/l] - Max,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Min,pH [6.5-8.5] - Max,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Min,CONDUCTIVITY (µmhos/cm)] - Max,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Min,B.O.D. (mg/l) [< 3 mg/l] - Max,B.O.D. (mg/l) [< 3 mg/l] - Mean,NITRATE- N+ NITRITE-N (mg/l)] - Min,NITRATE- N+ NITRITE-N (mg/l)] - Max,NITRATE- N+ NITRITE-N (mg/l)] - Mean,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Min,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Max,FECAL COLIFORM (MPN/100ml) [< 2500 MPN/100ml] - Mean,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Min,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Max,TOTAL COLIFORM (MPN/100ml) [< 5000 MPN/100ml] - Mean
1081.0,BAITARNI AT JODA,ORISSA,21.0,35.0,28.08,6.5,8.8,7.68,7.2,8.3,7.81,93.0,162.0,120.08,0.9,2.2,1.47,0.08,5.88,1.09,330.0,3500.0,1562.5,790.0,9200.0,3427.5
1082.0,BAITARNI AT ANANDPUR,ORISSA,26.0,34.0,29.33,6.3,10.2,7.77,7.3,8.2,7.83,111.0,221.0,149.58,0.8,1.9,1.33,0.04,2.49,0.64,490.0,5400.0,2852.5,1100.0,9200.0,5283.33
1083.0,BAITARNI AT JAJPUR,ORISSA,20.0,31.0,27.33,5.6,9.9,7.33,7.2,8.3,7.72,119.0,381.0,169.83,1.3,2.8,1.94,0.08,4.61,1.06,700.0,11000.0,4775.0,1700.0,17000.0,8983.33
1084.0,BAITARNI AT CHANDBALI,ORISSA,19.0,37.0,28.42,5.8,8.7,7.33,7.4,8.4,7.84,269.0,18460.0,4961.33,0.3,2.3,1.39,0.16,2.23,0.88,1100.0,9200.0,2958.33,2100.0,16000.0,6433.33
1085.0,BAITARNI AT DHAMRA,ORISSA,21.0,35.0,28.58,5.9,8.3,7.2,7.1,8.1,7.73,885.0,42560.0,19837.9,0.6,2.7,1.48,0.17,1.71,0.74,130.0,2800.0,1080.0,230.0,9200.0,2589.17
2421.0,KUSEI BEFORE JOINING WITH BAITARANI RIVER AT ANANDPUR,ORISSA,26.0,34.0,29.27,6.7,9.1,8.02,7.6,8.5,8.09,180.0,291.0,245.0,0.6,2.5,1.35,0.03,7.65,1.04,210.0,5400.0,1680.0,630.0,9200.0,3950.91
1001.0,BEAS AT U/S MANALI,HIMACHAL PRADESH,2.0,12.0,5.93846,7.0,9.8,8.7,6.64,8.99,7.83154,50.0,116.0,89.4615,0.1,0.8,0.16923,0.21,1.21,0.47677,13.0,70.0,26.3846,34.0,280.0,103.231
1002.0,BEAS AT D/S KULU,HIMACHAL PRADESH,3.0,14.0,8.52308,8.1,9.7,8.61538,7.12,8.21,7.75923,64.0,156.0,105.231,0.1,8.7,0.93077,0.131,1.71,0.60923,26.0,180.0,88.0,220.0,920.0,416.923
1003.0,BEAS AT D/S AUT,HIMACHAL PRADESH,3.0,15.0,8.79167,8.0,10.0,8.86154,6.85,8.19,7.59385,47.0,148.0,92.8462,0.1,0.4,0.16154,0.093,1.721,0.52462,22.0,79.0,51.7692,130.0,350.0,203.846
1004.0,BEAS AT U/S PANDON DAM,HIMACHAL PRADESH,5.5,16.0,12.7727,7.9,10.2,8.8,7.35,8.3,7.91636,58.0,177.0,106.545,0.1,0.3,0.17273,0.123,0.946,0.55118,26.0,49.0,39.0909,110.0,280.0,190.0
