STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Mean,D.O. (mg/l) [> 4 mg/l] - Mean,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Mean,B.O.D. (mg/l) [< 3 mg/l] - Mean
1081.0,BAITARNI AT JODA,ORISSA,28.08,7.68,7.81,120.08,1.47
1082.0,BAITARNI AT ANANDPUR,ORISSA,29.33,7.77,7.83,149.58,1.33
1083.0,BAITARNI AT JAJPUR,ORISSA,27.33,7.33,7.72,169.83,1.94
1084.0,BAITARNI AT CHANDBALI,ORISSA,28.42,7.33,7.84,4961.33,1.39
1085.0,BAITARNI AT DHAMRA,ORISSA,28.58,7.2,7.73,19837.9,1.48
2421.0,KUSEI BEFORE JOINING WITH BAITARANI RIVER AT ANANDPUR,ORISSA,29.27,8.02,8.09,245.0,1.35
1001.0,BEAS AT U/S MANALI,HIMACHAL PRADESH,5.93846,8.7,7.83154,89.4615,0.16923
1002.0,BEAS AT D/S KULU,HIMACHAL PRADESH,8.52308,8.61538,7.75923,105.231,0.93077
1003.0,BEAS AT D/S AUT,HIMACHAL PRADESH,8.79167,8.86154,7.59385,92.8462,0.16154
1004.0,BEAS AT U/S PANDON DAM,HIMACHAL PRADESH,12.7727,8.8,7.91636,106.545,0.17273
1005.0,BEAS AT EXIT OF TUNNEL DEHAL POWER HOUSE,HIMACHAL PRADESH,12.1154,10.2,7.86769,100.692,0.1
1550.0,BEAS AT U/S MANDI,HIMACHAL PRADESH,15.2615,8.98462,8.05154,131.923,0.18462
1006.0,BEAS AT D/S MANDI,HIMACHAL PRADESH,16.3154,8.77692,7.80154,180.692,0.4
2601.0,BEAS AT D/S MANALI,HIMACHAL PRADESH,6.65385,8.55385,7.74231,82.9231,0.22308
2602.0,BEAS AT U/S KULLU,HIMACHAL PRADESH,7.97692,8.53846,7.83231,96.7692,0.16154
2603.0,BEAS AT D/S PANDOH DAM,HIMACHAL PRADESH,14.2308,8.75385,7.92462,109.308,0.12308
1693.0,BEAS AT TALWARA H/W,PUNJAB,18.6667,7.6,7.175,279.5,0.45
1694.0,BEAS AT U/S PATHANKOT,PUNJAB,19.0,7.275,7.25,274.25,0.75
1695.0,BEAS AT D/S PATHANKOT,PUNJAB,18.6667,6.975,7.25,411.25,1.225
1010.0,"BEAS AT MIRTHAL BRIDGE, GURDASPUR",PUNJAB,19.3333,7.05,7.275,285.75,0.8
1294.0,BEAS AT 1KM.D/S OF EFFL. DIS. PT AT MUKERIAN,PUNJAB,19.3333,7.025,7.25,304.25,1.175
1011.0,BEAS AT G.T.RD UNDER BDG. NR KAPURTHALA,PUNJAB,18.0,7.325,7.275,296.0,0.775
1696.0,BEAS AT U/S GOINDWAL,PUNJAB,18.3333,7.125,7.225,300.5,0.65
1012.0,BEAS AT 100M D/S INDUST. DISCH. GOINDWAL,PUNJAB,18.0,7.15,7.35,302.25,0.85
1697.0,"BEAS AT HARIKE,",PUNJAB,19.6667,7.525,7.225,292.25,0.55
