STATION CODE,LOCATIONS,ZIP,date_of_deployment,kit_status,,,,,,,,
1081,BAITARNI AT JODA,758034,,WORKING,,,,,,,,
1082,BAITARNI AT ANANDPUR,758021,,WORKING,,,,,,,,
1083,BAITARNI AT JAJPUR,755008,,WORKING,,,,,,,,
1084,BAITARNI AT CHANDBALI,756133,,WORKING,,,,,,,,
1085,BAITARNI AT DHAMRA,,,WORKING,,,,,,,,
2421,KUSEI BEFORE JOINING WITH BAITARANI RIVER AT ANANDPUR,,,WORKING,,,,,,,,
1001,BEAS AT U/S MANALI,175131,,WORKING,,,,,,,,
1002,BEAS AT D/S KULU,,,WORKING,,,,,,,,
1003,BEAS AT D/S AUT,,,WORKING,,,,,,,,
1004,BEAS AT U/S PANDON DAM,,,WORKING,,,,,,,,
1005,BEAS AT EXIT OF TUNNEL DEHAL POWER HOUSE,,,WORKING,,,,,,,,
1550,BEAS AT U/S MANDI,176091,,WORKING,,,,,,,,
1006,BEAS AT D/S MANDI,,,WORKING,,,,,,,,
2601,BEAS AT D/S MANALI,175131,,WORKING,,,,,,,,
2602,BEAS AT U/S KULLU,,,WORKING,,,,,,,,
2603,BEAS AT D/S PANDOH DAM,,,WORKING,,,,,,,,
1693,BEAS AT TALWARA H/W,,,WORKING,,,,,,,,
1694,BEAS AT U/S PATHANKOT,145001,,WORKING,,,,,,,,
1695,BEAS AT D/S PATHANKOT,,,WORKING,,,,,,,,
1010,"BEAS AT MIRTHAL BRIDGE, GURDASPUR",,,WORKING,,,,,,,,
1294,BEAS AT 1KM.D/S OF EFFL. DIS. PT AT MUKERIAN,,,WORKING,,,,,,,,
1011,BEAS AT G.T.RD UNDER BDG. NR KAPURTHALA,,,WORKING,,,,,,,,
1696,BEAS AT U/S GOINDWAL,,,WORKING,,,,,,,,
1012,BEAS AT 100M D/S INDUST. DISCH. GOINDWAL,,,WORKING,,,,,,,,
1697,"BEAS AT HARIKE,",144629,,WORKING,,,,,,,,
1037,BRAHMANI AT U/S PANPOSH,,,WORKING,,,,,,,,
1038,BRAHMANI AT D/S PANPOSH,,,WORKING,,,,,,,,
1302,BRAHMANI AT ROURKELA D/S,,,WORKING,,,,,,,,
2414,ROURKELA FDS AT BIRITOLA,,,WORKING,,,,,,,,
1039,BRAHMANI AT BONAIGARH,770038,,WORKING,,,,,,,,
1040,BRAHMANI AT RENGALI,759105,,WORKING,,,,,,,,
1041,BRAHMANI AT SAMAL,,,WORKING,,,,,,,,
1303,BRAHMANI AT TALCHER U/S,,,WORKING,,,,,,,,
2415,"TALCHER FU/S (INTAKE WELL OF MCL, TALCHER)",,,WORKING,,,,,,,,
2416,TALCHER FD/S,759107,,WORKING,,,,,,,,
1042,BRAHMANI AT KAMALANGA,,,WORKING,,,,,,,,
2417,"DHENKANAL D/S, DHENKANAL TOWN",,,WORKING,,,,,,,,
1043,BRAHMANI AT BHUBAN,759017,,WORKING,,,,,,,,
2418,KABATABANDHA (BEFORE IMPACT OF INDUSTRIAL ACTIVITY IN KALINGANAGAR AREA),,,WORKING,,,,,,,,
1044,BRAHMANI AT DHARMASHALA,,,WORKING,,,,,,,,
1045,BRAHMANI AT PATTAMUNDAI,754215,,WORKING,,,,,,,,
2413,KOEL U/S (A/C OF RIVER KARO),,,WORKING,,,,,,,,
2419,KHANDITARA (D/S OF INDUSTRIAL ACTIVITIES AT KALINGA NAGAR),,,WORKING,,,,,,,,
2420,AUL,94559,,WORKING,,,,,,,,
1260,BRAHAMPUTRA AT KHERGHAT (A/C WITH DIBANG & DIHANG),,,WORKING,,,,,,,,
1030,BRAHAMPUTRA AT DIBRUGARH,786001,,WORKING,,,,,,,,
1262,BRAHAMPUTRA AT NIMATIGHAT,784173,,WORKING,,,,,,,,
1526,BRAHMPUTRA AT DHENUKHAPAHAR,,,WORKING,,,,,,,,
1031,BRAHAMPUTRA AT PANDU,784173,,WORKING,,,,,,,,
1299,BRAHAMPUTRA AT JOGIJHOGA NEAR BRIDGE,,,WORKING,,,,,,,,
2069,"BRAHMPUTRA NR WATER INTAKE POINT AT KACHARIGHAT, PANBAZAR, GUWAHATI",,,WORKING,,,,,,,,
2064,"BRAHMAPUTRA AT CHANDRAPUR, GUWAHATI",781026,,WORKING,,,,,,,,
2067,"BRAHMPUTRA AT SUALKUCHI, DIST. KAMRUP",781103,,WORKING,,,,,,,,
2066,BRAHMAPUTRA AT DHUBRI,783301,,WORKING,,,,,,,,
1198,CAUVERY AT NAPOKULU BDG (D/S),,,WORKING,,,,,,,,
1195,CAUVERY AT KUSHAL NAGAR U/S (NEAR BAICHANAHALLI),,,WORKING,,,,,,,,
