STATION CODE,LOCATIONS,STATE,TEMPERATURE in degree Centigrade] - Mean,pH [6.5-8.5] - Mean,CONDUCTIVITY (µmhos/cm)] - Mean
1081,BAITARNI AT JODA,ORISSA,28.08,7.81,120.08
1082,BAITARNI AT ANANDPUR,ORISSA,29.33,7.83,149.58
1083,BAITARNI AT JAJPUR,ORISSA,27.33,7.72,169.83
1084,BAITARNI AT CHANDBALI,ORISSA,28.42,7.84,4961.33
1085,BAITARNI AT DHAMRA,ORISSA,28.58,7.73,19837.9
2421,KUSEI BEFORE JOINING WITH BAITARANI RIVER AT ANANDPUR,ORISSA,29.27,8.09,245
1001,BEAS AT U/S MANALI,HIMACHAL PRADESH,5.93846,7.83154,89.4615
1002,BEAS AT D/S KULU,HIMACHAL PRADESH,8.52308,7.75923,105.231
1003,BEAS AT D/S AUT,HIMACHAL PRADESH,8.79167,7.59385,92.8462
1004,BEAS AT U/S PANDON DAM,HIMACHAL PRADESH,12.7727,7.91636,106.545
1005,BEAS AT EXIT OF TUNNEL DEHAL POWER HOUSE,HIMACHAL PRADESH,12.1154,7.86769,100.692
1550,BEAS AT U/S MANDI,HIMACHAL PRADESH,15.2615,8.05154,131.923
1006,BEAS AT D/S MANDI,HIMACHAL PRADESH,16.3154,7.80154,180.692
2604,BEAS AT D/S JAISINGHPUR,HIMACHAL PRADESH,18.4308,13.6415,282
1007,BEAS AT D/S ALAMPUR,HIMACHAL PRADESH,17.9615,8.27154,278.615
1008,BEAS AT D/S DEHRAGOPIPUR,HIMACHAL PRADESH,18.0385,8.30538,257.308
1009,BEAS AT D/S PONG DAM,HIMACHAL PRADESH,18.0923,7.59846,188
2601,BEAS AT D/S MANALI,HIMACHAL PRADESH,6.65385,7.74231,82.9231
2602,BEAS AT U/S KULLU,HIMACHAL PRADESH,7.97692,7.83231,96.7692
2603,BEAS AT D/S PANDOH DAM,HIMACHAL PRADESH,14.2308,7.92462,109.308
1693,BEAS AT TALWARA H/W,PUNJAB,18.6667,7.175,279.5
1694,BEAS AT U/S PATHANKOT,PUNJAB,19,7.25,274.25
1695,BEAS AT D/S PATHANKOT,PUNJAB,18.6667,7.25,411.25
1010,"BEAS AT MIRTHAL BRIDGE, GURDASPUR",PUNJAB,19.3333,7.275,285.75
1294,BEAS AT 1KM.D/S OF EFFL. DIS. PT AT MUKERIAN,PUNJAB,19.3333,7.25,304.25
1011,BEAS AT G.T.RD UNDER BDG. NR KAPURTHALA,PUNJAB,18,7.275,296
1696,BEAS AT U/S GOINDWAL,PUNJAB,18.3333,7.225,300.5
1012,BEAS AT 100M D/S INDUST. DISCH. GOINDWAL,PUNJAB,18,7.35,302.25
1697,"BEAS AT HARIKE,",PUNJAB,19.6667,7.225,292.25
1037,BRAHMANI AT U/S PANPOSH,ORISSA,27.33,7.85,148.58
1038,BRAHMANI AT D/S PANPOSH,ORISSA,27,7.65,277.92
1302,BRAHMANI AT ROURKELA D/S,ORISSA,27.92,7.68,235.83
2414,ROURKELA FDS AT BIRITOLA,ORISSA,28.5,7.89,192.25
1039,BRAHMANI AT BONAIGARH,ORISSA,28.67,7.8,180.67
1040,BRAHMANI AT RENGALI,ORISSA,29.83,7.71,136.5
1041,BRAHMANI AT SAMAL,ORISSA,29.25,7.79,140.17
1303,BRAHMANI AT TALCHER U/S,ORISSA,28.08,8.08,153.08
2415,"TALCHER FU/S (INTAKE WELL OF MCL, TALCHER)",ORISSA,28.25,7.84,139.67
2416,TALCHER FD/S,ORISSA,28.42,7.81,170.58
1042,BRAHMANI AT KAMALANGA,ORISSA,29.17,7.93,169.42
2417,"DHENKANAL D/S, DHENKANAL TOWN",ORISSA,29.67,7.91,156.17
1043,BRAHMANI AT BHUBAN,ORISSA,29,7.84,146.5
2418,KABATABANDHA (BEFORE IMPACT OF INDUSTRIAL ACTIVITY IN KALINGANAGAR AREA),ORISSA,28.5,7.94,152.25
1044,BRAHMANI AT DHARMASHALA,ORISSA,27.33,7.89,148.33
1045,BRAHMANI AT PATTAMUNDAI,ORISSA,28.67,7.8,196.17
1036,KOEL AT MANOHARPUR AFTER MEETING KOINA RIVER D/S,JHARKHAND,26.77,7.52,168.25
2413,KOEL U/S (A/C OF RIVER KARO),ORISSA,27.58,7.83,174.33
1033,"KOEL AT BASIA,DAM U/S",JHARKHAND,28.95,6.41,282.91
2376,NORTH KOEL U/S DALTANGANJ,JHARKHAND,27.35,6.53,426.83
2377,"NORTH KOEL D/S BCCL, REHLA",JHARKHAND,27.09,6.45,486.94
2419,KHANDITARA (D/S OF INDUSTRIAL ACTIVITIES AT KALINGA NAGAR),ORISSA,27.58,7.8,140.17
2420,AUL,ORISSA,28.92,7.97,156.5
1034,SANKH AT BOLBA,JHARKHAND,28.36,6.52,296.03
1035,KARO AT LOHOJIMI U/S,JHARKHAND,25.96,6.38,290.63
1260,BRAHAMPUTRA AT KHERGHAT (A/C WITH DIBANG & DIHANG),ASSAM,22.08,7.28,130.67
1030,BRAHAMPUTRA AT DIBRUGARH,ASSAM,21.42,7.18,129.67
1262,BRAHAMPUTRA AT NIMATIGHAT,ASSAM,23.33,7.21,137.42
1526,BRAHMPUTRA AT DHENUKHAPAHAR,ASSAM,22.55,7.24,151.64
1031,BRAHAMPUTRA AT PANDU,ASSAM,22.92,7.21,144
1299,BRAHAMPUTRA AT JOGIJHOGA NEAR BRIDGE,ASSAM,25.25,7.49,149.17
2069,"BRAHMPUTRA NR WATER INTAKE POINT AT KACHARIGHAT, PANBAZAR, GUWAHATI",ASSAM,25.63,7.45,133.25
2064,"BRAHMAPUTRA AT CHANDRAPUR, GUWAHATI",ASSAM,26,7.43,159.75
2067,"BRAHMPUTRA AT SUALKUCHI, DIST. KAMRUP",ASSAM,26.25,7.05,151.75
2066,BRAHMAPUTRA AT DHUBRI,ASSAM,27.25,7.45,125
1198,CAUVERY AT NAPOKULU BDG (D/S),KARNATAKA,24.75,7.4,58.58
1195,CAUVERY AT KUSHAL NAGAR U/S (NEAR BAICHANAHALLI),KARNATAKA,25.67,7.69,105.42
33,"CAUVERY AT KRS DAM, BALAMURIKSHETRA",KARNATAKA,26.08,8.13,217.17
1386,CAUVERY AT D/S OF KAREKUARA,KARNATAKA,26.33,8.29,255.83
1171,"CAUVERY AT SRIRANGA PATTANNA, D/S OF ROAD BDG",KARNATAKA,26.67,7.86,305.67
34,CAUVERY AT SATHYAGALAM BRIDGE,KARNATAKA,26.75,7.88,303.83
2773,CAUVERY AT BANNUR BRIDGE,KARNATAKA,27.42,7.94,364.58
2774,CAUVERY AT RANGANATHITTU,KARNATAKA,25.67,8,268.92
50,CAUVERY AT METTUR,TAMILNADU,30.25,7.9,476.58
1322,CAUVERY AT 1KM. D/S OF BHAVANI RIVER CONFL.,TAMILNADU,27.83,7.88,430.83
51,CAUVERY AT PALLIPPALAYAM,TAMILNADU,26.92,7.79,479.08
1320,CAUVERY AT ERODE NEAR CHIRAPALAYAM,TAMILNADU,29,7.85,527
1323,CAUVERY AT VELORE NEAR KATTIPALAYAM,TAMILNADU,26.08,7.97,518.5
3015,"CAUVERY AT PUGALUR, KARUR",TAMILNADU,30,7.89,672.17
1324,CAUVERY AT MOHANUR NEAR PATTAIPALAYAM,TAMILNADU,25.92,7.87,548.33
1451,CAUVERY AT THIRUMUKKUDAL-CONFL. PT.OF R. AMRAVAT,TAMILNADU,29.67,8.11,637.17
31,CAUVERY AT MUSIRI,TAMILNADU,28.42,7.99,651.67
3016,"CAUVERY AT PETTAIVAITHALAI, TRICHY",TAMILNADU,28.5,7.92,684.42
1202,CAUVERY AT TIRUCHIRAPPALLI U/S,TAMILNADU,28.25,7.93,589.33
1325,CAUVERY AT TIRUCHIRAPPALLI D/S,TAMILNADU,28,7.74,819.83
1203,"CAUVERY AT TRICHY,GRAND ANAICUT",TAMILNADU,28,7.75,807.42
1206,CAUVERY AT THANJAVUR,TAMIL NADU,26.5,8.17,766.67
3018,"CAUVERY AT MAYILADUTHURAI, NAGAPATTINAM",TAMILNADU,24,7.96,722
3012,"CAUVERY AT KOMARAPALAYAM, NAMAKA",TAMILNADU,27.82,7.79,479.73
3013,"CAUVERY AT URRACHIKOTTAI, ERODE",TAMILNADU,28,7.77,339.75
3014,"CAUVERY AT VAIRAPALAYAM, NAMAKAL",TAMILNADU,27.75,7.88,417.17
3017,"CAUVERY AT KUMBAKONAM, THANJAVUR",TAMILNADU,27.78,7.96,571.22
1326,CAUVERY AT COLEROON,TAMILNADU,30.92,8.17,8300.25
1327,CAUVERY AT PITCHAVARAM,TAMILNADU,30.88,8.34,2121.5
1307,CHUNT KOL * (MAULANA AZAD BRIDGE),JAMMU & KASHMIR,14,7.3,252.82
1306,"GAWKADAL, SRG *(SHERGHARI, SRG)",JAMMU & KASHMIR,12.73,7.44,217.73
1304,JHELAM AT ANANTNAG D/S,JAMMU & KASHMIR,10.27,7.56,215.55
3274,JHELUM AT AWANTIPORA,JAMMU & KASHMIR,10.64,7.46,183.91
3275,JHELUM AT PAMPORE,JAMMU & KASHMIR,10.09,7.49,182.36
2755,"BANGANGA (BATHING GHAT),KATRA",JAMMU & KASHMIR,19.63,7.71,386.75
2756,BANGANGA (IN FRONT OF PONY SHED NEAR REASI BDG) KATRA,JAMMU & KASHMIR,20.25,7.96,449.25
2752,"BASANTER AT SAMBA (BELOW NH-1A BDG), BASANTAR US (R.H.S)",JAMMU & KASHMIR,20.5,8.25,279.5
2753,BASANTER AT SAMBA (AT CHAK MANGA GUJJAR BASANTAR) D/S(R.H.S.),JAMMU & KASHMIR,19.5,7.46,294.25
2748,CHENAB AT L.H.S.(BELOW BRIDGE CHENAB),JAMMU & KASHMIR,13.25,7.34,194.5
2749,CHENAB AT BLIND CURVE SHAMSHAN GHAT,JAMMU & KASHMIR,13.25,7.3,191.75
2750,CHENAB AT CHADRA GAON VIEW POINT,JAMMU & KASHMIR,13.25,7.3,190.25
2751,CHENAB AT JAL PATAN MANDIR AFTER MEETING WITH MAIN DRAIN OF AKHNOOR,JAMMU & KASHMIR,13.5,7.83,196.75
2754,DEVAK UDHAMPUR(NEAR SHIV MANDIRD/S)L.H.S.,JAMMU & KASHMIR,22.5,7.1,485
2757,DEVAK AT UTTERBEHNI,JAMMU & KASHMIR,20.25,7.4,336.75
3278,LIDDER NALLAH AT LARIPORA,JAMMU & KASHMIR,7.83,7.53,102.6
3279,LIDDER NALLAH AT CLUB PARK,JAMMU & KASHMIR,8.5,7.43,106.77
3280,LIDDER NALLAH AT BUS ADDA,JAMMU & KASHMIR,8.77,7.47,109.27
3281,"LIDDER NALLAH AT YANEER, D/S OF PHALGUM",JAMMU & KASHMIR,8.5,7.47,81.47
3283,SINDH AT SONAMARG U/S,JAMMU & KASHMIR,5,7.97,157.33
3284,SINDH AT SONAMARG D/S,JAMMU & KASHMIR,5.17,8,168.33
3285,SINDH AT WAIL BRIDGE,JAMMU & KASHMIR,7.5,7.67,139.27
1412,"TAWI AT JAMMU U/S, (TAWI BRIDGE )",JAMMU & KASHMIR,26,8.5,283
2742,TAWI AT SHETALI LIFTING POINT NAGROTA,JAMMU & KASHMIR,20.5,7.89,224.75
2743,TAWI AT BAGH-E-BAHU LIFTING POINT,JAMMU & KASHMIR,20.75,7.86,221
2744,TAWI AT BELOW TAWI BRIDGE,JAMMU & KASHMIR,21.75,8.25,236.75
2746,TAWI AT BELICHARANA(4KM D/S TAWI BRIDGE),JAMMU & KASHMIR,21.75,8.2,228.5
2747,TAWI AT SURAJPUR CHATHA(10 KM D/S TAWI BRIDGE)BELOW BRIDGE NEAR CHATHA MSW DUMPING SITE,JAMMU & KASHMIR,21.75,7.8,224.25
2758,"UJH AT DAM SITE(L.H.S.), KATHUA",JAMMU & KASHMIR,21.25,6.63,244.75
1331,DAMODAR AT DISHERGARH VILL.(NR.BIHAR-WEST BENGAL BORDER),WEST BENGAL,26.54,7.51,219.92
1332,DAMODAR AT D/S OF IISCO AFTER 3RD OUTFALL AT DHENNA,WEST BENGAL,27.13,7.7,247.17
1333,DAMODAR AT NARAINPUR AFTER CONFL. OF NUNIA NALLAH,WEST BENGAL,26.75,7.68,292
1334,DAMODAR NEAR MUJHER MANA VILLAGE AFTER CONF. OF TAMLA NALLAH,WEST BENGAL,29.38,7.86,466
1335,"DAMODAR AT HOOGHLY, DURGACHAK, NEAR PATHIKALI",WEST BENGAL,28.63,7.31,8395.83
2527,DAMODAR AT WATER INTAKE POINT FOR BURDWAN TOWN,WEST BENGAL,29,7.91,278.33
1336,BARAKAR AT ASANSOL (WATER INTAKE POINT),WEST BENGAL,27.08,7.76,210
2509,"D/S OF RUPNARAYAN AT KOLAGHAT, NEAR KOLAGHAT RAIL BRIDGE NO.3",WEST BENGAL,27.71,7.56,913.61
1337,RUPNARAYAN B/C TO RIVER GANGA NEAR GEONKHALI,WEST BENGAL,27.92,7.43,2518.33
2541,WATER INTAKE PT FOR BANKURA TOWN ON RIVER DWARAKESHWAR,WEST BENGAL,28.67,7.85,310.75
